StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,1.625,15,90,41,5.43916276747719,8.83863949715043,150
1,43,20,0.35,False,1.625,20,90,41,0.971547099051779,1.57876403595914,150
44,200,45,0.35,False,1.625,45,90,41,0.942548721438611,1.53164167233774,150
201,410,30,0.35,False,1.625,30,90,41,0.939590189673397,1.52683405821927,150
411,430,12,0.35,False,1.625,12,90,41,0.91312878372618,1.48383427355504,150
431,500,13,0.35,False,1.625,13,90,41,1.01658746015889,1.65195462275819,150
501,750,13,0.35,False,1.625,13,90,41,0.990760988031575,1.60998660555131,150
751,950,14,0.35,False,1.625,14,90,41,0.968655509931245,1.57406520363827,150
951,1066,15,0.35,False,1.625,15,90,41,0.965369967557502,1.56872619728094,150
1067,1086,20,0.35,False,1.625,20,90,41,1.00921373526527,1.63997231980607,150
1087,1190,37,0.35,False,1.625,37,90,41,0.946166343382066,1.53752030799586,150
1191,1220,48,0.35,False,1.421875,48,90,41,5.09311334419263,7.2417705362739,150
1221,1250,50,0.35,False,1.421875,50,90,41,1.05892392016398,1.50565744898316,150
1251,1279,53,0.35,False,1.421875,53,90,41,1.05880198442667,1.50548407160667,150
1280,1290,57,0.35,False,1.421875,57,90,41,1.03370618342136,1.46980097955225,150
1291,1315,56,0.35,False,1.421875,56,90,41,1.05878952896489,1.50546636149695,150
1316,1325,50,0.35,False,1.421875,50,90,41,1.06212342782654,1.51020674894087,150
1326,1348,57,0.35,False,1.421875,57,90,41,1.07533322829659,1.52898943398422,150
1349,1351,30,0.35,True,1.421875,30,90,41,0.840498094830572,1.19508322858722,150
1352,1377,30,0.35,False,1.421875,30,90,41,1.0572987765873,1.50334669796007,150
1378,1400,25,0.35,False,1.421875,25,90,41,1.06719446983087,1.51741713679077,150
1401,1430,24,0.35,False,1.421875,24,90,41,1.07978519065476,1.53531956796223,150
1431,1450,23,0.35,False,1.421875,23,90,41,1.05202596799336,1.49584942324056,150
1451,1490,26,0.35,False,1.421875,26,90,41,1.05865025473721,1.50526833095447,150
1491,1522,28,0.35,False,1.421875,28,90,41,1.06723586680062,1.51747599810713,150
1523,1541,34,0.35,False,1.421875,34,90,41,1.0804390678323,1.53624929957405,150
1542,1560,38,0.35,False,1.421875,38,90,41,1.06893040959352,1.51988542614078,150
1561,1600,50,0.31,False,1.421875,50,90,41,1.08158222565478,1.53787472710289,150
1601,1650,63,0.29,False,1.421875,63,90,41,1.06995733355916,1.52134558365443,150
1651,1700,62,0.26,False,1.421875,62,90,41,1.06701488171069,1.51716178493239,150
1701,1801,113,0.25,False,1.421875,113,90,41,1.07999577517006,1.53561899281993,150
1802,1811,125,0.28,False,1.421875,125,90,41,1.07950913293464,1.53492704839144,150
1812,1821,134,0.28,False,1.421875,134,90,41,1.07973558279414,1.53524903178541,150
1822,1831,158,0.26,False,1.421875,158,90,41,1.08790238579138,1.54686120479711,150
1832,1841,202,0.25,False,1.421875,202,90,41,1.09380727138863,1.55525721400571,150
1842,1851,274,0.22,False,1.421875,274,90,41,1.10398311853183,1.56972599666244,150
1852,1861,290,0.25,False,1.421875,290,90,41,1.07415481356966,1.52731387554436,150
1862,1871,315,0.22,False,1.421875,315,90,41,1.07835568001152,1.53328698251638,150
1872,1881,350,0.21,False,1.421875,350,90,41,1.0854535393967,1.54337925132968,150
1882,1891,378,0.19,False,1.421875,378,90,41,1.08739263196146,1.5461363985702,150
1892,1901,382,0.18,False,1.421875,382,90,41,1.0754322079531,1.52913017068332,150
1902,1911,421,0.13,False,1.421875,421,90,41,1.08716498146269,1.54581270801726,150
1912,1921,440,0.14,False,1.421875,440,90,41,1.08704376457133,1.54564035274986,150
1922,1931,450,0.12,False,1.421875,450,90,41,1.09108803479788,1.55139079947824,150
1932,1941,502,0.07,False,1.421875,502,90,41,1.10741549917086,1.57460641288357,150
1942,1951,528,0.08,False,1.421875,528,90,41,1.10671013306712,1.57360347045482,150
1952,1961,559,0.09,False,1.421875,559,90,41,1.10250873992435,1.56762961457994,150
1962,1971,563,0.1,False,1.421875,563,90,41,1.09931806746065,1.56309287717062,150
1972,1981,574,0.07,False,1.421875,574,90,41,1.10829160103787,1.57585212022572,150
1982,1991,593,0.1,False,1.421875,593,90,41,1.11493586995515,1.58529944009249,150
1992,2001,632,0.09,False,2.710937,632,90,41,2.27208903643382,6.1594902361628,150
2002,2011,656,0.09,False,2.710937,656,90,41,1.15336983382488,3.12671295719971,150
2012,2015,662,0.09,False,2.710937,662,90,41,1.14616549429941,3.10718244661956,150
