StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,28.125,15,90,41,10.7734699940582,303.003843582888,150
1,43,20,0.35,False,28.125,20,90,41,1.93017047551931,54.2860446239807,150
44,200,45,0.35,False,29.53125,45,90,41,5.02793601110373,148.481235327907,150
201,410,30,0.35,False,29.53125,30,90,41,1.59365043123524,47.0624892974158,150
411,430,12,0.35,False,29.53125,12,90,41,1.50773402251343,44.5252703523499,150
431,500,13,0.35,False,29.882812,13,90,41,5.28687074829933,157.986564639728,150
501,750,13,0.35,False,29.941406,13,90,41,3.4879468975469,104.434034165892,150
751,950,14,0.35,False,29.999084,14,90,41,11.626558080808,348.786092497037,150
951,1066,15,0.35,False,29.999942,15,90,41,8.3255827984276,249.767001069026,150
1067,1086,20,0.35,False,29.999942,20,90,41,1.6490404040404,49.4711164768687,150
1087,1190,37,0.35,False,29.999971,37,90,41,3.1467998744825,94.4039049772788,150
1191,1220,48,0.35,False,29.999971,48,90,41,1.52049176684862,45.6147089111973,150
1221,1250,50,0.35,False,29.999971,50,90,41,1.54482750111202,46.344780233363,150
1251,1279,53,0.35,False,29.999971,53,90,41,1.51454243509509,45.4362291311221,150
1280,1290,57,0.35,False,29.999971,57,90,41,1.48126861284756,44.438015428637,150
1291,1315,56,0.35,False,29.999971,56,90,41,1.51556415352564,45.4668806544088,150
1316,1325,50,0.35,False,29.999971,50,90,41,1.53702282190079,46.110640083362,150
1326,1348,57,0.35,False,29.999971,57,90,41,1.52728458327044,45.8184932068604,150
1349,1351,30,0.35,True,29.999971,30,90,41,1.28981106612686,38.6942945792848,150
1352,1377,30,0.35,False,29.999971,30,90,41,1.50186684025357,45.0559616534687,150
1378,1400,25,0.35,False,29.999971,25,90,41,1.55416796275717,46.6249938118443,150
1401,1430,24,0.35,False,29.999971,24,90,41,1.53333132668272,45.9998953338731,150
1431,1450,23,0.35,False,29.999971,23,90,41,1.56537316849817,46.9611496591232,150
1451,1490,26,0.35,False,29.999971,26,90,41,1.53690943043884,46.1072383427918,150
1491,1522,28,0.35,False,29.999971,28,90,41,1.51195175438596,45.3585087849781,150
1523,1541,34,0.35,False,29.999971,34,90,41,1.50110599117585,45.0331362032016,150
1542,1560,38,0.35,False,29.999971,38,90,41,1.50520243295987,45.1560293379256,150
1561,1600,50,0.31,False,29.999971,50,90,41,1.57360037234335,47.2079655358896,150
1601,1650,63,0.29,False,29.999971,63,90,41,1.52716925287705,45.8150332984032,150
1651,1700,62,0.26,False,29.999971,62,90,41,1.51892663939581,45.5677551330017,150
1701,1801,113,0.25,False,29.999971,113,90,41,1.52149922627956,45.6449326649093,150
1802,1811,125,0.28,False,29.999971,125,90,41,1.52491576845622,45.7474288311292,150
1812,1821,134,0.28,False,29.999971,134,90,41,1.4852634804441,44.5578613406821,150
1822,1831,158,0.26,False,29.999971,158,90,41,1.53190971931028,45.9572471539265,150
1832,1841,202,0.25,False,29.999971,202,90,41,1.59060710663604,47.7181670714751,150
1842,1851,274,0.22,False,29.999971,274,90,41,1.55777066384349,46.7330747399556,150
1852,1861,290,0.25,False,29.999971,290,90,41,1.50385043857293,45.1154695455252,150
1862,1871,315,0.22,False,29.999971,315,90,41,1.50469972874683,45.1409482261127,150
1872,1881,350,0.21,False,29.999971,350,90,41,1.52901484904785,45.8704011300048,150
1882,1891,378,0.19,False,29.999971,378,90,41,1.50927758772691,45.2782838627571,150
1892,1901,382,0.18,False,29.999971,382,90,41,1.5113934918129,45.3417609239758,150
1902,1911,421,0.13,False,29.999971,421,90,41,1.54723987207737,46.4171512923648,150
1912,1921,440,0.14,False,29.999971,440,90,41,1.53286526949094,45.9859136316353,150
1922,1931,450,0.12,False,29.999971,450,90,41,1.52605758168226,45.781683194798,150
1932,1941,502,0.07,False,29.999971,502,90,41,1.55662299993038,46.6986448558445,150
1942,1951,528,0.08,False,29.999971,528,90,41,1.55564530060484,46.6693139044314,150
1952,1961,559,0.09,False,29.999971,559,90,41,1.55941575786926,46.7824275130207,150
1962,1971,563,0.1,False,29.999971,563,90,41,1.54615660504304,46.3846533127495,150
1972,1981,574,0.07,False,29.999971,574,90,41,1.55483585756288,46.6450306366464,150
1982,1991,593,0.1,False,29.999971,593,90,41,1.57527458487462,47.2581918632757,150
1992,2001,632,0.09,False,29.999971,632,90,41,1.59470660113615,47.8411517875932,150
2002,2011,656,0.09,False,29.999971,656,90,41,1.63209228505121,48.9627212208601,150
2012,2015,662,0.09,False,29.999971,662,90,41,1.65266495384189,49.5799006879731,150
