StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,3.75,15,90,41,3.17019630419245,11.8882361407217,150
1,43,20,0.35,False,3.75,20,90,41,0.953907838867159,3.57715439575185,150
44,200,45,0.35,False,3.75,45,90,41,0.928198490443535,3.48074433916326,150
201,410,30,0.35,False,3.75,30,90,41,0.908051644857293,3.40519366821485,150
411,430,12,0.35,False,3.75,12,90,41,0.89512410040821,3.35671537653079,150
431,500,13,0.35,False,3.75,13,90,41,0.947960680775806,3.55485255290927,150
501,750,13,0.35,False,3.75,13,90,41,0.934883447924623,3.50581292971734,150
751,950,14,0.35,False,3.75,14,90,41,0.992401117265088,3.72150418974408,150
951,1066,15,0.35,False,3.75,15,90,41,0.953713965491349,3.57642737059256,150
1067,1086,20,0.35,False,3.75,20,90,41,0.948428962892972,3.55660861084865,150
1087,1190,37,0.35,False,3.75,37,90,41,0.942146629895432,3.53304986210787,150
1191,1220,48,0.35,False,3.75,48,90,41,0.918843124321968,3.44566171620738,150
1221,1250,50,0.35,False,3.75,50,90,41,0.936319984390051,3.51119994146269,150
1251,1279,53,0.35,False,3.75,53,90,41,0.913263978524519,3.42473991946695,150
1280,1290,57,0.35,False,3.75,57,90,41,0.931028206704781,3.49135577514293,150
1291,1315,56,0.35,False,3.75,56,90,41,0.914782633308778,3.43043487490792,150
1316,1325,50,0.35,False,3.75,50,90,41,0.917953746368023,3.44232654888009,150
1326,1348,57,0.35,False,3.75,57,90,41,0.915165499281243,3.43187062230466,150
1349,1351,30,0.35,True,3.75,30,90,41,0.749411517444304,2.81029319041614,150
1352,1377,30,0.35,False,3.75,30,90,41,0.930155791421168,3.48808421782938,150
1378,1400,25,0.35,False,3.75,25,90,41,0.910185561799603,3.41319585674851,150
1401,1430,24,0.35,False,3.75,24,90,41,0.947576862769266,3.55341323538475,150
1431,1450,23,0.35,False,3.75,23,90,41,0.939099126718692,3.5216217251951,150
1451,1490,26,0.35,False,3.75,26,90,41,0.955805930881268,3.58427224080476,150
1491,1522,28,0.35,False,3.75,28,90,41,0.915118108123183,3.43169290546194,150
1523,1541,34,0.35,False,3.75,34,90,41,0.977888714262054,3.6670826784827,150
1542,1560,38,0.35,False,3.75,38,90,41,0.92775729506018,3.47908985647567,150
1561,1600,50,0.31,False,3.75,50,90,41,0.94328340876723,3.53731278287711,150
1601,1650,63,0.29,False,3.75,63,90,41,0.938464954118215,3.5192435779433,150
1651,1700,62,0.26,False,3.75,62,90,41,0.932127411156825,3.49547779183809,150
1701,1801,113,0.25,False,3.75,113,90,41,0.936865152306167,3.51324432114813,150
1802,1811,125,0.28,False,3.75,125,90,41,0.949380249101184,3.56017593412944,150
1812,1821,134,0.28,False,3.75,134,90,41,0.928117872935305,3.48044202350739,150
1822,1831,158,0.26,False,3.75,158,90,41,0.94868892102226,3.55758345383347,150
1832,1841,202,0.25,False,3.75,202,90,41,0.954790442270069,3.58046415851276,150
1842,1851,274,0.22,False,3.75,274,90,41,0.962828699067029,3.61060762150136,150
1852,1861,290,0.25,False,3.75,290,90,41,0.940602227092123,3.52725835159546,150
1862,1871,315,0.22,False,3.75,315,90,41,0.945800994111364,3.54675372791761,150
1872,1881,350,0.21,False,3.75,350,90,41,0.942977757994125,3.53616659247797,150
1882,1891,378,0.19,False,3.75,378,90,41,0.944663987420078,3.54248995282529,150
1892,1901,382,0.18,False,3.75,382,90,41,0.942333177396432,3.53374941523662,150
1902,1911,421,0.13,False,3.75,421,90,41,0.958564956120495,3.59461858545186,150
1912,1921,440,0.14,False,3.75,440,90,41,0.951444680940334,3.56791755352625,150
1922,1931,450,0.12,False,3.75,450,90,41,0.953129891977658,3.57423709491622,150
1932,1941,502,0.07,False,3.75,502,90,41,0.977315288603871,3.66493233226451,150
1942,1951,528,0.08,False,3.75,528,90,41,0.968045910686638,3.63017216507489,150
1952,1961,559,0.09,False,3.75,559,90,41,0.969003131668745,3.63376174375779,150
1962,1971,563,0.1,False,3.75,563,90,41,0.97048580161404,3.63932175605265,150
1972,1981,574,0.07,False,3.75,574,90,41,0.974623580174025,3.65483842565259,150
1982,1991,593,0.1,False,3.75,593,90,41,0.971372063977737,3.64264523991651,150
1992,2001,632,0.09,False,3.75,632,90,41,0.993443715016354,3.72541393131133,150
2002,2011,656,0.09,False,3.75,656,90,41,0.995250507639185,3.73218940364694,150
2012,2015,662,0.09,False,3.75,662,90,41,0.982536413493454,3.68451155060045,150
