StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,6,15,90,41,4.35874093227034,26.1524455936221,150
1,43,20,0.35,False,6,20,90,41,1.53863713805574,9.23182282833446,150
44,200,45,0.35,False,6,45,90,41,1.4717359466483,8.83041567988983,150
201,410,30,0.35,False,6,30,90,41,1.46234727016912,8.77408362101471,150
411,430,12,0.35,False,7,12,90,41,2.65070104903696,18.5549073432587,150
431,500,13,0.35,False,7,13,90,41,1.32557050092764,9.2789935064935,150
501,750,13,0.35,False,7,13,90,41,1.32818903318904,9.29732323232326,150
751,950,14,0.35,False,7,14,90,41,1.4678630952381,10.2750416666667,150
951,1066,15,0.35,False,7,15,90,41,1.31066500549259,9.17465503844815,150
1067,1086,20,0.35,False,7,20,90,41,1.37078682347065,9.59550776429453,150
1087,1190,37,0.35,False,7,37,90,41,1.31331188057319,9.19318316401236,150
1191,1220,48,0.35,False,7,48,90,41,1.27789124673953,8.9452387271767,150
1221,1250,50,0.35,False,7,50,90,41,1.2936092799515,9.05526495966049,150
1251,1279,53,0.35,False,7,53,90,41,1.28088530744924,8.96619715214468,150
1280,1290,57,0.35,False,7,57,90,41,1.28895575868582,9.02269031080071,150
1291,1315,56,0.35,False,7,56,90,41,1.27598008576985,8.93186060038893,150
1316,1325,50,0.35,False,7,50,90,41,1.25231130225941,8.76617911581586,150
1326,1348,57,0.35,False,7,57,90,41,1.28076959602869,8.96538717220082,150
1349,1351,30,0.35,True,7,30,90,41,0.995379660597052,6.96765762417936,150
1352,1377,30,0.35,False,7,30,90,41,1.28603655727402,9.00225590091811,150
1378,1400,25,0.35,False,7,25,90,41,1.26116907164514,8.828183501516,150
1401,1430,24,0.35,False,7,24,90,41,1.274309732665,8.92016812865497,150
1431,1450,23,0.35,False,7,23,90,41,1.33301980441299,9.33113863089095,150
1451,1490,26,0.35,False,7,26,90,41,1.27593033507002,8.93151234549017,150
1491,1522,28,0.35,False,7,28,90,41,1.25167180978823,8.7617026685176,150
1523,1541,34,0.35,False,7,34,90,41,1.29468006609883,9.06276046269181,150
1542,1560,38,0.35,False,7,38,90,41,1.30469147374774,9.13284031623415,150
1561,1600,50,0.31,False,7,50,90,41,1.30290192040919,9.12031344286433,150
1601,1650,63,0.29,False,7,63,90,41,1.29060210136101,9.03421470952709,150
1651,1700,62,0.26,False,7,62,90,41,1.27671538632691,8.93700770428836,150
1701,1801,113,0.25,False,7,113,90,41,1.30553261057228,9.13872827400595,150
1802,1811,125,0.28,False,7,125,90,41,1.31795289647462,9.22567027532235,150
1812,1821,134,0.28,False,7,134,90,41,1.30746704122126,9.15226928854884,150
1822,1831,158,0.26,False,7,158,90,41,1.3118060245527,9.18264217186889,150
1832,1841,202,0.25,False,7,202,90,41,1.32269942278144,9.25889595947006,150
1842,1851,274,0.22,False,7,274,90,41,1.36800201792584,9.57601412548091,150
1852,1861,290,0.25,False,7,290,90,41,1.28895370285941,9.02267592001586,150
1862,1871,315,0.22,False,7,315,90,41,1.29055233658117,9.03386635606822,150
1872,1881,350,0.21,False,7,350,90,41,1.31757792579612,9.22304548057281,150
1882,1891,378,0.19,False,7,378,90,41,1.31206704665692,9.18446932659845,150
1892,1901,382,0.18,False,7,382,90,41,1.31142584827431,9.1799809379202,150
1902,1911,421,0.13,False,7,421,90,41,1.33010798997621,9.31075592983346,150
1912,1921,440,0.14,False,7,440,90,41,1.32149033179833,9.25043232258831,150
1922,1931,450,0.12,False,7,450,90,41,1.32531045602541,9.27717319217789,150
1932,1941,502,0.07,False,7,502,90,41,1.35396576480924,9.47776035366467,150
1942,1951,528,0.08,False,7,528,90,41,1.33884297631746,9.37190083422222,150
1952,1961,559,0.09,False,7,559,90,41,1.34524126898741,9.41668888291187,150
1962,1971,563,0.1,False,7,563,90,41,1.33548463230963,9.3483924261674,150
1972,1981,574,0.07,False,7,574,90,41,1.34783738890141,9.43486172230989,150
1982,1991,593,0.1,False,7,593,90,41,1.36189421055132,9.53325947385924,150
1992,2001,632,0.09,False,7,632,90,41,1.3652591420895,9.5568139946265,150
2002,2011,656,0.09,False,7,656,90,41,1.38980563416368,9.72863943914573,150
2012,2015,662,0.09,False,7,662,90,41,1.39693892156178,9.77857245093249,150
