StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,4,15,90,41,1.30429374547022,5.21717498188087,150
1,43,20,0.35,False,4,20,90,41,1.43669659114256,5.74678636457022,150
44,200,45,0.35,False,4,45,90,41,1.24307162148819,4.97228648595276,150
201,410,30,0.35,False,4,30,90,41,1.21725934724544,4.86903738898176,150
411,430,12,0.35,False,4,12,90,41,1.21790355417529,4.87161421670117,150
431,500,13,0.35,False,4,13,90,41,1.31127396413111,5.24509585652443,150
501,750,13,0.35,False,4,13,90,41,1.32704545454546,5.30818181818184,150
751,950,14,0.35,False,4,14,90,41,1.26794588744589,5.07178354978357,150
951,1066,15,0.35,False,4,15,90,41,1.32129685448651,5.28518741794604,150
1067,1086,20,0.35,False,4,20,90,41,1.40685252247752,5.62741008991009,150
1087,1190,37,0.35,False,4,37,90,41,1.29076231174648,5.1630492469859,150
1191,1220,48,0.35,False,4,48,90,41,1.24877679700697,4.9951071880279,150
1221,1250,50,0.35,False,4,50,90,41,1.2324605427246,4.92984217089838,150
1251,1279,53,0.35,False,4,53,90,41,1.25287522065772,5.01150088263088,150
1280,1290,57,0.35,False,4,57,90,41,1.28302961035312,5.13211844141247,150
1291,1315,56,0.35,False,4,56,90,41,1.21189475671429,4.84757902685718,150
1316,1325,50,0.35,False,4,50,90,41,1.16981842066339,4.67927368265357,150
1326,1348,57,0.35,False,4,57,90,41,1.2415366034842,4.9661464139368,150
1349,1351,30,0.35,True,4,30,90,41,1.02090200248095,4.0836080099238,150
1352,1377,30,0.35,False,4,30,90,41,1.22269725814876,4.89078903259505,150
1378,1400,25,0.35,False,5,25,90,41,3.10900969364996,15.5450484682498,150
1401,1430,24,0.35,False,5,24,90,41,0.987243881990259,4.93621940995129,150
1431,1450,23,0.35,False,5,23,90,41,0.982064096933662,4.91032048466831,150
1451,1490,26,0.35,False,5,26,90,41,1.02455424446729,5.12277122233644,150
1491,1522,28,0.35,False,5,28,90,41,0.986799912846366,4.93399956423183,150
1523,1541,34,0.35,False,5,34,90,41,1.00960213226181,5.04801066130906,150
1542,1560,38,0.35,False,5,38,90,41,1.01571796436042,5.0785898218021,150
1561,1600,50,0.31,False,5,50,90,41,1.01425579170376,5.0712789585188,150
1601,1650,63,0.29,False,5,63,90,41,1.01570878780499,5.07854393902497,150
1651,1700,62,0.26,False,5,62,90,41,1.00499952712635,5.02499763563174,150
1701,1801,113,0.25,False,5,113,90,41,1.01410398916781,5.07051994583906,150
1802,1811,125,0.28,False,5,125,90,41,1.01195894885584,5.0597947442792,150
1812,1821,134,0.28,False,5,134,90,41,0.996656873313453,4.98328436656727,150
1822,1831,158,0.26,False,5,158,90,41,1.01263312560886,5.06316562804428,150
1832,1841,202,0.25,False,5,202,90,41,1.02745077900827,5.13725389504136,150
1842,1851,274,0.22,False,5,274,90,41,1.03860105589907,5.19300527949537,150
1852,1861,290,0.25,False,5,290,90,41,1.00607865515187,5.03039327575934,150
1862,1871,315,0.22,False,5,315,90,41,1.01951749817464,5.09758749087321,150
1872,1881,350,0.21,False,5,350,90,41,1.01103801362925,5.05519006814624,150
1882,1891,378,0.19,False,5,378,90,41,1.01892516163228,5.09462580816138,150
1892,1901,382,0.18,False,5,382,90,41,1.00593912272117,5.02969561360584,150
1902,1911,421,0.13,False,5,421,90,41,1.02602459579989,5.13012297899945,150
1912,1921,440,0.14,False,5,440,90,41,1.01743435456651,5.08717177283254,150
1922,1931,450,0.12,False,5,450,90,41,1.0224847875606,5.11242393780298,150
1932,1941,502,0.07,False,5,502,90,41,1.04562704609912,5.22813523049561,150
1942,1951,528,0.08,False,5,528,90,41,1.0342455164583,5.17122758229151,150
1952,1961,559,0.09,False,5,559,90,41,1.03725101816249,5.18625509081243,150
1962,1971,563,0.1,False,5,563,90,41,1.03339857309062,5.1669928654531,150
1972,1981,574,0.07,False,5,574,90,41,1.04411707316102,5.22058536580511,150
1982,1991,593,0.1,False,5,593,90,41,1.03940558786761,5.19702793933803,150
1992,2001,632,0.09,False,5,632,90,41,1.05415205631253,5.27076028156266,150
2002,2011,656,0.09,False,5,656,90,41,1.0578415074092,5.28920753704599,150
2012,2015,662,0.09,False,5,662,90,41,1.05908274442576,5.29541372212882,150
