StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,3.125,15,90,41,3.353781207331,10.4805662729094,150
1,43,20,0.35,False,3.125,20,90,41,0.936895655484107,2.92779892338783,150
44,200,45,0.35,False,2.734375,45,90,41,5.1516338767957,14.0864988818632,150
201,410,30,0.35,False,2.734375,30,90,41,1.04785760052414,2.86523562643319,150
411,430,12,0.35,False,2.734375,12,90,41,1.01648739545479,2.77945772194668,150
431,500,13,0.35,False,3.122329,13,90,41,4.55524897550299,14.2229859784333,150
501,750,13,0.35,False,3.122329,13,90,41,0.954892118665648,2.98148735398119,150
751,950,14,0.35,False,3.122329,14,90,41,0.973731954320189,3.0403115192006,150
951,1066,15,0.35,False,3.316116,15,90,41,4.61595643481172,15.3070469887821,150
1067,1086,20,0.35,False,3.316116,20,90,41,0.923066375274193,3.06099517610876,150
1087,1190,37,0.35,False,3.316116,37,90,41,0.910487226398264,3.01928125925491,150
1191,1220,48,0.35,False,2.901601,48,90,41,4.84483039872295,14.0577647297649,150
1221,1250,50,0.35,False,2.901601,50,90,41,1.01532474351049,2.94606729109477,150
1251,1279,53,0.35,False,2.901601,53,90,41,1.00147997940148,2.90589530971132,150
1280,1290,57,0.35,False,2.901601,57,90,41,0.97157708831291,2.81912905102583,150
1291,1315,56,0.35,False,2.901601,56,90,41,0.992699740720413,2.88041856037409,150
1316,1325,50,0.35,False,2.901601,50,90,41,1.01597768532286,2.94796186771049,150
1326,1348,57,0.35,False,2.901601,57,90,41,1.01128093500197,2.93433377228265,150
1349,1351,30,0.35,True,2.901601,30,90,41,0.793410293410293,2.3021601007696,150
1352,1377,30,0.35,False,2.901601,30,90,41,0.993589212379636,2.88299945222996,150
1378,1400,25,0.35,False,2.901601,25,90,41,0.988667055139766,2.8687173158606,150
1401,1430,24,0.35,False,2.901601,24,90,41,1.01507029336739,2.94532897830513,150
1431,1450,23,0.35,False,2.901601,23,90,41,1.02470830980614,2.97329465644179,150
1451,1490,26,0.35,False,2.901601,26,90,41,1.0361752930915,3.0065672666096,150
1491,1522,28,0.35,False,2.901601,28,90,41,0.997353602655327,2.8939222108183,150
1523,1541,34,0.35,False,2.901601,34,90,41,1.04474685112769,3.03143850797897,150
1542,1560,38,0.35,False,2.901601,38,90,41,1.02108260681049,2.96277431300392,150
1561,1600,50,0.31,False,2.901601,50,90,41,1.02261077515138,2.96720844779003,150
1601,1650,63,0.29,False,2.901601,63,90,41,1.01016559554403,2.93109750219616,150
1651,1700,62,0.26,False,2.901601,62,90,41,1.01952549666403,2.95825620064585,150
1701,1801,113,0.25,False,2.901601,113,90,41,1.02017127361751,2.96012998769985,150
1802,1811,125,0.28,False,2.901601,125,90,41,1.02933986446749,2.98673358007872,150
1812,1821,134,0.28,False,2.901601,134,90,41,1.0219250551477,2.96521876194162,150
1822,1831,158,0.26,False,2.901601,158,90,41,1.03563241714294,3.00499205721436,150
1832,1841,202,0.25,False,2.901601,202,90,41,1.04206158377634,3.02364693354701,150
1842,1851,274,0.22,False,2.901601,274,90,41,1.08428373463528,3.14615876870148,150
1852,1861,290,0.25,False,2.901601,290,90,41,1.01718264085255,2.9514581678804,150
1862,1871,315,0.22,False,2.901601,315,90,41,1.01486481920317,2.94473277426475,150
1872,1881,350,0.21,False,2.901601,350,90,41,1.03773660129727,3.01109756006076,150
1882,1891,378,0.19,False,2.901601,378,90,41,1.02820073741276,2.98342828787761,150
1892,1901,382,0.18,False,2.901601,382,90,41,1.03534521448377,3.00415870969132,150
1902,1911,421,0.13,False,2.901601,421,90,41,1.03914006633311,3.01516985561222,150
1912,1921,440,0.14,False,2.901601,440,90,41,1.03070607163319,2.99069776815694,150
1922,1931,450,0.12,False,2.901601,450,90,41,1.03731328166432,3.00986925539046,150
1932,1941,502,0.07,False,2.901601,502,90,41,1.05880482339845,3.07222913437777,150
1942,1951,528,0.08,False,2.901601,528,90,41,1.05808013118085,3.07012636671449,150
1952,1961,559,0.09,False,2.901601,559,90,41,1.05087174002256,3.0492104917212,150
1962,1971,563,0.1,False,2.901601,563,90,41,1.05042297220692,3.04790834657857,150
1972,1981,574,0.07,False,2.901601,574,90,41,1.05635415118825,3.06511826144199,150
1982,1991,593,0.1,False,2.901601,593,90,41,1.05478804005624,3.06057403181522,150
1992,2001,632,0.09,False,2.901601,632,90,41,1.06021031720435,3.07630731661045,150
2002,2011,656,0.09,False,2.901601,656,90,41,1.07427582936525,3.11711982076203,150
2012,2015,662,0.09,False,2.901601,662,90,41,1.08343652564696,3.14370050625375,150
