StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,0.75,15,90,41,4.71564326895778,3.53673245171834,150
1,43,20,0.35,False,0.75,20,90,41,1.17356955629869,0.880177167224021,150
44,200,45,0.35,False,0.75,45,90,41,1.15885799689013,0.869143497667601,150
201,410,30,0.35,False,0.75,30,90,41,1.13292178465782,0.849691338493362,150
411,430,12,0.35,False,0.75,12,90,41,1.10331160504106,0.827483703780795,150
431,500,13,0.35,False,0.75,13,90,41,1.18939393939394,0.892045454545455,150
501,750,13,0.35,False,0.75,13,90,41,1.1455645021645,0.859173376623379,150
751,950,14,0.35,False,0.75,14,90,41,1.18695021645022,0.890212662337665,150
951,1066,15,0.35,False,0.75,15,90,41,1.24302809259706,0.932271069447794,150
1067,1086,20,0.35,False,0.75,20,90,41,1.24059371184371,0.930445283882784,150
1087,1190,37,0.35,False,0.75,37,90,41,1.15583849553632,0.866878871652237,150
1191,1220,48,0.35,False,0.75,48,90,41,1.12297076649713,0.84222807487285,150
1221,1250,50,0.35,False,0.75,50,90,41,1.12607251754678,0.844554388160088,150
1251,1279,53,0.35,False,0.75,53,90,41,1.12077430167913,0.840580726259349,150
1280,1290,57,0.35,False,0.75,57,90,41,1.136663786284,0.852497839712998,150
1291,1315,56,0.35,False,0.75,56,90,41,1.09295389855287,0.819715423914651,150
1316,1325,50,0.35,False,0.75,50,90,41,1.09874222748985,0.824056670617386,150
1326,1348,57,0.35,False,0.75,57,90,41,1.10846938615477,0.831352039616077,150
1349,1351,30,0.35,True,0.75,30,90,41,0.987836801387222,0.740877601040416,150
1352,1377,30,0.35,False,0.75,30,90,41,1.12391427844281,0.842935708832111,150
1378,1400,25,0.35,False,0.75,25,90,41,1.11814828397092,0.838611212978187,150
1401,1430,24,0.35,False,0.75,24,90,41,1.22611660726515,0.91958745544886,150
1431,1450,23,0.35,False,0.75,23,90,41,1.11178147939017,0.833836109542631,150
1451,1490,26,0.35,False,0.75,26,90,41,1.14949297651243,0.86211973238432,150
1491,1522,28,0.35,False,0.75,28,90,41,1.13392030750047,0.850440230625353,150
1523,1541,34,0.35,False,0.75,34,90,41,1.09456729440926,0.820925470806944,150
1542,1560,38,0.35,False,0.75,38,90,41,1.15804851383156,0.868536385373667,150
1561,1600,50,0.31,False,0.75,50,90,41,1.13428447886643,0.850713359149821,150
1601,1650,63,0.29,False,0.75,63,90,41,1.13453257698016,0.850899432735118,150
1651,1700,62,0.26,False,0.75,62,90,41,1.12836441685878,0.846273312644085,150
1701,1801,113,0.25,False,0.75,113,90,41,1.13879665613833,0.85409749210375,150
1802,1811,125,0.28,False,0.75,125,90,41,1.14380928830788,0.857856966230907,150
1812,1821,134,0.28,False,0.75,134,90,41,1.13809356802588,0.853570176019412,150
1822,1831,158,0.26,False,0.75,158,90,41,1.14507031973203,0.858802739799023,150
1832,1841,202,0.25,False,0.75,202,90,41,1.14193057639641,0.85644793229731,150
1842,1851,274,0.22,False,0.75,274,90,41,1.19350824256342,0.895131181922563,150
1852,1861,290,0.25,False,0.75,290,90,41,1.12420918154856,0.84315688616142,150
1862,1871,315,0.22,False,0.75,315,90,41,1.1405361807571,0.855402135567826,150
1872,1881,350,0.21,False,0.75,350,90,41,1.13772595783132,0.853294468373492,150
1882,1891,378,0.19,False,0.75,378,90,41,1.14417915339152,0.858134365043643,150
1892,1901,382,0.18,False,0.75,382,90,41,1.1366133209494,0.852459990712049,150
1902,1911,421,0.13,False,0.75,421,90,41,1.15251206693667,0.864384050202506,150
1912,1921,440,0.14,False,0.75,440,90,41,1.1403675390722,0.855275654304152,150
1922,1931,450,0.12,False,0.75,450,90,41,1.1527537858772,0.864565339407901,150
1932,1941,502,0.07,False,0.75,502,90,41,1.18921869487433,0.89191402115575,150
1942,1951,528,0.08,False,0.75,528,90,41,1.16640400341497,0.874803002561225,150
1952,1961,559,0.09,False,0.75,559,90,41,1.16451178324004,0.873383837430033,150
1962,1971,563,0.1,False,0.75,563,90,41,1.1604438374811,0.870332878110821,150
1972,1981,574,0.07,False,0.75,574,90,41,1.17872914954936,0.884046862162017,150
1982,1991,593,0.1,False,0.75,593,90,41,1.18622316448,0.889667373360003,150
1992,2001,632,0.09,False,0.75,632,90,41,1.18752355629037,0.890642667217779,150
2002,2011,656,0.09,False,0.75,656,90,41,1.24513423338577,0.933850675039324,150
2012,2015,662,0.09,False,4.375,662,90,41,2.65130081784365,11.599441078066,150
