StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,1.25,15,90,41,1.92771364475886,2.40964205594857,150
1,43,20,0.35,False,1.25,20,90,41,1.1419487617126,1.42743595214075,150
44,200,45,0.35,False,1.25,45,90,41,1.11990586419865,1.39988233024831,150
201,410,30,0.35,False,1.25,30,90,41,1.09200882416493,1.36501103020616,150
411,430,12,0.35,False,1.25,12,90,41,1.03436659122117,1.29295823902647,150
431,500,13,0.35,False,1.591796,13,90,41,5.36025698655921,8.532435630177,150
501,750,13,0.35,False,1.392821,13,90,41,6.55212146989573,9.12593237782163,150
751,950,14,0.35,False,1.392821,14,90,41,1.03689510367084,1.44420927518992,150
951,1066,15,0.35,False,1.392821,15,90,41,1.04127771315905,1.45031346571991,150
1067,1086,20,0.35,False,1.661795,20,90,41,4.17851746263185,6.9438394268143,150
1087,1190,37,0.35,False,1.246346,37,90,41,3.74465416868683,4.66713474452616,150
1191,1220,48,0.35,False,1.246346,48,90,41,1.12865724523909,1.40669744297476,150
1221,1250,50,0.35,False,1.519897,50,90,41,4.31150103243067,6.55303748468828,150
1251,1279,53,0.35,False,1.519897,53,90,41,0.915420966571669,1.39134558082938,150
1280,1290,57,0.35,False,1.519897,57,90,41,0.900483474637431,1.36864213165101,150
1291,1315,56,0.35,False,1.329909,56,90,41,4.94115124470749,6.57128151069769,150
1316,1325,50,0.35,False,1.600849,50,90,41,4.94174825738351,7.91099275608413,150
1326,1348,57,0.35,False,1.400742,57,90,41,4.69530727741806,6.57691410638512,150
1349,1351,30,0.35,True,1.400742,30,90,41,0.807987711213518,1.13178232258065,150
1352,1377,30,0.35,False,1.400742,30,90,41,0.974776127654326,1.36540986260278,150
1378,1400,25,0.35,False,1.400742,25,90,41,0.997103874930897,1.39668527597846,150
1401,1430,24,0.35,False,1.400742,24,90,41,1.00524389056998,1.40808733776477,150
1431,1450,23,0.35,False,1.400742,23,90,41,0.983207501435762,1.37722004197613,150
1451,1490,26,0.35,False,1.400742,26,90,41,0.999120279478975,1.39950973851794,150
1491,1522,28,0.35,False,1.400742,28,90,41,1.01773775932301,1.42558802446963,150
1523,1541,34,0.35,False,1.400742,34,90,41,1.03901236141382,1.45538825315152,150
1542,1560,38,0.35,False,1.400742,38,90,41,0.991270093852789,1.38851365380354,150
1561,1600,50,0.31,False,1.400742,50,90,41,1.01784764773979,1.42574194979033,150
1601,1650,63,0.29,False,1.400742,63,90,41,1.0013772049251,1.40267110878119,150
1651,1700,62,0.26,False,1.400742,62,90,41,1.00508415975343,1.40786359610134,150
1701,1801,113,0.25,False,1.400742,113,90,41,1.01817742660376,1.4262038848958,150
1802,1811,125,0.28,False,1.400742,125,90,41,1.02703397396157,1.43860962275487,150
1812,1821,134,0.28,False,1.400742,134,90,41,1.00494282370592,1.40766562076347,150
1822,1831,158,0.26,False,1.400742,158,90,41,1.02116368943757,1.43038686867016,150
1832,1841,202,0.25,False,1.400742,202,90,41,1.0214640215307,1.43080755644696,150
1842,1851,274,0.22,False,1.400742,274,90,41,1.03863286708533,1.45485667950684,150
1852,1861,290,0.25,False,1.400742,290,90,41,1.01226638016747,1.41792403388855,150
1862,1871,315,0.22,False,1.400742,315,90,41,1.01716131346974,1.42478057255223,150
1872,1881,350,0.21,False,1.400742,350,90,41,1.02078272218082,1.42985323183301,150
1882,1891,378,0.19,False,1.400742,378,90,41,1.02748537073882,1.43924191317944,150
1892,1901,382,0.18,False,1.400742,382,90,41,1.01363673395274,1.41984354599043,150
1902,1911,421,0.13,False,1.400742,421,90,41,1.03266662264134,1.44649951033187,150
1912,1921,440,0.14,False,1.400742,440,90,41,1.02320361702664,1.43324428092113,150
1922,1931,450,0.12,False,1.400742,450,90,41,1.03182541085699,1.44532118965464,150
1932,1941,502,0.07,False,1.400742,502,90,41,1.0580194855232,1.48201233019074,150
1942,1951,528,0.08,False,1.400742,528,90,41,1.04538548136927,1.46431534994415,150
1952,1961,559,0.09,False,1.400742,559,90,41,1.04822433419594,1.4682918503303,150
1962,1971,563,0.1,False,1.400742,563,90,41,1.03817479674946,1.45421504114843,150
1972,1981,574,0.07,False,1.400742,574,90,41,1.05304575436443,1.47504541605994,150
1982,1991,593,0.1,False,1.400742,593,90,41,1.0526385204064,1.4744749863511,150
1992,2001,632,0.09,False,1.400742,632,90,41,1.05854637609207,1.48275036793996,150
2002,2011,656,0.09,False,1.400742,656,90,41,1.06802715038466,1.49603048668411,150
2012,2015,662,0.09,False,1.400742,662,90,41,1.06592828788145,1.49309052182364,150
