StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,5,15,90,41,1.01639148554556,5.08195742772778,150
1,43,20,0.35,False,5,20,90,41,0.999567205460358,4.99783602730179,150
44,200,45,0.35,False,5,45,90,41,0.979745634752019,4.8987281737601,150
201,410,30,0.35,False,5,30,90,41,0.973810251460596,4.86905125730298,150
411,430,12,0.35,False,5,12,90,41,0.93753533352,4.6876766676,150
431,500,13,0.35,False,5.625,13,90,41,3.49739334109304,19.6728375436484,150
501,750,13,0.35,False,4.21875,13,90,41,4.12105321280026,17.3856932415011,150
751,950,14,0.35,False,7.109375,14,90,41,1.94820117109842,13.8504927007778,150
951,1066,15,0.35,False,5.332031,15,90,41,3.17173646309103,16.9117971450317,150
1067,1086,20,0.35,False,4.665527,20,90,41,6.30263620109755,29.405119367398,150
1087,1190,37,0.35,False,4.665527,37,90,41,1.09522046315249,5.10978064179045,150
1191,1220,48,0.35,False,4.665527,48,90,41,1.0686848063804,4.98597781865754,150
1221,1250,50,0.35,False,4.665527,50,90,41,1.05124517247401,4.90461273579716,150
1251,1279,53,0.35,False,4.665527,53,90,41,1.08120700573584,5.04440047784972,150
1280,1290,57,0.35,False,4.665527,57,90,41,1.06370141340011,4.96272766415639,150
1291,1315,56,0.35,False,4.665527,56,90,41,1.07455824824372,5.01338052025379,150
1316,1325,50,0.35,False,4.665527,50,90,41,1.03608608898105,4.83388762246548,150
1326,1348,57,0.35,False,4.665527,57,90,41,1.05515984357325,4.92287673950679,150
1349,1351,30,0.35,True,4.665527,30,90,41,0.866676649695518,4.04350330942398,150
1352,1377,30,0.35,False,4.665527,30,90,41,1.07822116187768,5.0304699427117,150
1378,1400,25,0.35,False,4.665527,25,90,41,1.11047500004022,5.18095109551263,150
1401,1430,24,0.35,False,4.665527,24,90,41,1.10113208683003,5.13736148167184,150
1431,1450,23,0.35,False,5.332336,23,90,41,3.71849082810004,19.8282425083477,150
1451,1490,26,0.35,False,5.332336,26,90,41,0.945771788292778,5.04317295449796,150
1491,1522,28,0.35,False,5.332336,28,90,41,0.943266476074805,5.02981378796682,150
1523,1541,34,0.35,False,5.332336,34,90,41,0.961525781232899,5.12717853819631,150
1542,1560,38,0.35,False,5.332336,38,90,41,0.966397955204875,5.15315860686534,150
1561,1600,50,0.31,False,5.332336,50,90,41,0.947282187548784,5.05122691082513,150
1601,1650,63,0.29,False,5.332336,63,90,41,0.945356883125377,5.04096054073724,150
1651,1700,62,0.26,False,5.332336,62,90,41,0.940424208664881,5.01465786313526,150
1701,1801,113,0.25,False,5.332336,113,90,41,0.954299424464952,5.08864517585374,150
1802,1811,125,0.28,False,5.332336,125,90,41,0.95986162024161,5.11830467263266,150
1812,1821,134,0.28,False,5.332336,134,90,41,0.952649826436096,5.07984896489895,150
1822,1831,158,0.26,False,5.332336,158,90,41,0.965092394360411,5.14619691777421,150
1832,1841,202,0.25,False,5.332336,202,90,41,0.961014571357838,5.12445259537597,150
1842,1851,274,0.22,False,5.332336,274,90,41,0.976294340032948,5.20592945595393,150
1852,1861,290,0.25,False,5.332336,290,90,41,0.943229609626484,5.02961720367725,150
1862,1871,315,0.22,False,5.332336,315,90,41,0.954232671230229,5.08828922517712,150
1872,1881,350,0.21,False,5.332336,350,90,41,0.956767990580271,5.10180839981884,150
1882,1891,378,0.19,False,5.332336,378,90,41,0.958491556823196,5.11099903414437,150
1892,1901,382,0.18,False,5.332336,382,90,41,0.953645522250654,5.08515834953597,150
1902,1911,421,0.13,False,5.332336,421,90,41,0.968146447460168,5.16248215506396,150
1912,1921,440,0.14,False,5.332336,440,90,41,0.966130495756392,5.15173242321966,150
1922,1931,450,0.12,False,5.332336,450,90,41,0.968587636237042,5.16483472186168,150
1932,1941,502,0.07,False,5.332336,502,90,41,0.996238466552971,5.3122782397852,150
1942,1951,528,0.08,False,5.332336,528,90,41,0.986390309544068,5.25976455763298,150
1952,1961,559,0.09,False,5.332336,559,90,41,0.976798577945014,5.20861822192501,150
1962,1971,563,0.1,False,5.332336,563,90,41,0.976550258674366,5.20729410013864,150
1972,1981,574,0.07,False,5.332336,574,90,41,0.992555866126938,5.29264137695985,150
1982,1991,593,0.1,False,5.332336,593,90,41,0.984744627794921,5.25098922959746,150
1992,2001,632,0.09,False,5.332336,632,90,41,0.994880326694273,5.30503618172363,150
2002,2011,656,0.09,False,5.332336,656,90,41,1.02400553707111,5.46034158952363,150
2012,2015,662,0.09,False,5.332336,662,90,41,1.0398447047602,5.54480135360219,150
