StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,4,15,90,41,1.33441436014965,5.33765744059862,150
1,43,20,0.35,False,4,20,90,41,1.20613464283095,4.8245385713238,150
44,200,45,0.35,False,5,45,90,41,3.02135156026535,15.1067578013268,150
201,410,30,0.35,False,5,30,90,41,0.950012884823017,4.75006442411509,150
411,430,12,0.35,False,3.75,12,90,41,3.98550951673983,14.9456606877743,150
431,500,13,0.35,False,5.875,13,90,41,2.54443932118302,14.9485810119503,150
501,750,13,0.35,False,4.40625,13,90,41,3.85461615201104,16.9844024197986,150
751,950,14,0.35,False,4.40625,14,90,41,1.18756890331891,5.23272548024893,150
951,1066,15,0.35,False,4.40625,15,90,41,1.15185575918335,5.07536443890162,150
1067,1086,20,0.35,False,4.40625,20,90,41,1.13653324723952,5.00784962064912,150
1087,1190,37,0.35,False,4.40625,37,90,41,1.13788872885044,5.01382221149725,150
1191,1220,48,0.35,False,4.40625,48,90,41,1.12022866670191,4.93600756265528,150
1221,1250,50,0.35,False,4.40625,50,90,41,1.11285120508774,4.90350062241787,150
1251,1279,53,0.35,False,4.40625,53,90,41,1.11838753401621,4.92789507175891,150
1280,1290,57,0.35,False,4.40625,57,90,41,1.09775871894096,4.83699935533362,150
1291,1315,56,0.35,False,4.40625,56,90,41,1.104232613758,4.86552495437118,150
1316,1325,50,0.35,False,4.40625,50,90,41,1.08355749390057,4.77442520749939,150
1326,1348,57,0.35,False,4.40625,57,90,41,1.12882547292886,4.97388724009279,150
1349,1351,30,0.35,True,4.40625,30,90,41,0.925213675213675,4.07672275641026,150
1352,1377,30,0.35,False,4.40625,30,90,41,1.12566736496502,4.95997182687714,150
1378,1400,25,0.35,False,4.40625,25,90,41,1.13741955551975,5.01175491650888,150
1401,1430,24,0.35,False,4.40625,24,90,41,1.12588305414392,4.96092220732166,150
1431,1450,23,0.35,False,4.40625,23,90,41,1.12288309707074,4.94770364646795,150
1451,1490,26,0.35,False,4.40625,26,90,41,1.1275664395673,4.9683396243434,150
1491,1522,28,0.35,False,4.40625,28,90,41,1.08703356648939,4.78974165234385,150
1523,1541,34,0.35,False,4.40625,34,90,41,1.12195284767969,4.94360473508863,150
1542,1560,38,0.35,False,4.40625,38,90,41,1.13964249741371,5.02154975422916,150
1561,1600,50,0.31,False,4.40625,50,90,41,1.12733821400906,4.96733400547742,150
1601,1650,63,0.29,False,4.40625,63,90,41,1.12721494012373,4.96679082992021,150
1651,1700,62,0.26,False,4.40625,62,90,41,1.11250932913,4.90199423147905,150
1701,1801,113,0.25,False,4.40625,113,90,41,1.12705449519343,4.96608386944604,150
1802,1811,125,0.28,False,4.40625,125,90,41,1.11314697682308,4.9048038666267,150
1812,1821,134,0.28,False,4.40625,134,90,41,1.114102240603,4.90901299765696,150
1822,1831,158,0.26,False,4.40625,158,90,41,1.14131940156042,5.02893861312561,150
1832,1841,202,0.25,False,4.40625,202,90,41,1.14519247570876,5.04600434609171,150
1842,1851,274,0.22,False,4.40625,274,90,41,1.15992034459794,5.11089901838468,150
1852,1861,290,0.25,False,4.40625,290,90,41,1.11418330498668,4.90937018759755,150
1862,1871,315,0.22,False,4.40625,315,90,41,1.12634045280242,4.96293762016068,150
1872,1881,350,0.21,False,4.40625,350,90,41,1.13306820992994,4.99258180000378,150
1882,1891,378,0.19,False,4.40625,378,90,41,1.13623305869067,5.00652691485577,150
1892,1901,382,0.18,False,4.40625,382,90,41,1.12492835627293,4.95671556982762,150
1902,1911,421,0.13,False,4.40625,421,90,41,1.14798353847647,5.05830246641194,150
1912,1921,440,0.14,False,4.40625,440,90,41,1.13756859580751,5.01241162527685,150
1922,1931,450,0.12,False,4.40625,450,90,41,1.14038223649833,5.02480922957074,150
1932,1941,502,0.07,False,4.40625,502,90,41,1.16653046340514,5.14002485437891,150
1942,1951,528,0.08,False,4.40625,528,90,41,1.15678278670654,5.09707415392567,150
1952,1961,559,0.09,False,4.40625,559,90,41,1.15260036564179,5.07864536110915,150
1962,1971,563,0.1,False,4.40625,563,90,41,1.1576942380579,5.10109023644263,150
1972,1981,574,0.07,False,4.40625,574,90,41,1.16398651384432,5.12881557662654,150
1982,1991,593,0.1,False,4.40625,593,90,41,1.15754876249105,5.1004492347262,150
1992,2001,632,0.09,False,4.40625,632,90,41,1.16988470040004,5.15480446113768,150
2002,2011,656,0.09,False,4.40625,656,90,41,1.17712249911219,5.18669601171307,150
2012,2015,662,0.09,False,4.40625,662,90,41,1.16175314866603,5.1189748113097,150
