StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,2,15,90,41,0.973663224915273,1.94732644983055,150
1,43,20,0.35,False,2,20,90,41,0.990530847881089,1.98106169576218,150
44,200,45,0.35,False,2,45,90,41,0.974852424100968,1.94970484820194,150
201,410,30,0.35,False,2,30,90,41,0.956786817727154,1.91357363545431,150
411,430,12,0.35,False,2,12,90,41,0.912223479501757,1.82444695900351,150
431,500,13,0.35,False,2,13,90,41,1.00411873840445,2.00823747680891,150
501,750,13,0.35,False,2,13,90,41,0.979145208386384,1.95829041677277,150
751,950,14,0.35,False,2,14,90,41,0.994047130973601,1.9880942619472,150
951,1066,15,0.35,False,2,15,90,41,0.986296056884293,1.97259211376859,150
1067,1086,20,0.35,False,2,20,90,41,0.975788429406851,1.9515768588137,150
1087,1190,37,0.35,False,2,37,90,41,0.979829627567509,1.95965925513502,150
1191,1220,48,0.35,False,2,48,90,41,0.95202329578508,1.90404659157016,150
1221,1250,50,0.35,False,2,50,90,41,0.940325776334218,1.88065155266844,150
1251,1279,53,0.35,False,2,53,90,41,0.944641953364287,1.88928390672857,150
1280,1290,57,0.35,False,2,57,90,41,0.949438868630221,1.89887773726044,150
1291,1315,56,0.35,False,2,56,90,41,0.944818059024547,1.88963611804909,150
1316,1325,50,0.35,False,2,50,90,41,0.903960931135536,1.80792186227107,150
1326,1348,57,0.35,False,2,57,90,41,0.952178289928237,1.90435657985647,150
1349,1351,30,0.35,True,2,30,90,41,0.767843187076755,1.53568637415351,150
1352,1377,30,0.35,False,2,30,90,41,0.950703252077737,1.90140650415547,150
1378,1400,25,0.35,False,2,25,90,41,0.948908994984451,1.8978179899689,150
1401,1430,24,0.35,False,2,24,90,41,0.958845212480895,1.91769042496179,150
1431,1450,23,0.35,False,2,23,90,41,0.950801705540836,1.90160341108167,150
1451,1490,26,0.35,False,2,26,90,41,0.943979401935174,1.88795880387035,150
1491,1522,28,0.35,False,2,28,90,41,0.924019197395822,1.84803839479164,150
1523,1541,34,0.35,False,2,34,90,41,0.957196883945042,1.91439376789008,150
1542,1560,38,0.35,False,2,38,90,41,0.961742614297188,1.92348522859438,150
1561,1600,50,0.31,False,2,50,90,41,0.955880948771565,1.91176189754313,150
1601,1650,63,0.29,False,2,63,90,41,0.961964752042733,1.92392950408547,150
1651,1700,62,0.26,False,2,62,90,41,0.945714045435324,1.89142809087065,150
1701,1801,113,0.25,False,2,113,90,41,0.951642674990091,1.90328534998018,150
1802,1811,125,0.28,False,2,125,90,41,0.955223511945255,1.91044702389051,150
1812,1821,134,0.28,False,2,134,90,41,0.951686845060537,1.90337369012107,150
1822,1831,158,0.26,False,2,158,90,41,0.965929450996681,1.93185890199336,150
1832,1841,202,0.25,False,2,202,90,41,0.966966445626985,1.93393289125397,150
1842,1851,274,0.22,False,2,274,90,41,0.975499259566746,1.95099851913349,150
1852,1861,290,0.25,False,2,290,90,41,0.949434571535233,1.89886914307047,150
1862,1871,315,0.22,False,2,315,90,41,0.953354224457311,1.90670844891462,150
1872,1881,350,0.21,False,2,350,90,41,0.960629352257232,1.92125870451446,150
1882,1891,378,0.19,False,2,378,90,41,0.957368498223336,1.91473699644667,150
1892,1901,382,0.18,False,2,382,90,41,0.949141113286939,1.89828222657388,150
1902,1911,421,0.13,False,2,421,90,41,0.974765402394194,1.94953080478839,150
1912,1921,440,0.14,False,2,440,90,41,0.961388911908617,1.92277782381723,150
1922,1931,450,0.12,False,2,450,90,41,0.960700582836604,1.92140116567321,150
1932,1941,502,0.07,False,2,502,90,41,0.983459236401865,1.96691847280373,150
1942,1951,528,0.08,False,2,528,90,41,0.979542311404572,1.95908462280914,150
1952,1961,559,0.09,False,2,559,90,41,0.978008628583539,1.95601725716708,150
1962,1971,563,0.1,False,2,563,90,41,0.973114868357409,1.94622973671482,150
1972,1981,574,0.07,False,2,574,90,41,0.981516075191947,1.96303215038389,150
1982,1991,593,0.1,False,2,593,90,41,0.98213157922044,1.96426315844088,150
1992,2001,632,0.09,False,2,632,90,41,0.985249436269089,1.97049887253818,150
2002,2011,656,0.09,False,2,656,90,41,0.989847914118747,1.97969582823749,150
2012,2015,662,0.09,False,2,662,90,41,0.97885186553742,1.95770373107484,150
