StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,2.5,15,90,41,1.30845624963272,3.2711406240818,150
1,43,20,0.35,False,2.5,20,90,41,1.18856774969976,2.9714193742494,150
44,200,45,0.35,False,2.5,45,90,41,1.16267324901981,2.90668312254952,150
201,410,30,0.35,False,2.5,30,90,41,1.15808625895487,2.89521564738717,150
411,430,12,0.35,False,2.5,12,90,41,1.12468674026006,2.81171685065014,150
431,500,13,0.35,False,2.5,13,90,41,1.2511544011544,3.127886002886,150
501,750,13,0.35,False,3.75,13,90,41,2.02656898954159,7.59963371078097,150
751,950,14,0.35,False,3.75,14,90,41,0.80800292369739,3.03001096386521,150
951,1066,15,0.35,False,3.28125,15,90,41,4.53642646516532,14.8851493388237,150
1067,1086,20,0.35,False,2.460937,20,90,41,4.50180380614398,11.0786555532805,150
1087,1190,37,0.35,False,2.460937,37,90,41,1.20893833291738,2.97512107419471,150
1191,1220,48,0.35,False,2.460937,48,90,41,1.18584996850865,2.91830206395177,150
1221,1250,50,0.35,False,2.460937,50,90,41,1.16293347789315,2.86190602428594,150
1251,1279,53,0.35,False,2.460937,53,90,41,1.15962980562765,2.8537758949719,150
1280,1290,57,0.35,False,2.460937,57,90,41,1.19792460314568,2.94801697909151,150
1291,1315,56,0.35,False,2.460937,56,90,41,1.15846454352608,2.85090825835145,150
1316,1325,50,0.35,False,2.460937,50,90,41,1.18334967314131,2.91214899457136,150
1326,1348,57,0.35,False,2.460937,57,90,41,1.18416575317327,2.91415731611696,150
1349,1351,30,0.35,True,2.460937,30,90,41,0.978342842153584,2.40764009894091,150
1352,1377,30,0.35,False,2.460937,30,90,41,1.20624272605878,2.96848735553891,150
1378,1400,25,0.35,False,2.460937,25,90,41,1.15678174062862,2.84676698643738,150
1401,1430,24,0.35,False,2.460937,24,90,41,1.19425529339717,2.93898703896695,150
1431,1450,23,0.35,False,3.095702,23,90,41,3.11944638121535,9.65687640122112,150
1451,1490,26,0.35,False,3.095702,26,90,41,0.986761331261331,3.05471902670837,150
1491,1522,28,0.35,False,3.095702,28,90,41,0.941270546716485,2.91389311401132,150
1523,1541,34,0.35,False,3.095702,34,90,41,0.994860877132658,3.07979280706132,150
1542,1560,38,0.35,False,3.095702,38,90,41,0.96567165007262,2.98943165847311,150
1561,1600,50,0.31,False,3.095702,50,90,41,0.952828763548741,2.94967390897536,150
1601,1650,63,0.29,False,3.095702,63,90,41,0.950119245365674,2.94128604811701,150
1651,1700,62,0.26,False,3.095702,62,90,41,0.949038821034031,2.93794137635269,150
1701,1801,113,0.25,False,3.095702,113,90,41,0.955766289326625,2.95876761340101,150
1802,1811,125,0.28,False,3.095702,125,90,41,0.961517045695967,2.9765702413951,150
1812,1821,134,0.28,False,3.095702,134,90,41,0.94721286392887,2.93228875729033,150
1822,1831,158,0.26,False,3.095702,158,90,41,0.967565792274846,2.99529535827683,150
1832,1841,202,0.25,False,3.095702,202,90,41,0.977327243199752,3.02551390142796,150
1842,1851,274,0.22,False,3.095702,274,90,41,0.996397808752044,3.08455068934932,150
1852,1861,290,0.25,False,3.095702,290,90,41,0.950798728703321,2.94338952604433,150
1862,1871,315,0.22,False,3.095702,315,90,41,0.963889230231653,2.98391381780659,150
1872,1881,350,0.21,False,3.095702,350,90,41,0.964560940581849,2.98599323288111,150
1882,1891,378,0.19,False,3.095702,378,90,41,0.96446888144425,2.98570824522473,150
1892,1901,382,0.18,False,3.095702,382,90,41,0.958519365627286,2.96729031721112,150
1902,1911,421,0.13,False,3.095702,421,90,41,0.975996456164609,3.02139418134169,150
1912,1921,440,0.14,False,3.095702,440,90,41,0.973168274867843,3.01263897484493,150
1922,1931,450,0.12,False,3.095702,450,90,41,0.972456233205892,3.01043470604795,150
1932,1941,502,0.07,False,3.095702,502,90,41,1.00500825903701,3.11120607751739,150
1942,1951,528,0.08,False,3.095702,528,90,41,0.986718943871101,3.05458780797965,150
1952,1961,559,0.09,False,3.095702,559,90,41,0.986561950455335,3.05410180314848,150
1962,1971,563,0.1,False,3.095702,563,90,41,0.983719750956024,3.04530320047406,150
1972,1981,574,0.07,False,3.095702,574,90,41,0.988864628358173,3.06123020773765,150
1982,1991,593,0.1,False,3.095702,593,90,41,0.995052268158401,3.0803852966425,150
1992,2001,632,0.09,False,3.095702,632,90,41,1.01634435803662,3.14629926186267,150
2002,2011,656,0.09,False,3.095702,656,90,41,1.04360845055262,3.23070076759264,150
2012,2015,662,0.09,False,3.095702,662,90,41,1.05021679433258,3.25115823064896,150
