StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,3.75,15,90,41,3.57242539383078,13.3965952268654,150
1,43,20,0.35,False,3.75,20,90,41,1.0707417527473,4.01528157280236,150
44,200,45,0.35,False,3.75,45,90,41,1.01785584099748,3.81695940374055,150
201,410,30,0.35,False,3.75,30,90,41,1.00199416089089,3.75747810334083,150
411,430,12,0.35,False,3.75,12,90,41,0.977916311716595,3.66718616893723,150
431,500,13,0.35,False,3.75,13,90,41,1.07969459112316,4.04885471671186,150
501,750,13,0.35,False,3.75,13,90,41,1.07148463203463,4.01806737012987,150
751,950,14,0.35,False,3.75,14,90,41,1.07600216450217,4.03500811688312,150
951,1066,15,0.35,False,3.75,15,90,41,1.04277439514509,3.91040398179407,150
1067,1086,20,0.35,False,3.75,20,90,41,1.0371422735761,3.88928352591036,150
1087,1190,37,0.35,False,3.75,37,90,41,1.05050842105761,3.93940657896602,150
1191,1220,48,0.35,False,3.75,48,90,41,1.05277273547097,3.94789775801614,150
1221,1250,50,0.35,False,3.75,50,90,41,1.01863829516196,3.81989360685735,150
1251,1279,53,0.35,False,3.75,53,90,41,1.01594537487904,3.80979515579639,150
1280,1290,57,0.35,False,3.75,57,90,41,1.02643543021103,3.84913286329137,150
1291,1315,56,0.35,False,3.75,56,90,41,1.01683286233402,3.81312323375259,150
1316,1325,50,0.35,False,3.75,50,90,41,1.0180339620945,3.81762735785437,150
1326,1348,57,0.35,False,3.75,57,90,41,1.03259581259794,3.87223429724226,150
1349,1351,30,0.35,True,3.75,30,90,41,0.814336609975555,3.05376228740833,150
1352,1377,30,0.35,False,3.75,30,90,41,1.06204173086072,3.98265649072769,150
1378,1400,25,0.35,False,3.75,25,90,41,1.02862621788959,3.85734831708595,150
1401,1430,24,0.35,False,3.75,24,90,41,1.03524707310939,3.88217652416022,150
1431,1450,23,0.35,False,3.75,23,90,41,1.02675276897016,3.8503228836381,150
1451,1490,26,0.35,False,3.75,26,90,41,1.02050657555005,3.8268996583127,150
1491,1522,28,0.35,False,3.75,28,90,41,1.04541245967197,3.92029672376989,150
1523,1541,34,0.35,False,3.75,34,90,41,1.04524036040458,3.91965135151717,150
1542,1560,38,0.35,False,3.75,38,90,41,1.0237042514947,3.83889094310514,150
1561,1600,50,0.31,False,3.75,50,90,41,1.03445663005953,3.87921236272323,150
1601,1650,63,0.29,False,3.75,63,90,41,1.0457504193501,3.92156407256287,150
1651,1700,62,0.26,False,3.75,62,90,41,1.03434264066294,3.87878490248601,150
1701,1801,113,0.25,False,3.75,113,90,41,1.0441390843996,3.91552156649851,150
1802,1811,125,0.28,False,3.75,125,90,41,1.03875091116119,3.89531591685446,150
1812,1821,134,0.28,False,3.75,134,90,41,1.03986203277885,3.89948262292068,150
1822,1831,158,0.26,False,3.75,158,90,41,1.05723449341537,3.96462935030763,150
1832,1841,202,0.25,False,3.75,202,90,41,1.06394173127976,3.9897814922991,150
1842,1851,274,0.22,False,3.75,274,90,41,1.08281716633486,4.06056437375572,150
1852,1861,290,0.25,False,3.75,290,90,41,1.04036613928459,3.90137302231723,150
1862,1871,315,0.22,False,3.75,315,90,41,1.04350550736011,3.91314565260043,150
1872,1881,350,0.21,False,3.75,350,90,41,1.05184211215876,3.94440792059537,150
1882,1891,378,0.19,False,3.75,378,90,41,1.0495818300609,3.93593186272837,150
1892,1901,382,0.18,False,3.75,382,90,41,1.04342474961073,3.91284281104026,150
1902,1911,421,0.13,False,3.75,421,90,41,1.06320182112998,3.98700682923742,150
1912,1921,440,0.14,False,3.75,440,90,41,1.05784296798658,3.96691112994966,150
1922,1931,450,0.12,False,3.75,450,90,41,1.06248476559109,3.98431787096657,150
1932,1941,502,0.07,False,3.75,502,90,41,1.09158138262639,4.09343018484895,150
1942,1951,528,0.08,False,3.75,528,90,41,1.07816713457516,4.04312675465685,150
1952,1961,559,0.09,False,3.75,559,90,41,1.07604271592979,4.03516018473671,150
1962,1971,563,0.1,False,3.75,563,90,41,1.06726486622823,4.00224324835586,150
1972,1981,574,0.07,False,3.75,574,90,41,1.088618547567,4.08231955337625,150
1982,1991,593,0.1,False,3.75,593,90,41,1.09937493211065,4.12265599541493,150
1992,2001,632,0.09,False,3.75,632,90,41,1.0937335932831,4.10150097481162,150
2002,2011,656,0.09,False,3.75,656,90,41,1.12161759539444,4.20606598272914,150
2012,2015,662,0.09,False,3.75,662,90,41,1.16640368396162,4.37401381485609,150
