StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,0.078125,15,90,41,3.3531383456004,0.261963933250031,150
1,43,20,0.35,False,0.039062,20,90,41,2.51870781721831,0.0983857647561815,150
44,200,45,0.35,False,0.039062,45,90,41,1.44998241212508,0.0566392129824299,150
201,410,30,0.35,False,0.039062,30,90,41,1.33583649897288,0.0521804453228788,150
411,430,12,0.35,False,0.039062,12,90,41,1.32541996047431,0.0517735544960474,150
431,500,13,0.35,False,0.058516,13,90,41,4.49429143152355,0.262987957407032,150
501,750,13,0.35,False,0.058516,13,90,41,0.9226732068585,0.053991145372532,150
751,950,14,0.35,False,0.058516,14,90,41,0.925722159612832,0.0541695578919045,150
951,1066,15,0.35,False,0.058516,15,90,41,0.914839155623626,0.0535327280304721,150
1067,1086,20,0.35,False,0.058516,20,90,41,0.903778664575878,0.0528855123363221,150
1087,1190,37,0.35,False,0.058516,37,90,41,0.90487296336705,0.0529495463243863,150
1191,1220,48,0.35,False,0.058516,48,90,41,0.889917239330618,0.0520743971766704,150
1221,1250,50,0.35,False,0.058516,50,90,41,0.898280572101817,0.0525637859571099,150
1251,1279,53,0.35,False,0.058516,53,90,41,0.878012012450453,0.0513777509205507,150
1280,1290,57,0.35,False,0.058516,57,90,41,0.894084107281724,0.0523182256216974,150
1291,1315,56,0.35,False,0.058516,56,90,41,0.867190361995451,0.0507445112225258,150
1316,1325,50,0.35,False,0.058516,50,90,41,0.85592290417925,0.050085184660953,150
1326,1348,57,0.35,False,0.058516,57,90,41,0.893858052126386,0.0523049977782276,150
1349,1351,30,0.35,True,0.058516,30,90,41,0.731563538015151,0.0428081719904946,150
1352,1377,30,0.35,False,0.058516,30,90,41,0.879470825675135,0.0514631148352062,150
1378,1400,25,0.35,False,0.058516,25,90,41,0.87438731763397,0.0511656482786694,150
1401,1430,24,0.35,False,0.043887,24,90,41,3.92861661567684,0.17241519741221,150
1431,1450,23,0.35,False,0.053609,23,90,41,8.83376216901996,0.473569156118991,150
1451,1490,26,0.35,False,0.053609,26,90,41,0.986706583070714,0.0528963532118379,150
1491,1522,28,0.35,False,0.053609,28,90,41,0.958079945162467,0.0513617077802147,150
1523,1541,34,0.35,False,0.053609,34,90,41,1.0068233489589,0.0539747929143379,150
1542,1560,38,0.35,False,0.053609,38,90,41,0.961794132834544,0.051560821667127,150
1561,1600,50,0.31,False,0.053609,50,90,41,0.970595798713316,0.0520326701732222,150
1601,1650,63,0.29,False,0.053609,63,90,41,0.966778458156871,0.0518280263633317,150
1651,1700,62,0.26,False,0.053609,62,90,41,0.968044669112748,0.0518959066664653,150
1701,1801,113,0.25,False,0.053609,113,90,41,0.980483558091425,0.0525627430657232,150
1802,1811,125,0.28,False,0.053609,125,90,41,0.97075799250069,0.0520413652199695,150
1812,1821,134,0.28,False,0.053609,134,90,41,0.975081263426066,0.052273131451008,150
1822,1831,158,0.26,False,0.053609,158,90,41,0.984099753288277,0.0527566036740313,150
1832,1841,202,0.25,False,0.053609,202,90,41,0.994600660319004,0.0533195467990415,150
1842,1851,274,0.22,False,0.053609,274,90,41,0.999961172168086,0.0536069184787589,150
1852,1861,290,0.25,False,0.053609,290,90,41,0.972633659648606,0.0521419178601021,150
1862,1871,315,0.22,False,0.053609,315,90,41,0.987208553392633,0.0529232633388256,150
1872,1881,350,0.21,False,0.053609,350,90,41,0.98407496166763,0.05275527462004,150
1882,1891,378,0.19,False,0.053609,378,90,41,0.980722323226844,0.0525755430258679,150
1892,1901,382,0.18,False,0.053609,382,90,41,0.978254847342636,0.0524432641111914,150
1902,1911,421,0.13,False,0.053609,421,90,41,0.991093216527979,0.0531315162448484,150
1912,1921,440,0.14,False,0.053609,440,90,41,0.9863852944161,0.0528791292483527,150
1922,1931,450,0.12,False,0.053609,450,90,41,0.98987382655389,0.0530661459677275,150
1932,1941,502,0.07,False,0.053609,502,90,41,1.00777671321093,0.0540259018185249,150
1942,1951,528,0.08,False,0.053609,528,90,41,1.00452681242227,0.0538516778871453,150
1952,1961,559,0.09,False,0.053609,559,90,41,1.00151637175422,0.0536902911733718,150
1962,1971,563,0.1,False,0.053609,563,90,41,1.00095244881521,0.0536600598285348,150
1972,1981,574,0.07,False,0.053609,574,90,41,1.01086558554305,0.0541914931753773,150
1982,1991,593,0.1,False,0.053609,593,90,41,1.00467618749216,0.0538596857352674,150
1992,2001,632,0.09,False,0.053609,632,90,41,1.01352407121832,0.054334011933943,150
2002,2011,656,0.09,False,0.053609,656,90,41,1.01544348437747,0.0544369097539919,150
2012,2015,662,0.09,False,0.053609,662,90,41,1.01269558385023,0.054289597554627,150
