StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,3.125,15,90,41,3.77358085394301,11.7924401685719,150
1,43,20,0.35,False,3.125,20,90,41,0.935688106702938,2.92402533344668,150
44,200,45,0.35,False,3.125,45,90,41,0.932068251403603,2.91271328563626,150
201,410,30,0.35,False,3.125,30,90,41,0.921197131626345,2.87874103633233,150
411,430,12,0.35,False,3.125,12,90,41,0.884148848528252,2.76296515165079,150
431,500,13,0.35,False,3.125,13,90,41,0.937281122239105,2.9290035069972,150
501,750,13,0.35,False,3.125,13,90,41,0.966669875222815,3.0208433600713,150
751,950,14,0.35,False,3.125,14,90,41,0.963004838298956,3.00939011968424,150
951,1066,15,0.35,False,3.125,15,90,41,0.967513011776784,3.02347816180245,150
1067,1086,20,0.35,False,3.125,20,90,41,0.978118956421975,3.05662173881867,150
1087,1190,37,0.35,False,3.125,37,90,41,0.941398259241658,2.94186956013018,150
1191,1220,48,0.35,False,3.125,48,90,41,0.936372535360893,2.92616417300279,150
1221,1250,50,0.35,False,3.125,50,90,41,0.923621312043898,2.88631660013718,150
1251,1279,53,0.35,False,3.125,53,90,41,0.939532107738634,2.93603783668323,150
1280,1290,57,0.35,False,3.125,57,90,41,0.921424754752023,2.87945235860007,150
1291,1315,56,0.35,False,3.125,56,90,41,0.925711982952353,2.8928499467261,150
1316,1325,50,0.35,False,3.125,50,90,41,0.921831721451288,2.88072412953528,150
1326,1348,57,0.35,False,3.125,57,90,41,0.923517328678655,2.8859916521208,150
1349,1351,30,0.35,True,3.125,30,90,41,0.758286567276987,2.36964552274059,150
1352,1377,30,0.35,False,3.125,30,90,41,0.935025590371809,2.9219549699119,150
1378,1400,25,0.35,False,3.125,25,90,41,0.915445098074099,2.86076593148156,150
1401,1430,24,0.35,False,3.125,24,90,41,0.956094228757897,2.98779446486843,150
1431,1450,23,0.35,False,3.125,23,90,41,0.9366011042098,2.92687845065563,150
1451,1490,26,0.35,False,3.125,26,90,41,0.941774329334112,2.9430447791691,150
1491,1522,28,0.35,False,3.125,28,90,41,0.945668150811473,2.95521297128585,150
1523,1541,34,0.35,False,3.125,34,90,41,0.944606848445049,2.95189640139078,150
1542,1560,38,0.35,False,3.125,38,90,41,0.92808182393542,2.90025569979819,150
1561,1600,50,0.31,False,3.125,50,90,41,0.936144030460772,2.92545009518991,150
1601,1650,63,0.29,False,3.125,63,90,41,0.933704702067295,2.9178271939603,150
1651,1700,62,0.26,False,3.125,62,90,41,0.942026070457423,2.94383147017945,150
1701,1801,113,0.25,False,3.125,113,90,41,0.95254733171604,2.97671041161262,150
1802,1811,125,0.28,False,3.125,125,90,41,0.958168720182211,2.99427725056941,150
1812,1821,134,0.28,False,3.125,134,90,41,0.944949680325193,2.95296775101623,150
1822,1831,158,0.26,False,3.125,158,90,41,0.959493633986451,2.99841760620766,150
1832,1841,202,0.25,False,3.125,202,90,41,0.965088834249481,3.01590260702963,150
1842,1851,274,0.22,False,3.125,274,90,41,0.980099496816454,3.06281092755142,150
1852,1861,290,0.25,False,3.125,290,90,41,0.951414588372155,2.97317058866298,150
1862,1871,315,0.22,False,3.125,315,90,41,0.950381221880965,2.96994131837802,150
1872,1881,350,0.21,False,3.125,350,90,41,0.953302290908151,2.97906965908797,150
1882,1891,378,0.19,False,3.125,378,90,41,0.959928218332261,2.99977568228832,150
1892,1901,382,0.18,False,3.125,382,90,41,0.949100076504052,2.96593773907516,150
1902,1911,421,0.13,False,3.125,421,90,41,0.966720376165879,3.02100117551837,150
1912,1921,440,0.14,False,3.125,440,90,41,0.953959082624659,2.98112213320206,150
1922,1931,450,0.12,False,3.125,450,90,41,0.96385623971362,3.01205074910506,150
1932,1941,502,0.07,False,3.125,502,90,41,0.98009979012975,3.06281184415547,150
1942,1951,528,0.08,False,3.125,528,90,41,0.98026588112421,3.06333087851316,150
1952,1961,559,0.09,False,3.125,559,90,41,0.977026671169684,3.05320834740526,150
1962,1971,563,0.1,False,3.125,563,90,41,0.975149607813668,3.04734252441771,150
1972,1981,574,0.07,False,3.125,574,90,41,0.97868671849856,3.058395995308,150
1982,1991,593,0.1,False,3.125,593,90,41,0.981668805822577,3.06771501819555,150
1992,2001,632,0.09,False,3.125,632,90,41,0.985720319564719,3.08037599863975,150
2002,2011,656,0.09,False,3.125,656,90,41,1.01023035258281,3.15696985182127,150
2012,2015,662,0.09,False,3.125,662,90,41,1.00766658138609,3.14895806683154,150
