StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,8.75,15,90,41,5.99874716786481,52.4890377188171,150
1,43,20,0.35,False,9.375,20,90,41,2.69425158175158,25.2586085789211,150
44,200,45,0.35,False,9.375,45,90,41,1.23222646028594,11.5521230651807,150
201,410,30,0.35,False,9.375,30,90,41,1.18101386444881,11.0720049792076,150
411,430,12,0.35,False,9.375,12,90,41,1.11215502966819,10.4264534031393,150
431,500,13,0.35,False,9.375,13,90,41,1.17744588744589,11.0385551948052,150
501,750,13,0.35,False,9.375,13,90,41,1.19354675324676,11.1895008116883,150
751,950,14,0.35,False,9.375,14,90,41,1.15084460678211,10.7891681885823,150
951,1066,15,0.35,False,9.375,15,90,41,1.13714331645366,10.6607185917531,150
1067,1086,20,0.35,False,9.375,20,90,41,1.10223335488041,10.3334377020039,150
1087,1190,37,0.35,False,9.375,37,90,41,1.09051523639493,10.2235803412024,150
1191,1220,48,0.35,False,9.375,48,90,41,1.08936173784902,10.2127662923346,150
1221,1250,50,0.35,False,9.375,50,90,41,1.05248793344276,9.86707437602588,150
1251,1279,53,0.35,False,9.375,53,90,41,1.06919541671475,10.0237070317008,150
1280,1290,57,0.35,False,9.375,57,90,41,1.04978558784683,9.84173988606406,150
1291,1315,56,0.35,False,9.375,56,90,41,1.0417955944872,9.76683369831752,150
1316,1325,50,0.35,False,9.375,50,90,41,1.03634718891142,9.71575489604456,150
1326,1348,57,0.35,False,9.375,57,90,41,1.05788914031061,9.91771069041193,150
1349,1351,30,0.35,True,9.375,30,90,41,0.864817471704129,8.10766379722621,150
1352,1377,30,0.35,False,9.375,30,90,41,1.05926714408682,9.9306294758139,150
1378,1400,25,0.35,False,9.375,25,90,41,1.03747419231626,9.7263205529649,150
1401,1430,24,0.35,False,9.375,24,90,41,1.06206354032441,9.95684569054134,150
1431,1450,23,0.35,False,9.375,23,90,41,1.07711822375438,10.0979833476973,150
1451,1490,26,0.35,False,9.375,26,90,41,1.05458605705888,9.88674428492703,150
1491,1522,28,0.35,False,9.375,28,90,41,1.07212053294934,10.0511299964,150
1523,1541,34,0.35,False,9.375,34,90,41,1.03236120716911,9.67838631721038,150
1542,1560,38,0.35,False,9.375,38,90,41,1.08328128361023,10.1557620338459,150
1561,1600,50,0.31,False,9.375,50,90,41,1.04109262129516,9.76024332464216,150
1601,1650,63,0.29,False,9.375,63,90,41,1.03580873146342,9.71070685746958,150
1651,1700,62,0.26,False,9.375,62,90,41,1.01783485216346,9.5422017390324,150
1701,1801,113,0.25,False,9.375,113,90,41,1.03180830997194,9.67320290598698,150
1802,1811,125,0.28,False,9.375,125,90,41,1.03719193680224,9.72367440752103,150
1812,1821,134,0.28,False,9.375,134,90,41,1.03135277922757,9.66893230525845,150
1822,1831,158,0.26,False,9.375,158,90,41,1.04568330274998,9.80328096328107,150
1832,1841,202,0.25,False,9.375,202,90,41,1.04275019595584,9.77578308708601,150
1842,1851,274,0.22,False,9.375,274,90,41,1.04856131820919,9.83026235821118,150
1852,1861,290,0.25,False,9.375,290,90,41,1.02489128295938,9.60835577774419,150
1862,1871,315,0.22,False,9.375,315,90,41,1.02940885465947,9.65070801243254,150
1872,1881,350,0.21,False,9.375,350,90,41,1.0351575461,9.7046019946875,150
1882,1891,378,0.19,False,9.375,378,90,41,1.02260042673357,9.58687900062718,150
1892,1901,382,0.18,False,9.375,382,90,41,1.02192333025199,9.58053122111237,150
1902,1911,421,0.13,False,9.375,421,90,41,1.03987474799484,9.74882576245164,150
1912,1921,440,0.14,False,9.375,440,90,41,1.02307035174151,9.59128454757666,150
1922,1931,450,0.12,False,9.375,450,90,41,1.02491502999106,9.60857840616619,150
1932,1941,502,0.07,False,9.375,502,90,41,1.07244748710268,10.0541951915876,150
1942,1951,528,0.08,False,9.375,528,90,41,1.04578033553593,9.80419064564931,150
1952,1961,559,0.09,False,9.375,559,90,41,1.04643413066495,9.81031997498388,150
1962,1971,563,0.1,False,9.375,563,90,41,1.03854695660042,9.73637771812892,150
1972,1981,574,0.07,False,9.375,574,90,41,1.0430226608178,9.77833744516683,150
1982,1991,593,0.1,False,9.375,593,90,41,1.04164963153577,9.76546529564782,150
1992,2001,632,0.09,False,9.375,632,90,41,1.04567673777319,9.80321941662366,150
2002,2011,656,0.09,False,9.375,656,90,41,1.04295171973507,9.7776723725163,150
2012,2015,662,0.09,False,9.375,662,90,41,1.04313807992701,9.77941949931571,150
