StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,1500,0.35,False,1,1500,90,41,0,0,1.33333333333333
1,43,2000,0.35,False,1,2000,90,41,0,0,1.33333333333333
44,200,4500,0.35,False,1,4500,90,41,0,0,1.33333333333333
201,410,3000,0.35,False,1,3000,90,41,0,0,1.33333333333333
411,430,1250,0.35,False,1,1250,90,41,0,0,1.33333333333333
431,500,1300,0.35,False,1,1300,90,41,0,0,1.33333333333333
501,750,1300,0.35,False,1,1300,90,41,0,0,1.33333333333333
751,950,1400,0.35,False,1,1400,90,41,0,0,1.33333333333333
951,1066,1500,0.35,False,1,1500,90,41,0,0,1.33333333333333
1067,1086,2000,0.35,False,1,2000,90,41,0,0,1.33333333333333
1087,1190,3700,0.35,False,1,3700,90,41,0,0,1.33333333333333
1191,1220,4800,0.35,False,1,4800,90,41,0,0,1.33333333333333
1221,1250,5000,0.35,False,1,5000,90,41,0,0,1.33333333333333
1251,1279,5300,0.35,False,1,5300,90,41,0,0,1.33333333333333
1280,1290,5700,0.35,False,1,5700,90,41,0,0,1.33333333333333
1291,1315,5600,0.35,False,1,5600,90,41,0,0,1.33333333333333
1316,1325,5000,0.35,False,1,5000,90,41,0,0,1.33333333333333
1326,1348,5700,0.35,False,1,5700,90,41,0,0,1.33333333333333
1349,1351,3000,0.35,True,1,3000,90,41,0,0,1.33333333333333
1352,1377,3000,0.35,False,1,3000,90,41,0,0,1.33333333333333
1378,1400,2500,0.35,False,1,2500,90,41,0,0,1.33333333333333
1401,1430,2400,0.35,False,1,2400,90,41,0,0,1.33333333333333
1431,1450,2300,0.35,False,1,2300,90,41,0,0,1.33333333333333
1451,1490,2600,0.35,False,1,2600,90,41,0,0,1.33333333333333
1491,1522,2800,0.35,False,1,2800,90,41,0,0,1.33333333333333
1523,1541,3400,0.35,False,1,3400,90,41,0,0,1.33333333333333
1542,1560,3800,0.35,False,1,3800,90,41,0,0,1.33333333333333
1561,1600,5000,0.31,False,1,5000,90,41,0,0,1.33333333333333
1601,1650,6300,0.29,False,1,6300,90,41,0,0,1.33333333333333
1651,1700,6200,0.26,False,1,6200,90,41,0,0,1.33333333333333
1701,1801,11300,0.25,False,1,11300,90,41,0,0,1.33333333333333
1802,1811,12500,0.28,False,1,12500,90,41,0,0,1.33333333333333
1812,1821,13400,0.28,False,1,13400,90,41,0,0,1.33333333333333
1822,1831,15800,0.26,False,1,15800,90,41,0,0,1.33333333333333
1832,1841,20200,0.25,False,1,20200,90,41,0,0,1.33333333333333
1842,1851,27400,0.22,False,1,27400,90,41,0,0,1.33333333333333
1852,1861,29000,0.25,False,1,29000,90,41,0,0,1.33333333333333
1862,1871,31500,0.22,False,1,31500,90,41,0,0,1.33333333333333
1872,1881,35000,0.21,False,1,35000,90,41,0,0,1.33333333333333
1882,1891,37800,0.19,False,1,37800,90,41,0,0,1.33333333333333
1892,1901,38200,0.18,False,1,38200,90,41,0,0,1.33333333333333
1902,1911,42100,0.13,False,1,42100,90,41,0,0,1.33333333333333
1912,1921,44000,0.14,False,1,44000,90,41,0,0,1.33333333333333
1922,1931,45000,0.12,False,1,45000,90,41,0,0,1.33333333333333
1932,1941,50200,0.07,False,1,50200,90,41,0,0,1.33333333333333
1942,1951,52800,0.08,False,1,52800,90,41,0,0,1.33333333333333
1952,1961,55900,0.09,False,1,55900,90,41,0,0,1.33333333333333
1962,1971,56300,0.1,False,1,56300,90,41,0,0,1.33333333333333
1972,1981,57400,0.07,False,1,57400,90,41,0,0,1.33333333333333
1982,1991,59300,0.1,False,1,59300,90,41,0,0,1.33333333333333
1992,2001,63200,0.09,False,1,63200,90,41,0,0,1.33333333333333
2002,2011,65600,0.09,False,1,65600,90,41,0,0,1.33333333333333
2012,2015,66270,0.09,False,1,66270,90,41,0,0,1.33333333333333
