StartYear,EndYear,EnvironmentCapacity,BreedingProbability,Disease,FitnessFactor,ExpectedMaxPopulation,MaxAge,MaxBreedingAge,AvgCapacityFactor,AvgCapacityFitness,Mutations
-50,0,15,0.35,False,1E-06,15,90,41,7.71822186360849,7.71822186360849E-06,150
1,43,20,0.35,False,1,20,90,41,0,0,150
44,200,45,0.35,False,1,45,90,41,0,0,150
201,410,30,0.35,False,1,30,90,41,0,0,150
411,430,12,0.35,False,1,12,90,41,0,0,150
431,500,13,0.35,False,1,13,90,41,0,0,150
501,750,13,0.35,False,1,13,90,41,0,0,150
751,950,14,0.35,False,1,14,90,41,0,0,150
951,1066,15,0.35,False,1,15,90,41,0,0,150
1067,1086,20,0.35,False,1,20,90,41,0,0,150
1087,1190,37,0.35,False,1,37,90,41,0,0,150
1191,1220,48,0.35,False,1,48,90,41,0,0,150
1221,1250,50,0.35,False,1,50,90,41,0,0,150
1251,1279,53,0.35,False,1,53,90,41,0,0,150
1280,1290,57,0.35,False,1,57,90,41,0,0,150
1291,1315,56,0.35,False,1,56,90,41,0,0,150
1316,1325,50,0.35,False,1,50,90,41,0,0,150
1326,1348,57,0.35,False,1,57,90,41,0,0,150
1349,1351,30,0.35,True,1,30,90,41,0,0,150
1352,1377,30,0.35,False,1,30,90,41,0,0,150
1378,1400,25,0.35,False,1,25,90,41,0,0,150
1401,1430,24,0.35,False,1,24,90,41,0,0,150
1431,1450,23,0.35,False,1,23,90,41,0,0,150
1451,1490,26,0.35,False,1,26,90,41,0,0,150
1491,1522,28,0.35,False,1,28,90,41,0,0,150
1523,1541,34,0.35,False,1,34,90,41,0,0,150
1542,1560,38,0.35,False,1,38,90,41,0,0,150
1561,1600,50,0.31,False,1,50,90,41,0,0,150
1601,1650,63,0.29,False,1,63,90,41,0,0,150
1651,1700,62,0.26,False,1,62,90,41,0,0,150
1701,1801,113,0.25,False,1,113,90,41,0,0,150
1802,1811,125,0.28,False,1,125,90,41,0,0,150
1812,1821,134,0.28,False,1,134,90,41,0,0,150
1822,1831,158,0.26,False,1,158,90,41,0,0,150
1832,1841,202,0.25,False,1,202,90,41,0,0,150
1842,1851,274,0.22,False,1,274,90,41,0,0,150
1852,1861,290,0.25,False,1,290,90,41,0,0,150
1862,1871,315,0.22,False,1,315,90,41,0,0,150
1872,1881,350,0.21,False,1,350,90,41,0,0,150
1882,1891,378,0.19,False,1,378,90,41,0,0,150
1892,1901,382,0.18,False,1,382,90,41,0,0,150
1902,1911,421,0.13,False,1,421,90,41,0,0,150
1912,1921,440,0.14,False,1,440,90,41,0,0,150
1922,1931,450,0.12,False,1,450,90,41,0,0,150
1932,1941,502,0.07,False,1,502,90,41,0,0,150
1942,1951,528,0.08,False,1,528,90,41,0,0,150
1952,1961,559,0.09,False,1,559,90,41,0,0,150
1962,1971,563,0.1,False,1,563,90,41,0,0,150
1972,1981,574,0.07,False,1,574,90,41,0,0,150
1982,1991,593,0.1,False,1,593,90,41,0,0,150
1992,2001,632,0.09,False,1,632,90,41,0,0,150
2002,2011,656,0.09,False,1,656,90,41,0,0,150
2012,2015,662,0.09,False,1,662,90,41,0,0,150
