Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness,Mutations
-50,0,1.066,1500,0.6,FALSE,2.419767654,1500,1.935814123,2.419767654,2.00E-04
1,43,1.066,0,0.6,FALSE,1.1165392,2000,0.89323136,1.1165392,2.00E-04
44,200,1.066,0,0.6,FALSE,1.095636343,4500,0.876509075,1.095636343,2.00E-04
201,410,1.066,0,0.6,FALSE,1.083597355,3000,0.866877884,1.083597355,2.00E-04
411,430,1.066,0,0.6,FALSE,1.035527916,1250,0.828422333,1.035527916,2.00E-04
431,500,1.066,0,0.6,FALSE,1.085077783,1300,0.868062227,1.085077783,2.00E-04
501,750,1.066,0,0.6,FALSE,1.084122179,1300,0.867297744,1.084122179,2.00E-04
751,950,1.066,0,0.6,FALSE,1.08440994,1400,0.867527952,1.08440994,2.00E-04
951,1066,1.066,0,0.6,FALSE,1.084830674,1500,0.867864539,1.084830674,2.00E-04
1067,1086,1.066,0,0.6,FALSE,1.100518281,2000,0.880414625,1.100518281,2.00E-04
1087,1190,1.066,0,0.6,FALSE,1.090073729,3700,0.872058983,1.090073729,2.00E-04
1191,1220,1.066,0,0.6,FALSE,1.092462161,4800,0.873969729,1.092462161,2.00E-04
1221,1250,1.066,0,0.6,FALSE,1.086835286,5000,0.869468229,1.086835286,2.00E-04
1251,1279,1.066,0,0.6,FALSE,1.084914436,5300,0.867931549,1.084914436,2.00E-04
1280,1290,1.066,0,0.6,FALSE,1.090007624,5700,0.872006099,1.090007624,2.00E-04
1291,1315,1.066,0,0.6,FALSE,1.082666263,5600,0.866133011,1.082666263,2.00E-04
1316,1325,1.066,0,0.6,FALSE,1.068633351,5000,0.854906681,1.068633351,2.00E-04
1326,1348,1.066,0,0.6,FALSE,1.089962241,5700,0.871969792,1.089962241,2.00E-04
1349,1351,1.066,0,0.6,TRUE,0.884249946,3000,0.707399957,0.884249946,2.00E-04
1352,1377,1.066,0,0.6,FALSE,1.083483331,3000,0.866786665,1.083483331,2.00E-04
1378,1400,1.066,0,0.6,FALSE,1.076163505,2500,0.860930804,1.076163505,2.00E-04
1401,1430,1.066,0,0.6,FALSE,1.082095891,2400,0.865676713,1.082095891,2.00E-04
1431,1450,1.066,0,0.6,FALSE,1.08204307,2300,0.865634456,1.08204307,2.00E-04
1451,1490,1.066,0,0.6,FALSE,1.087415554,2600,0.869932443,1.087415554,2.00E-04
1491,1522,1.066,0,0.6,FALSE,1.084757175,2800,0.86780574,1.084757175,2.00E-04
1523,1541,1.066,0,0.6,FALSE,1.097233495,3400,0.877786796,1.097233495,2.00E-04
1542,1560,1.066,0,0.6,FALSE,1.091528753,3800,0.873223002,1.091528753,2.00E-04
1561,1600,1.066,0,0.6,FALSE,1.091338085,5000,0.873070468,1.091338085,2.00E-04
1601,1650,1.066,0,0.6,FALSE,1.089025458,6300,0.871220366,1.089025458,2.00E-04
1651,1700,1.066,0,0.6,FALSE,1.08364166,6200,0.866913328,1.08364166,2.00E-04
1701,1801,1.066,0,0.6,FALSE,1.089374737,11300,0.871499789,1.089374737,2.00E-04
1802,1811,1.066,0,0.6,FALSE,1.095446385,12500,0.876357108,1.095446385,2.00E-04
1812,1821,1.066,0,0.6,FALSE,1.091015754,13400,0.872812603,1.091015754,2.00E-04
1822,1831,1.066,0,0.6,FALSE,1.101642358,15800,0.881313887,1.101642358,2.00E-04
1832,1841,1.066,0,0.6,FALSE,1.109511654,20200,0.887609323,1.109511654,2.00E-04
1842,1851,1.066,0,0.6,FALSE,1.116885597,27400,0.893508478,1.116885597,2.00E-04
1852,1861,1.066,0,0.6,FALSE,1.090857287,29000,0.87268583,1.090857287,2.00E-04
1862,1871,1.066,0,0.6,FALSE,1.092130441,31500,0.873704353,1.092130441,2.00E-04
1872,1881,1.066,0,0.6,FALSE,1.095090035,35000,0.876072028,1.095090035,2.00E-04
1882,1891,1.066,0,0.6,FALSE,1.091440111,37800,0.873152089,1.091440111,2.00E-04
1892,1901,1.066,0,0.6,FALSE,1.085261397,38200,0.868209118,1.085261397,2.00E-04
1902,1911,1.066,0,0.6,FALSE,1.094482733,42100,0.875586186,1.094482733,2.00E-04
1912,1921,1.066,0,0.6,FALSE,1.087663546,44000,0.870130837,1.087663546,2.00E-04
1922,1931,1.066,0,0.13,FALSE,1.141826249,45000,0.913460999,1.141826249,2.00E-04
1932,1941,1.066,0,0.13,FALSE,1.145975428,50200,0.916780343,1.145975428,2.00E-04
1942,1951,1.066,0,0.13,FALSE,1.146566413,52800,0.917253131,1.146566413,2.00E-04
1952,1961,1.066,0,0.13,FALSE,1.1588088,55900,0.92704704,1.1588088,2.00E-04
1962,1971,1.066,0,0.13,FALSE,1.162265683,56300,0.929812547,1.162265683,2.00E-04
1972,1981,1.066,0,0.13,FALSE,1.152485598,57400,0.921988478,1.152485598,2.00E-04
1982,1991,1.066,0,0.13,FALSE,1.159692406,59300,0.927753924,1.159692406,2.00E-04
1992,2001,1.066,0,0.13,FALSE,1.162805657,63200,0.930244525,1.162805657,2.00E-04
2002,2011,1.066,0,0.13,FALSE,1.157554987,65600,0.926043989,1.157554987,2.00E-04
2012,2015,1.066,0,0.13,FALSE,1.158026404,66270,0.926421123,1.158026404,2.00E-04
