"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.0","1500","0.6","false","1.25","1500","1.8463524071934454","2.307940508991807"
"1","43","1.0","2000","0.6","false","1.25","2000","0.8638586339353481","1.079823292419185"
"44","200","1.0","4500","0.6","false","1.25","4500","0.8690362851753262","1.0862953564691578"
"201","410","1.0","3000","0.6","false","1.25","3000","0.8284402707405073","1.0355503384256342"
"411","430","1.0","1250","0.6","false","0.9375","1250","3.4574157295130448","3.2413272464184795"
"431","500","1.0","1300","0.6","false","0.9375","1300","1.1052490774596757","1.036171010118446"
"501","750","1.0","1300","0.6","false","0.9375","1300","1.1061941150281043","1.0370569828388478"
"751","950","1.0","1400","0.6","false","0.9375","1400","1.106951383676866","1.037766922197062"
"951","1066","1.0","1500","0.6","false","0.9375","1500","1.106863127604129","1.037684182128871"
"1067","1086","1.0","2000","0.6","false","0.9375","2000","1.1503550648417633","1.0784578732891532"
"1087","1190","1.0","3700","0.6","false","0.9375","3700","1.145250547524762","1.0736723883044645"
"1191","1220","1.0","4800","0.6","false","0.9375","4800","1.1308668083765714","1.0601876328530357"
"1221","1250","1.0","5000","0.6","false","0.9375","5000","1.106349251228701","1.0372024230269072"
"1251","1279","1.0","5300","0.6","false","0.9375","5300","1.10822623358825","1.0389620939889843"
"1280","1290","1.0","5700","0.6","false","0.9375","5700","1.1181345727636585","1.0482511619659298"
"1291","1315","1.0","5600","0.6","false","0.9375","5600","1.1042030608492575","1.0351903695461788"
"1316","1325","1.0","5000","0.6","false","0.9375","5000","1.0922691266001148","1.0240023061876076"
"1326","1348","1.0","5700","0.6","false","0.9375","5700","1.116006451007161","1.0462560478192136"
"1349","1351","1.0","3000","0.6","true","0.9375","3000","0.9287722083041886","0.8707239452851768"
"1352","1377","1.0","3000","0.6","false","0.9375","3000","1.1068716309342894","1.0376921540008963"
"1378","1400","1.0","2500","0.6","false","0.9375","2500","1.0965518012209174","1.02801731364461"
"1401","1430","1.0","2400","0.6","false","0.9375","2400","1.1058619262682945","1.0367455558765262"
"1431","1450","1.0","2300","0.6","false","0.9375","2300","1.104762558267073","1.035714898375381"
"1451","1490","1.0","2600","0.6","false","0.9375","2600","1.1123027957617797","1.0427838710266686"
"1491","1522","1.0","2800","0.6","false","0.9375","2800","1.1084945521773772","1.0392136426662912"
"1523","1541","1.0","3400","0.6","false","0.9375","3400","1.131378201962746","1.0606670643400744"
"1542","1560","1.0","3800","0.6","false","0.9375","3800","1.1177933498761405","1.0479312655088817"
"1561","1600","1.0","5000","0.6","false","0.9375","5000","1.1276222086979133","1.0571458206542936"
"1601","1650","1.0","6300","0.6","false","0.9375","6300","1.117896533092967","1.0480279997746567"
"1651","1700","1.0","6200","0.6","false","0.9375","6200","1.1060458106633058","1.036917947496849"
"1701","1801","1.0","11300","0.6","false","0.9375","11300","1.145809442907448","1.0741963527257323"
"1802","1811","1.0","12500","0.6","false","0.9375","12500","1.1224789010836016","1.0523239697658764"
"1812","1821","1.0","13400","0.6","false","0.9375","13400","1.1151614229735274","1.0454638340376818"
"1822","1831","1.0","15800","0.6","false","0.9375","15800","1.1425056886765228","1.0710990831342402"
"1832","1841","1.0","20200","0.6","false","0.9375","20200","1.1763065224482172","1.1027873647952036"
"1842","1851","1.0","27400","0.6","false","0.9375","27400","1.2121484881747824","1.1363892076638584"
"1852","1861","1.0","29000","0.6","false","0.9375","29000","1.1150790913090882","1.0453866481022702"
"1862","1871","1.0","31500","0.6","false","0.9375","31500","1.1181976323221376","1.0483102803020041"
"1872","1881","1.0","35000","0.6","false","0.9375","35000","1.12402213986795","1.053770756126203"
"1882","1891","1.0","37800","0.6","false","0.9375","37800","1.117864076407895","1.0479975716324017"
"1892","1901","1.0","38200","0.6","false","0.9375","38200","1.1064663997643787","1.037312249779105"
"1902","1911","1.0","42100","0.6","false","0.9375","42100","1.1222177901144739","1.0520791782323193"
"1912","1921","1.0","44000","0.6","false","0.9375","44000","1.111365285537215","1.041904955191139"
"1922","1931","1.0","45000","0.6","false","0.9375","45000","1.1097863728757473","1.0404247245710132"
"1932","1941","1.0","50200","0.6","false","0.9375","50200","1.1229974846540993","1.052810141863218"
"1942","1951","1.0","52800","0.6","false","0.9375","52800","1.1124024155069077","1.042877264537726"
"1952","1961","1.0","55900","0.6","false","0.9375","55900","1.1123071322818165","1.042787936514203"
"1962","1971","1.0","56300","0.6","false","0.9375","56300","1.1075622521740622","1.0383396114131833"
"1972","1981","1.0","57400","0.6","false","0.9375","57400","1.1085614258731846","1.0392763367561106"
"1982","1991","1.0","59300","0.6","false","0.9375","59300","1.110036399389849","1.0406591244279835"
"1992","2001","1.0","63200","0.6","false","0.9375","63200","1.114745809543557","1.0450741964470847"
"2002","2011","1.0","65600","0.6","false","0.9375","65600","1.1104830218826767","1.0410778330150094"
"2012","2015","1.0","66270","0.6","false","0.9375","66270","1.106918586731834","1.0377361750610945"
