"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.25","1500","1.720484199751932","2.150605249689915"
"1","43","1.066","2000","0.6","false","1.25","2000","0.9885133829881471","1.2356417287351837"
"44","200","1.066","4500","0.6","false","0.9375","4500","3.8742374825657717","3.632097639905411"
"201","410","1.066","3000","0.6","false","0.9375","3000","1.0952266902005157","1.0267750220629834"
"411","430","1.066","1250","0.6","false","0.9375","1250","1.0484039772920242","0.9828787287112727"
"431","500","1.066","1300","0.6","false","0.9375","1300","1.0751714563207468","1.0079732403007002"
"501","750","1.066","1300","0.6","false","0.9375","1300","1.0652203340752724","0.9986440631955679"
"751","950","1.066","1400","0.6","false","0.9375","1400","1.0592991001446628","0.9930929063856213"
"951","1066","1.066","1500","0.6","false","0.9375","1500","1.0553841739313463","0.9894226630606372"
"1067","1086","1.066","2000","0.6","false","0.9375","2000","1.1016413427026626","1.032788758783746"
"1087","1190","1.066","3700","0.6","false","0.9375","3700","1.0875417619423566","1.0195704018209593"
"1191","1220","1.066","4800","0.6","false","0.9375","4800","1.071941652524847","1.0049452992420442"
"1221","1250","1.066","5000","0.6","false","0.9375","5000","1.0537806086781034","0.987919320635722"
"1251","1279","1.066","5300","0.6","false","0.9375","5300","1.0532703570600341","0.987440959743782"
"1280","1290","1.066","5700","0.6","false","0.9375","5700","1.0574207192142524","0.9913319242633616"
"1291","1315","1.066","5600","0.6","false","0.9375","5600","1.0500382744876087","0.9844108823321331"
"1316","1325","1.066","5000","0.6","false","0.9375","5000","1.0377885506458837","0.972926766230516"
"1326","1348","1.066","5700","0.6","false","0.9375","5700","1.0569879459703402","0.990926199347194"
"1349","1351","1.066","3000","0.6","true","0.9375","3000","0.8896420514758315","0.834039423258592"
"1352","1377","1.066","3000","0.6","false","0.9375","3000","1.0532663023314421","0.987437158435727"
"1378","1400","1.066","2500","0.6","false","0.9375","2500","1.0420837871379407","0.9769535504418194"
"1401","1430","1.066","2400","0.6","false","0.9375","2400","1.046395812280451","0.9809960740129229"
"1431","1450","1.066","2300","0.6","false","0.9375","2300","1.0466538331565558","0.981237968584271"
"1451","1490","1.066","2600","0.6","false","0.9375","2600","1.0534292966411571","0.9875899656010848"
"1491","1522","1.066","2800","0.6","false","0.9375","2800","1.050290899080771","0.9846477178882227"
"1523","1541","1.066","3400","0.6","false","0.9375","3400","1.0705320181506635","1.003623767016247"
"1542","1560","1.066","3800","0.6","false","0.9375","3800","1.0535707791484885","0.987722605451708"
"1561","1600","1.066","5000","0.6","false","0.9375","5000","1.068440080256184","1.0016625752401724"
"1601","1650","1.066","6300","0.6","false","0.9375","6300","1.0588533163958835","0.9926749841211409"
"1651","1700","1.066","6200","0.6","false","0.9375","6200","1.0465017106444074","0.981095353729132"
"1701","1801","1.066","11300","0.6","false","0.9375","11300","1.0830424028834427","1.0153522527032275"
"1802","1811","1.066","12500","0.6","false","0.9375","12500","1.0586781790710529","0.992510792879112"
"1812","1821","1.066","13400","0.6","false","0.9375","13400","1.0551269619651902","0.9891815268423658"
"1822","1831","1.066","15800","0.6","false","0.9375","15800","1.0748146492300175","1.0076387336531414"
"1832","1841","1.066","20200","0.6","false","0.9375","20200","1.1073132134691073","1.038106137627288"
"1842","1851","1.066","27400","0.6","false","0.9375","27400","1.1383109151522675","1.0671664829552507"
"1852","1861","1.066","29000","0.6","false","0.9375","29000","1.052105818272252","0.9863492046302362"
"1862","1871","1.066","31500","0.6","false","0.9375","31500","1.0576733043608606","0.9915687228383068"
"1872","1881","1.066","35000","0.6","false","0.9375","35000","1.060483772408669","0.9942035366331272"
"1882","1891","1.066","37800","0.6","false","0.9375","37800","1.0536732213439444","0.9878186450099479"
"1892","1901","1.066","38200","0.6","false","0.9375","38200","1.0471689990971025","0.9817209366535335"
"1902","1911","1.003","42100","0.13","false","0.9375","42100","1.079443640300751","1.011978412781954"
"1912","1921","1.003","44000","0.13","false","0.9375","44000","1.035989373008852","0.9712400371957988"
"1922","1931","1.003","45000","0.13","false","0.9375","45000","1.0382070966255947","0.9733191530864951"
"1932","1941","1.003","50200","0.13","false","0.9375","50200","1.096628989101032","1.0280896772822175"
"1942","1951","1.003","52800","0.13","false","0.9375","52800","1.0797054538911872","1.012223863022988"
"1952","1961","1.003","55900","0.13","false","0.9375","55900","1.0696006974603487","1.002750653869077"
"1962","1971","1.003","56300","0.13","false","0.9375","56300","1.0501322016983339","0.984498939092188"
"1972","1981","1.003","57400","0.13","false","0.9375","57400","1.0532350373037904","0.9874078474723035"
"1982","1991","1.003","59300","0.13","false","0.9375","59300","1.0548688798347996","0.9889395748451246"
"1992","2001","1.003","63200","0.13","false","0.9375","63200","1.0744361121632175","1.0072838551530165"
"2002","2011","1.003","65600","0.13","false","0.9375","65600","1.0581524622309375","0.9920179333415039"
"2012","2015","1.003","66270","0.13","false","0.9375","66270","1.052006035678229","0.9862556584483397"
