"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","1.25","150","1.459615637733255","1.8245195471665687","10.0"
"1","43","1.066","200","0.6","false","1.25","200","1.0865793077257728","1.358224134657216","10.0"
"44","200","1.066","450","0.6","false","1.25","450","1.080150851338652","1.350188564173315","10.0"
"201","410","1.066","300","0.6","false","1.25","300","1.0719910710990277","1.3399888388737846","10.0"
"411","430","1.066","125","0.6","false","1.25","125","1.0268586794142953","1.2835733492678691","10.0"
"431","500","1.066","130","0.6","false","1.25","130","1.0752891543979946","1.3441114429974932","10.0"
"501","750","1.066","130","0.6","false","1.25","130","1.0772201907145578","1.3465252383931972","10.0"
"751","950","1.066","140","0.6","false","1.25","140","1.0801028449564325","1.3501285561955405","10.0"
"951","1066","1.066","150","0.6","false","1.25","150","1.0768830520786534","1.3461038150983167","10.0"
"1067","1086","1.066","200","0.6","false","1.25","200","1.1011395471680905","1.376424433960113","10.0"
"1087","1190","1.066","370","0.6","false","1.25","370","1.0800300292132006","1.3500375365165007","10.0"
"1191","1220","1.066","480","0.6","false","1.25","480","1.0829989113622718","1.3537486392028397","10.0"
"1221","1250","1.066","500","0.6","false","1.25","500","1.0759390242381557","1.3449237802976945","10.0"
"1251","1279","1.066","530","0.6","false","1.25","530","1.0768014634135203","1.3460018292669005","10.0"
"1280","1290","1.066","570","0.6","false","1.25","570","1.0784341395671828","1.3480426744589784","10.0"
"1291","1315","1.066","560","0.6","false","1.25","560","1.076712269349181","1.3458903366864763","10.0"
"1316","1325","1.066","500","0.6","false","1.25","500","1.0544231706905154","1.3180289633631443","10.0"
"1326","1348","1.066","570","0.6","false","1.25","570","1.0797676048305542","1.3497095060381927","10.0"
"1349","1351","1.066","300","0.6","true","1.25","300","0.8860801143189198","1.1076001428986497","10.0"
"1352","1377","1.066","300","0.6","false","1.25","300","1.071267548100102","1.3390844351251274","10.0"
"1378","1400","1.066","250","0.6","false","1.25","250","1.0693968194356813","1.3367460242946017","10.0"
"1401","1430","1.066","240","0.6","false","1.25","240","1.0737994350804716","1.3422492938505894","10.0"
"1431","1450","1.066","230","0.6","false","1.25","230","1.078082412478175","1.3476030155977186","10.0"
"1451","1490","1.066","260","0.6","false","1.25","260","1.0746047936201335","1.343255992025167","10.0"
"1491","1522","1.066","280","0.6","false","1.25","280","1.079666930313368","1.34958366289171","10.0"
"1523","1541","1.066","340","0.6","false","1.25","340","1.079658882972512","1.34957360371564","10.0"
"1542","1560","1.066","380","0.6","false","1.25","380","1.084183142547228","1.3552289281840348","10.0"
"1561","1600","1.066","500","0.6","false","1.25","500","1.0784777531048175","1.3480971913810218","10.0"
"1601","1650","1.066","630","0.6","false","1.25","630","1.0815030009045585","1.3518787511306982","10.0"
"1651","1700","1.066","620","0.6","false","1.25","620","1.0759431012656797","1.3449288765820997","10.0"
"1701","1801","1.066","1130","0.6","false","1.25","1130","1.0789273292827921","1.3486591616034902","10.0"
"1802","1811","1.066","1250","0.6","false","1.25","1250","1.092192726699707","1.3652409083746337","10.0"
"1812","1821","1.066","1340","0.6","false","1.25","1340","1.0777928255593858","1.3472410319492323","10.0"
"1822","1831","1.066","1580","0.6","false","1.25","1580","1.0957826813391383","1.3697283516739227","10.0"
"1832","1841","1.066","2020","0.6","false","1.25","2020","1.0971990118237178","1.3714987647796473","10.0"
"1842","1851","1.066","2740","0.6","false","1.25","2740","1.1064466478335593","1.383058309791949","10.0"
"1852","1861","1.066","2900","0.6","false","1.25","2900","1.0775228618641557","1.3469035773301945","10.0"
"1862","1871","1.066","3150","0.6","false","1.25","3150","1.0823297589605851","1.3529121987007313","10.0"
"1872","1881","1.066","3500","0.6","false","1.25","3500","1.0832498133290012","1.3540622666612514","10.0"
"1882","1891","1.066","3780","0.6","false","1.25","3780","1.0809300605933925","1.3511625757417405","10.0"
"1892","1901","1.066","3820","0.6","false","1.25","3820","1.0755190800646341","1.3443988500807926","10.0"
"1902","1911","1.066","4210","0.6","false","1.25","4210","1.0857369177478744","1.357171147184843","10.0"
"1912","1921","1.066","4400","0.6","false","1.25","4400","1.0755962545432562","1.3444953181790704","10.0"
"1922","1931","1.066","4500","0.13","false","1.25","4500","1.1302824707927213","1.4128530884909016","10.0"
"1932","1941","1.066","5020","0.13","false","1.25","5020","1.134711840430728","1.41838980053841","10.0"
"1942","1951","1.066","5280","0.13","false","1.25","5280","1.1357647824349792","1.419705978043724","10.0"
"1952","1961","1.066","5590","0.13","false","1.25","5590","1.1474809749375179","1.4343512186718974","10.0"
"1962","1971","1.066","5630","0.13","false","1.25","5630","1.1502680075498881","1.4378350094373602","10.0"
"1972","1981","1.066","5740","0.13","false","1.25","5740","1.1404922950740548","1.4256153688425686","10.0"
"1982","1991","1.066","5930","0.13","false","1.25","5930","1.1486842863060756","1.4358553578825943","10.0"
"1992","2001","1.066","6320","0.13","false","1.25","6320","1.1507876962496009","1.4384846203120012","10.0"
"2002","2011","1.066","6560","0.13","false","1.25","6560","1.1475175855864692","1.4343969819830864","10.0"
"2012","2015","1.066","6627","0.13","false","1.25","6627","1.1463024391247236","1.4328780489059045","10.0"
