"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","1.5","15","90","41","1.0501793477572023","1.5752690216358034","150.0","false"
"1","43","20","0.35","false","1.5","20","90","41","1.0236660853965918","1.5354991280948878","150.0","false"
"44","200","45","0.35","false","1.5","45","90","41","1.0384983872452747","1.557747580867912","150.0","false"
"201","410","30","0.35","false","1.5","30","90","41","1.0160528356626723","1.5240792534940084","150.0","false"
"411","430","12","0.35","false","1.5","12","90","41","1.0340560125558722","1.5510840188338082","150.0","false"
"431","500","13","0.35","false","1.6875","13","90","41","3.632977429224675","6.130649411816639","150.0","false"
"501","750","13","0.35","false","1.6875","13","90","41","0.9541189372718786","1.6100757066462952","150.0","false"
"751","950","14","0.35","false","1.6875","14","90","41","0.9401553744458151","1.586512194377313","150.0","false"
"951","1066","15","0.35","false","1.6875","15","90","41","0.9186992745816283","1.5503050258564977","150.0","false"
"1067","1086","20","0.35","false","1.6875","20","90","41","0.9428237546318716","1.5910150859412833","150.0","false"
"1087","1190","37","0.35","false","1.6875","37","90","41","0.9049865679848226","1.5271648334743881","150.0","false"
"1191","1220","48","0.35","false","1.6875","48","90","41","0.9047690090642124","1.5267977027958586","150.0","false"
"1221","1250","50","0.35","false","1.6875","50","90","41","0.8964915785380011","1.512829538782877","150.0","false"
"1251","1279","53","0.35","false","1.6875","53","90","41","0.9109492414056057","1.5372268448719597","150.0","false"
"1280","1290","57","0.35","false","1.6875","57","90","41","0.891206439488813","1.503910866637372","150.0","false"
"1291","1315","56","0.35","false","1.6875","56","90","41","0.899953067870876","1.5186708020321034","150.0","false"
"1316","1325","50","0.35","false","1.6875","50","90","41","0.8622937223800232","1.455120656516289","150.0","false"
"1326","1348","57","0.35","false","1.6875","57","90","41","0.8983259137879477","1.5159249795171617","150.0","false"
"1349","1351","30","0.35","true","1.265625","30","90","41","2.7907022555692467","3.531982542204828","150.0","false"
"1352","1377","30","0.35","false","1.265625","30","90","41","1.233664449634349","1.561356569068473","150.0","false"
"1378","1400","25","0.35","false","1.265625","25","90","41","1.1699426508629573","1.4807086674984304","150.0","false"
"1401","1430","24","0.35","false","1.265625","24","90","41","1.1662205249619437","1.4759978519049601","150.0","false"
"1431","1450","23","0.35","false","1.265625","23","90","41","1.2044301086359237","1.5243568562423409","150.0","false"
"1451","1490","26","0.35","false","1.265625","26","90","41","1.2533510986132887","1.5862724841824436","150.0","false"
"1491","1522","28","0.35","false","1.265625","28","90","41","1.2667144511269939","1.6031854772076017","150.0","false"
"1523","1541","34","0.35","false","1.265625","34","90","41","1.2644654536073299","1.6003390897217769","150.0","false"
"1542","1560","38","0.35","false","1.265625","38","90","41","1.1990447378952882","1.517540996398724","150.0","false"
"1561","1600","50","0.31","false","1.265625","50","90","41","1.2275120074098207","1.5535698843780543","150.0","false"
"1601","1650","63","0.29","false","1.265625","63","90","41","1.2104060581708973","1.531920167372542","150.0","false"
"1651","1700","62","0.26","false","1.265625","62","90","41","1.201632906568089","1.5208166473752378","150.0","false"
"1701","1801","0","0.25","false","1.533232","113","90","41","1.0","1.533232","150.0","false"
"1802","1811","0","0.28","false","1.533232","125","90","41","1.0","1.533232","150.0","false"
"1812","1821","0","0.28","false","1.533232","134","90","41","1.0","1.533232","150.0","false"
"1822","1831","0","0.26","false","2.266616","158","90","41","1.0","2.266616","150.0","false"
"1832","1841","0","0.25","false","1.558298","202","90","41","1.0","1.558298","150.0","false"
"1842","1851","0","0.22","false","1.558298","274","90","41","1.0","1.558298","150.0","false"
"1852","1861","0","0.25","false","1.509601","290","90","41","1.0","1.509601","150.0","false"
"1862","1871","0","0.22","false","1.509601","315","90","41","1.0","1.509601","150.0","false"
"1872","1881","0","0.21","false","2.2548","350","90","41","1.0","2.2548","150.0","false"
"1882","1891","0","0.19","false","1.5501749999999999","378","90","41","1.0","1.5501749999999999","150.0","false"
"1892","1901","0","0.18","false","1.501731","382","90","41","1.0","1.501731","150.0","false"
"1902","1911","0","0.13","false","2.250865","421","90","41","1.0","2.250865","150.0","false"
"1912","1921","0","0.14","false","1.547469","440","90","41","1.0","1.547469","150.0","false"
"1922","1931","0","0.12","false","1.547469","450","90","41","1.0","1.547469","150.0","false"
"1932","1941","0","0.07","false","1.547469","502","90","41","1.0","1.547469","150.0","false"
"1942","1951","0","0.08","false","2.2737339999999997","528","90","41","1.0","2.2737339999999997","150.0","false"
"1952","1961","0","0.09","false","2.2737339999999997","559","90","41","1.0","2.2737339999999997","150.0","true"
"1962","1971","0","0.1","false","2.2737339999999997","563","90","41","1.0","2.2737339999999997","150.0","true"
"1972","1981","0","0.07","false","2.2737339999999997","574","90","41","1.0","2.2737339999999997","150.0","true"
"1982","1991","0","0.1","false","2.2737339999999997","593","90","41","1.0","2.2737339999999997","150.0","true"
"1992","2001","0","0.09","false","2.2737339999999997","632","90","41","1.0","2.2737339999999997","150.0","true"
"2002","2011","0","0.09","false","2.2737339999999997","656","90","41","1.0","2.2737339999999997","150.0","true"
"2012","2015","0","0.09","false","2.2737339999999997","662","90","41","1.0","2.2737339999999997","150.0","true"
