"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","6.25","1500","90","41","5.2987121095162255","33.11695068447641","0.0075","false"
"1","43","2000","0.35","false","4.6875","2000","90","41","5.256355132826768","24.639164685125476","0.0075","false"
"44","200","4500","0.35","false","3.515625","4500","90","41","5.437124474812969","19.114890731764344","0.0075","false"
"201","410","3000","0.35","false","3.515625","3000","90","41","2.0951427441855484","7.365736210027318","0.0075","false"
"411","430","1250","0.35","false","3.515625","1250","90","41","1.9478330959041876","6.84785072778816","0.0075","false"
"431","500","1300","0.35","false","3.515625","1300","90","41","2.0298398350350717","7.136155670045174","0.0075","false"
"501","750","1300","0.35","false","3.515625","1300","90","41","2.009417665295053","7.06435897955292","0.0075","false"
"751","950","1400","0.35","false","3.515625","1400","90","41","1.9973051296769577","7.021775846520555","0.0075","false"
"951","1066","1500","0.35","false","3.515625","1500","90","41","1.9885679858274037","6.991059325174466","0.0075","false"
"1067","1086","2000","0.35","false","3.515625","2000","90","41","2.018174359371263","7.095144232164597","0.0075","false"
"1087","1190","3700","0.35","false","3.515625","3700","90","41","1.997139652476334","7.0211940907371115","0.0075","false"
"1191","1220","4800","0.35","false","3.515625","4800","90","41","2.0049894957238634","7.048791195904207","0.0075","false"
"1221","1250","5000","0.35","false","3.515625","5000","90","41","1.985905570385565","6.981699270886752","0.0075","false"
"1251","1279","5300","0.35","false","3.515625","5300","90","41","1.9879691129500108","6.988953912714882","0.0075","false"
"1280","1290","5700","0.35","false","3.515625","5700","90","41","1.996347662473877","7.018409750884723","0.0075","false"
"1291","1315","5600","0.35","false","3.515625","5600","90","41","1.9792814412776674","6.958411316991799","0.0075","false"
"1316","1325","5000","0.35","false","3.515625","5000","90","41","1.9599496002920596","6.890447813526772","0.0075","false"
"1326","1348","5700","0.35","false","3.515625","5700","90","41","1.9939599601279767","7.010015484824918","0.0075","false"
"1349","1351","3000","0.35","true","3.515625","3000","90","41","1.622115539154174","5.702749942338893","0.0075","false"
"1352","1377","3000","0.35","false","3.515625","3000","90","41","1.9837843191699558","6.974241747081876","0.0075","false"
"1378","1400","2500","0.35","false","3.515625","2500","90","41","1.9664094351821901","6.9131581705623875","0.0075","false"
"1401","1430","2400","0.35","false","3.515625","2400","90","41","1.978090843156995","6.95422562047381","0.0075","false"
"1431","1450","2300","0.35","false","3.515625","2300","90","41","1.9760610298460293","6.947089558052447","0.0075","false"
"1451","1490","2600","0.35","false","3.515625","2600","90","41","1.988195849949364","6.989751034978233","0.0075","false"
"1491","1522","2800","0.35","false","3.515625","2800","90","41","1.985010791657563","6.97855356442112","0.0075","false"
"1523","1541","3400","0.35","false","3.515625","3400","90","41","2.0014038555752642","7.036185429756788","0.0075","false"
"1542","1560","3800","0.35","false","3.515625","3800","90","41","1.9917972858495885","7.002412333064959","0.0075","false"
"1561","1600","5000","0.31","false","3.515625","5000","90","41","2.0022982481760923","7.039329778744074","0.0075","false"
"1601","1650","6300","0.29","false","3.515625","6300","90","41","2.00309482210226","7.042130233953258","0.0075","false"
"1651","1700","6200","0.26","false","3.515625","6200","90","41","1.9998366899298037","7.030675863034466","0.0075","false"
"1701","1801","11300","0.25","false","3.515625","11300","90","41","2.0150568498664874","7.084184237811869","0.0075","false"
"1802","1811","12500","0.28","false","3.515625","12500","90","41","2.0148463732111286","7.083444280820374","0.0075","false"
"1812","1821","13400","0.28","false","3.515625","13400","90","41","2.0115016999961504","7.0716856640489665","0.0075","false"
"1822","1831","15800","0.26","false","3.515625","15800","90","41","2.0337678814332554","7.149965208163788","0.0075","false"
"1832","1841","20200","0.25","false","3.515625","20200","90","41","2.0525554316678676","7.216015189457347","0.0075","false"
"1842","1851","27400","0.22","false","3.515625","27400","90","41","2.0719043765627374","7.284038823853374","0.0075","false"
"1852","1861","29000","0.25","false","3.515625","29000","90","41","2.012844230289602","7.076405497111882","0.0075","false"
"1862","1871","31500","0.22","false","3.515625","31500","90","41","2.0296081109090474","7.135341014914619","0.0075","false"
"1872","1881","35000","0.21","false","3.515625","35000","90","41","2.032957658380917","7.147116767745412","0.0075","false"
"1882","1891","37800","0.19","false","3.515625","37800","90","41","2.0341793335457714","7.151411719496853","0.0075","false"
"1892","1901","38200","0.18","false","3.515625","38200","90","41","2.024160563566724","7.116189481289265","0.0075","false"
"1902","1911","42100","0.13","false","3.515625","42100","90","41","2.0591165299496685","7.239081550604303","0.0075","false"
