"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","8.75","1500","6.051826100519503","52.95347837954565"
"1","43","1.066","2000","0.6","false","6.5625","2000","3.8981954014212437","25.58190732182691"
"44","200","1.066","4500","0.6","false","4.921875","4500","3.4139472464607463","16.803021603673987"
"201","410","1.066","3000","0.6","false","3.6914059999999997","3000","3.412351947436285","12.596376452877987"
"411","430","1.066","1250","0.6","false","3.6914059999999997","1250","0.9896159042157702","3.653074086517519"
"431","500","1.066","1300","0.6","false","3.6914059999999997","1300","1.0132835126993223","3.740440838479354"
"501","750","1.066","1300","0.6","false","3.6914059999999997","1300","1.0047600337808127","3.7089772172586946"
"751","950","1.066","1400","0.6","false","3.6914059999999997","1400","1.0012873189645461","3.696158016949639"
"951","1066","1.066","1500","0.6","false","3.6914059999999997","1500","0.9983116323349354","3.6851735494709743"
"1067","1086","1.066","2000","0.6","false","3.6914059999999997","2000","1.0367499050719158","3.8270648200819"
"1087","1190","1.066","3700","0.6","false","3.6914059999999997","3700","1.0307276031882944","3.8048340587748886"
"1191","1220","1.066","4800","0.6","false","3.6914059999999997","4800","1.0179651846390725","3.75772279036778"
"1221","1250","1.066","5000","0.6","false","3.6914059999999997","5000","0.9964931866208103","3.678460928051179"
"1251","1279","1.066","5300","0.6","false","3.6914059999999997","5300","0.9971580930748047","3.6809153677248925"
"1280","1290","1.066","5700","0.6","false","3.6914059999999997","5700","1.0042012712401438","3.706914597863494"
"1291","1315","1.066","5600","0.6","false","3.6914059999999997","5600","0.9945990693165556","3.6714689720695493"
"1316","1325","1.066","5000","0.6","false","3.6914059999999997","5000","0.9848855457806254","3.635612413007875"
"1326","1348","1.066","5700","0.6","false","3.6914059999999997","5700","1.0054577493192758","3.7115527685836702"
"1349","1351","1.066","3000","0.6","true","3.6914059999999997","3000","0.83331616072986","3.0761082756151694"
"1352","1377","1.066","3000","0.6","false","3.6914059999999997","3000","0.9936879498098252","3.6681056600556876"
"1378","1400","1.066","2500","0.6","false","3.6914059999999997","2500","0.9869293644583533","3.643156977537752"
"1401","1430","1.066","2400","0.6","false","3.6914059999999997","2400","0.9941399311335993","3.6697741066261553"
"1431","1450","1.066","2300","0.6","false","3.6914059999999997","2300","0.99373361578059","3.6682742316941646"
"1451","1490","1.066","2600","0.6","false","3.6914059999999997","2600","0.9982639559554795","3.6849975565977924"
"1491","1522","1.066","2800","0.6","false","3.6914059999999997","2800","0.9952465955549866","3.6738592543112505"
"1523","1541","1.066","3400","0.6","false","3.6914059999999997","3400","1.013399567255385","3.7408692429639316"
"1542","1560","1.066","3800","0.6","false","3.6914059999999997","3800","0.9998312147768071","3.6907829452143943"
"1561","1600","1.066","5000","0.6","false","3.6914059999999997","5000","1.0118592814455452","3.735183422683774"
"1601","1650","1.066","6300","0.6","false","3.6914059999999997","6300","1.0044264140726158","3.707745691466138"
"1651","1700","1.066","6200","0.6","false","3.6914059999999997","6200","0.9930953790077133","3.6659182406413464"
"1701","1801","1.066","11300","0.6","false","3.6914059999999997","11300","1.0271108528696054","3.7914831649479783"
"1802","1811","1.066","12500","0.6","false","3.6914059999999997","12500","1.0059980342470873","3.7135471796079034"
"1812","1821","1.066","13400","0.6","false","3.6914059999999997","13400","0.9999491330451635","3.6912182294177147"
"1822","1831","1.066","15800","0.6","false","3.6914059999999997","15800","1.020874427842948","3.7684619881860253"
"1832","1841","1.066","20200","0.6","false","3.6914059999999997","20200","1.0521013218183228","3.8837331319680874"
"1842","1851","1.066","27400","0.6","false","3.6914059999999997","27400","1.080980487350716","3.990337856889357"
"1852","1861","1.066","29000","0.6","false","3.6914059999999997","29000","0.998640751017775","3.686388460151521"
"1862","1871","1.066","31500","0.6","false","3.6914059999999997","31500","1.0031281303188395","3.702953199027746"
"1872","1881","1.066","35000","0.6","false","3.6914059999999997","35000","1.0081383939154789","3.721448116129962"
"1882","1891","1.066","37800","0.6","false","3.6914059999999997","37800","1.0016299795176802","3.6974229161714414"
"1892","1901","1.066","38200","0.6","false","3.6914059999999997","38200","0.9950132989275484","3.6729980617409455"
"1902","1911","1.003","42100","0.13","false","3.6914059999999997","42100","1.0266874101380872","3.7899200659081957"
"1912","1921","1.003","44000","0.13","false","3.6914059999999997","44000","0.9845084323597902","3.6342203342635235"
"1922","1931","1.003","45000","0.13","false","3.6914059999999997","45000","0.9854243784584856","3.6376014631879245"
"1932","1941","1.003","50200","0.13","false","3.6914059999999997","50200","1.049892427160126","3.8755792049734517"
"1942","1951","1.003","52800","0.13","false","3.6914059999999997","52800","1.0363984829151465","3.8257675782238687"
"1952","1961","1.003","55900","0.13","false","3.6914059999999997","55900","1.0269918518881076","3.7910438840108713"
"1962","1971","1.003","56300","0.13","false","3.6914059999999997","56300","0.9983386812212725","3.685273397892292"
"1972","1981","1.003","57400","0.13","false","3.6914059999999997","57400","1.0015771186795395","3.6972277853563638"
"1982","1991","1.003","59300","0.13","false","3.6914059999999997","59300","1.0032301463294386","3.7033297815413673"
"1992","2001","1.003","63200","0.13","false","3.6914059999999997","63200","1.0248337870927975","3.783077590677075"
"2002","2011","1.003","65600","0.13","false","3.6914059999999997","65600","1.009014109521669","3.7246807379729456"
"2012","2015","1.003","66270","0.13","false","3.6914059999999997","66270","0.9996534826328938","3.6901268637119595"
