"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","15.0","1500","2.400041588965627","36.0006238344844","1.0"
"1","43","1.066","2000","0.6","false","15.0","2000","0.9361478108565666","14.0422171628485","1.0"
"44","200","1.066","4500","0.6","false","15.0","4500","0.8988753573168974","13.48313035975346","1.0"
"201","410","1.066","3000","0.6","false","15.0","3000","0.8479899902197814","12.71984985329672","1.0"
"411","430","1.066","1250","0.6","false","11.25","1250","3.377725603921687","37.99941304411898","1.0"
"431","500","1.066","1300","0.6","false","11.25","1300","1.0966184397716014","12.336957447430516","1.0"
"501","750","1.066","1300","0.6","false","11.25","1300","1.0678761563318528","12.013606758733344","1.0"
"751","950","1.066","1400","0.6","false","11.25","1400","1.034975237990702","11.643471427395397","1.0"
"951","1066","1.066","1500","0.6","false","11.25","1500","1.014743392627988","11.415863167064867","1.0"
"1067","1086","1.066","2000","0.6","false","11.25","2000","1.0221607595515008","11.499308544954383","1.0"
"1087","1190","1.066","3700","0.6","false","11.25","3700","1.0065539208094167","11.323731609105938","1.0"
"1191","1220","1.066","4800","0.6","false","11.25","4800","1.0020403258491781","11.272953665803254","1.0"
"1221","1250","1.066","5000","0.6","false","11.25","5000","0.9934493047186838","11.176304678085192","1.0"
"1251","1279","1.066","5300","0.6","false","11.25","5300","0.9908983842710658","11.14760682304949","1.0"
"1280","1290","1.066","5700","0.6","false","11.25","5700","0.9934247965567338","11.176028961263254","1.0"
"1291","1315","1.066","5600","0.6","false","11.25","5600","0.984493917098057","11.075556567353141","1.0"
"1316","1325","1.066","5000","0.6","false","11.25","5000","0.9746005068629937","10.964255702208678","1.0"
"1326","1348","1.066","5700","0.6","false","11.25","5700","0.9877479599719234","11.112164549684138","1.0"
"1349","1351","1.066","3000","0.6","true","11.25","3000","0.8017419599269768","9.01959704917849","1.0"
"1352","1377","1.066","3000","0.6","false","11.25","3000","0.980246422601171","11.027772254263175","1.0"
"1378","1400","1.066","2500","0.6","false","11.25","2500","0.9707047831441392","10.920428810371567","1.0"
"1401","1430","1.066","2400","0.6","false","11.25","2400","0.974929717273152","10.96795931932296","1.0"
"1431","1450","1.066","2300","0.6","false","11.25","2300","0.9737581213869623","10.954778865603325","1.0"
"1451","1490","1.066","2600","0.6","false","11.25","2600","0.9747966753851667","10.966462598083124","1.0"
"1491","1522","1.066","2800","0.6","false","11.25","2800","0.9715315752853346","10.929730221960014","1.0"
"1523","1541","1.066","3400","0.6","false","11.25","3400","0.9770391400411501","10.991690325462939","1.0"
"1542","1560","1.066","3800","0.6","false","11.25","3800","0.9735124126677142","10.952014642511784","1.0"
"1561","1600","1.066","5000","0.6","false","11.25","5000","0.9691135389135498","10.902527312777435","1.0"
"1601","1650","1.066","6300","0.6","false","11.25","6300","0.9651237146599666","10.857641789924624","1.0"
"1651","1700","1.066","6200","0.6","false","11.25","6200","0.9547038255407742","10.74041803733371","1.0"
"1701","1801","1.066","11300","0.6","false","11.25","11300","0.9548007060284724","10.741507942820315","1.0"
"1802","1811","1.066","12500","0.6","false","11.25","12500","0.9539892924719393","10.732379540309317","1.0"
"1812","1821","1.066","13400","0.6","false","11.25","13400","0.9518104012771301","10.707867014367714","1.0"
"1822","1831","1.066","15800","0.6","false","11.25","15800","0.9600279160987165","10.80031405611056","1.0"
"1832","1841","1.066","20200","0.6","false","11.25","20200","0.9665681119677517","10.873891259637206","1.0"
"1842","1851","1.066","27400","0.6","false","11.25","27400","0.9712884347493619","10.926994890930322","1.0"
"1852","1861","1.066","29000","0.6","false","11.25","29000","0.9481220132716978","10.6663726493066","1.0"
"1862","1871","1.066","31500","0.6","false","11.25","31500","0.9488191689919316","10.674215651159232","1.0"
"1872","1881","1.066","35000","0.6","false","11.25","35000","0.9504074511776922","10.692083825749037","1.0"
"1882","1891","1.066","37800","0.6","false","11.25","37800","0.9463473018499808","10.646407145812285","1.0"
"1892","1901","1.066","38200","0.6","false","11.25","38200","0.94110511108264","10.5874324996797","1.0"
"1902","1911","1.066","42100","0.6","false","11.25","42100","0.9474703838590303","10.65904181841409","1.0"
"1912","1921","1.066","44000","0.6","false","11.25","44000","0.9421290935988358","10.598952302986902","1.0"
"1922","1931","1.066","45000","0.13","false","11.25","45000","0.9871116674504892","11.105006258818003","1.0"
"1932","1941","1.066","50200","0.13","false","11.25","50200","0.9906233546341777","11.1445127396345","1.0"
"1942","1951","1.066","52800","0.13","false","11.25","52800","0.9904012023747999","11.142013526716498","1.0"
"1952","1961","1.066","55900","0.13","false","11.25","55900","1.0016563104679048","11.268633492763929","1.0"
"1962","1971","1.066","56300","0.13","false","11.25","56300","1.0049473566778504","11.305657762625817","1.0"
"1972","1981","1.066","57400","0.13","false","11.25","57400","0.9950122408672186","11.19388770975621","1.0"
"1982","1991","1.066","59300","0.13","false","11.25","59300","1.001171902190757","11.263183899646016","1.0"
"1992","2001","1.066","63200","0.13","false","11.25","63200","1.0050876072504207","11.307235581567232","1.0"
"2002","2011","1.066","65600","0.13","false","11.25","65600","0.9985949553416671","11.234193247593755","1.0"
"2012","2015","1.066","66270","0.13","false","11.25","66270","0.9986036390886839","11.234290939747694","1.0"
