Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,12.5,1400000,1.7110482654600314,21.388103318250394
1,43,1.066,2000000,0.6,false,12.5,2000000,1.3793919259035545,17.24239907379443
44,200,1.066,4400000,0.6,false,12.5,4400000,1.2065870246054542,15.082337807568177
201,410,1.066,3000000,0.6,false,12.5,3000000,1.2234559091701975,15.293198864627469
411,430,1.066,1200000,0.6,false,12.5,1200000,1.231428571428571,15.392857142857139
431,500,1.066,1200000,0.6,false,17.1875,1200000,5.058512677798376,86.9431866496596
501,750,1.066,1200000,0.6,false,15.039062,1200000,3.7809238095238276,56.86154758870503
751,950,1.066,1400000,0.6,false,15.039062,1400000,1.2924583333333342,19.43736100741668
951,1066,1.066,1400000,0.6,false,19.409178999999998,1400000,2.494996885298603,48.425841151203045
1067,1086,1.066,2000000,0.6,false,14.556884,2000000,3.589757464757466,52.25568300260852
1087,1190,1.066,3600000,0.6,false,14.556884,3600000,1.0607004985964266,15.440494116810344
1191,1220,1.066,4800000,0.6,false,14.556884,4800000,1.112672941761379,16.197050943159148
1221,1250,1.066,5000000,0.6,false,14.556884,5000000,1.0030691195546266,14.601560817338832
1251,1279,1.066,5200000,0.6,false,14.556884,5200000,0.9797743020936165,14.262460861757733
1280,1290,1.066,5600000,0.6,false,14.556884,5600000,1.022224722914378,14.880406713396741
1291,1315,1.066,5600000,0.6,false,14.556884,5600000,0.9723380973925368,14.154212892523862
1316,1325,1.066,5000000,0.6,false,14.556884,5000000,0.9820738440303659,14.295935026984129
1326,1348,1.066,5600000,0.6,false,14.556884,5600000,1.0189960382367405,14.833407125071796
1349,1351,1.066,3000000,0.6,true,14.556884,3000000,0.9946236559139785,14.478621182795699
1352,1377,1.066,3000000,0.6,false,14.556884,3000000,1.0116711625478596,14.726779759354336
1378,1400,1.066,2400000,0.6,false,14.556884,2400000,1.0314446423142074,15.01462001058941
1401,1430,1.066,2400000,0.6,false,14.556884,2400000,1.0112271062271059,14.720315683003658
1431,1450,1.066,2200000,0.6,false,14.556884,2200000,1.0422542735042735,15.171974557905983
1451,1490,1.066,2600000,0.6,false,14.556884,2600000,1.1117189754689754,16.18316416650072
1491,1522,1.066,2800000,0.6,false,14.556884,2800000,1.0044137286324788,14.621134135710472
1523,1541,1.066,3400000,0.6,false,14.556884,3400000,1.0581244778613197,15.402995281787799
1542,1560,1.066,3800000,0.6,false,14.556884,3800000,0.9789967342598921,14.251141897000075
1561,1600,1.066,5000000,0.6,false,14.556884,5000000,1.0216905883192697,14.872631378055365
1601,1650,1.066,6200000,0.6,false,14.556884,6200000,0.9936690973739654,14.464725784857519
1651,1700,1.066,6200000,0.6,false,14.556884,6200000,0.9966130588666086,14.507580690806392
1701,1801,1.066,11200000,0.6,false,14.556884,11200000,1.009869723000382,14.700556412828691
1802,1811,1.066,12400000,0.6,false,14.556884,12400000,0.9997360351636668,14.55304149449742
1812,1821,1.066,13400000,0.6,false,14.556884,13400000,0.9825656772395902,14.303094585958155
1822,1831,1.066,15800000,0.6,false,14.556884,15800000,1.0084771654001066,14.680285113378165
1832,1841,1.066,20200000,0.6,false,14.556884,20200000,1.0416957862398477,15.16384472358226
1842,1851,1.066,27400000,0.6,false,14.556884,27400000,1.0964175476721758,15.960423057028333
1852,1861,1.066,29000000,0.6,false,14.556884,29000000,0.9855659024680955,14.34676851658338
1862,1871,1.066,31400000,0.6,false,14.556884,31400000,0.9882085942468338,14.385237874254228
1872,1881,1.066,35000000,0.6,false,14.556884,35000000,0.9882184703682777,14.385381639808456
1882,1891,1.066,37800000,0.6,false,14.556884,37800000,0.9990070972265753,14.542430429503979
1892,1901,1.066,38200000,0.6,false,14.556884,38200000,0.9826935806661572,14.304956461301893
1902,1911,1.003,42000000,0.13,false,14.556884,42000000,0.993871622292057,14.467673916597288
1912,1921,1.003,44000000,0.13,false,14.556884,44000000,0.9635659117105337,14.026517203124481
1922,1931,1.003,45000000,0.13,false,14.556884,45000000,0.9667501404101151,14.072869650933757
1932,1941,1.003,50200000,0.13,false,14.556884,50200000,1.0278006625992795,14.96157502058085
1942,1951,1.003,52800000,0.13,false,14.556884,52800000,0.9879707441287507,14.381775517675905
1952,1961,1.003,55800000,0.13,false,14.556884,55800000,0.9892495517761073,14.400390972256789
1962,1971,1.003,56200000,0.13,false,14.556884,56200000,0.9754437268253581,14.199421179924427
1972,1981,1.003,57400000,0.13,false,14.556884,57400000,0.9814211774864665,14.286434235813905
1982,1991,1.003,59200000,0.13,false,14.556884,59200000,0.9848504639027418,14.3363539603784
1992,2001,1.003,63200000,0.13,false,14.556884,63200000,1.01897958893132,14.83316767444091
2002,2011,1.003,65600000,0.13,false,14.556884,65600000,0.9950040734784871,14.484158877153813
2012,2015,1.003,66200000,0.13,false,14.556884,66200000,0.9757128639000948,14.203338977101469
