"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.55","false","10.0","15","90","41","1.3885232414644184","13.885232414644184","150.0"
"1","43","20","0.55","false","10.0","20","90","41","1.3387705830421286","13.387705830421286","150.0"
"44","200","45","0.55","false","10.0","45","90","41","1.3898115738725085","13.898115738725085","150.0"
"201","410","30","0.55","false","10.0","30","90","41","1.3530749578864003","13.530749578864004","150.0"
"411","430","12","0.55","false","15.0","12","90","41","2.4022238918194807","36.03335837729221","150.0"
"431","500","13","0.55","false","15.0","13","90","41","0.9249122306265154","13.87368345939773","150.0"
"501","750","13","0.55","false","15.0","13","90","41","0.9252089964215349","13.878134946323023","150.0"
"751","950","14","0.55","false","15.0","14","90","41","0.913051772981919","13.695776594728784","150.0"
"951","1066","15","0.55","false","15.0","15","90","41","0.9239204063821076","13.858806095731614","150.0"
"1067","1086","20","0.55","false","15.0","20","90","41","0.9602103112166548","14.403154668249822","150.0"
"1087","1190","37","0.55","false","15.0","37","90","41","0.9087372793982146","13.631059190973218","150.0"
"1191","1220","48","0.55","false","15.0","48","90","41","0.8942782468755488","13.414173703133232","150.0"
"1221","1250","50","0.55","false","15.0","50","90","41","0.9127896405586404","13.691844608379606","150.0"
"1251","1279","53","0.55","false","15.0","53","90","41","0.8971432579736908","13.457148869605362","150.0"
"1280","1290","57","0.55","false","15.0","57","90","41","0.8881260645092613","13.32189096763892","150.0"
"1291","1315","56","0.55","false","15.0","56","90","41","0.8978859550028205","13.468289325042308","150.0"
"1316","1325","50","0.55","false","15.0","50","90","41","0.9019931251497895","13.529896877246841","150.0"
"1326","1348","57","0.55","false","15.0","57","90","41","0.8887370139413359","13.331055209120038","150.0"
"1349","1351","30","0.55","true","15.0","30","90","41","0.722851071211727","10.842766068175905","150.0"
"1352","1377","30","0.55","false","15.0","30","90","41","0.9046865776810814","13.570298665216221","150.0"
"1378","1400","25","0.55","false","15.0","25","90","41","0.8993408507989749","13.490112761984623","150.0"
"1401","1430","24","0.55","false","15.0","24","90","41","0.9002545692994913","13.50381853949237","150.0"
"1431","1450","23","0.55","false","15.0","23","90","41","0.887590529521564","13.31385794282346","150.0"
"1451","1490","26","0.55","false","15.0","26","90","41","0.8987693918829904","13.481540878244857","150.0"
"1491","1522","28","0.55","false","15.0","28","90","41","0.8962994310214745","13.444491465322116","150.0"
"1523","1541","34","0.55","false","15.0","34","90","41","0.9148699794502719","13.72304969175408","150.0"
"1542","1560","38","0.55","false","15.0","38","90","41","0.8930055670597635","13.395083505896453","150.0"
"1561","1600","50","0.55","false","15.0","50","90","41","0.9013861814278755","13.520792721418132","150.0"
"1601","1650","63","0.55","false","15.0","63","90","41","0.8992812858047279","13.489219287070918","150.0"
"1651","1700","62","0.55","false","15.0","62","90","41","0.8865861791788261","13.298792687682392","150.0"
"1701","1801","113","0.28","false","15.0","113","90","41","0.9186805741566214","13.780208612349321","150.0"
"1802","1811","125","0.28","false","15.0","125","90","41","0.9139332503698563","13.708998755547844","150.0"
"1812","1821","134","0.28","false","15.0","134","90","41","0.9099055058010193","13.648582587015289","150.0"
"1822","1831","158","0.26","false","15.0","158","90","41","0.9319803402678299","13.97970510401745","150.0"
"1832","1841","202","0.25","false","15.0","202","90","41","0.9443587741457472","14.165381612186208","150.0"
"1842","1851","274","0.22","false","15.0","274","90","41","0.9501031951241462","14.251547926862193","150.0"
"1852","1861","290","0.25","false","15.0","290","90","41","0.9256144099023725","13.884216148535588","150.0"
"1862","1871","315","0.22","false","15.0","315","90","41","0.930773220717113","13.961598310756695","150.0"
"1872","1881","350","0.21","false","15.0","350","90","41","0.9276550671704349","13.914826007556524","150.0"
"1882","1891","378","0.19","false","15.0","378","90","41","0.9295801265522865","13.943701898284298","150.0"
"1892","1901","382","0.18","false","15.0","382","90","41","0.9212274224558191","13.818411336837286","150.0"
"1902","1911","421","0.13","false","15.0","421","90","41","0.9381364865048079","14.072047297572118","150.0"
"1912","1921","440","0.14","false","15.0","440","90","41","0.933419736567247","14.001296048508705","150.0"
"1922","1931","450","0.12","false","15.0","450","90","41","0.9399192784183011","14.098789176274517","150.0"
"1932","1941","502","0.07","false","15.0","502","90","41","0.9715995720426494","14.57399358063974","150.0"
"1942","1951","528","0.08","false","15.0","528","90","41","0.9538892836074314","14.308339254111472","150.0"
"1952","1961","559","0.09","false","15.0","559","90","41","0.9512768632137393","14.26915294820609","150.0"
"1962","1971","563","0.1","false","15.0","563","90","41","0.947634869678855","14.214523045182826","150.0"
"1972","1981","574","0.07","false","15.0","574","90","41","0.9560812569132573","14.341218853698859","150.0"
"1982","1991","593","0.1","false","15.0","593","90","41","0.9625158735613715","14.437738103420571","150.0"
"1992","2001","632","0.09","false","15.0","632","90","41","0.9595642165959332","14.393463248938998","150.0"
"2002","2011","656","0.09","false","15.0","656","90","41","0.9668953574556312","14.503430361834468","150.0"
"2012","2015","662","0.09","false","15.0","662","90","41","0.9891632659734249","14.837448989601373","150.0"
