"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","15.0","1500","2.149764889732119","32.246473345981784"
"1","43","1.066","2000","0.6","false","7.5","2000","2.07498088820611","15.562356661545826"
"44","200","1.066","4500","0.6","false","7.5","4500","1.3366844789669559","10.02513359225217"
"201","410","1.066","3000","0.6","false","7.5","3000","1.2876751548678038","9.65756366150853"
"411","430","1.066","1250","0.6","false","7.5","1250","1.2590142222297782","9.442606666723336"
"431","500","1.066","1300","0.6","false","7.5","1300","1.2880648379631234","9.660486284723426"
"501","750","1.066","1300","0.6","false","7.5","1300","1.2891929311300665","9.668946983475498"
"751","950","1.066","1400","0.6","false","7.5","1400","1.2897948468925788","9.67346135169434"
"951","1066","1.066","1500","0.6","false","7.5","1500","1.289891753589437","9.674188151920777"
"1067","1086","1.066","2000","0.6","false","7.5","2000","1.3577059795670294","10.18279484675272"
"1087","1190","1.066","3700","0.6","false","7.5","3700","1.3343607302415803","10.007705476811852"
"1191","1220","1.066","4800","0.6","false","7.5","4800","1.3201706882882658","9.901280162161994"
"1221","1250","1.066","5000","0.6","false","7.5","5000","1.2925161872781452","9.693871404586089"
"1251","1279","1.066","5300","0.6","false","7.5","5300","1.2862944657941873","9.647208493456404"
"1280","1290","1.066","5700","0.6","false","7.5","5700","1.30616672732271","9.796250454920324"
"1291","1315","1.066","5600","0.6","false","7.5","5600","1.28440025509364","9.6330019132023"
"1316","1325","1.066","5000","0.6","false","7.5","5000","1.2658365290803002","9.493773968102252"
"1326","1348","1.066","5700","0.6","false","7.5","5700","1.3079540607730744","9.809655455798058"
"1349","1351","1.066","3000","0.6","true","7.5","3000","1.0783962346484675","8.087971759863507"
"1352","1377","1.066","3000","0.6","false","7.5","3000","1.2821477553768739","9.616108165326555"
"1378","1400","1.066","2500","0.6","false","7.5","2500","1.283968512148921","9.629763841116908"
"1401","1430","1.066","2400","0.6","false","7.5","2400","1.2872306977413677","9.654230233060257"
"1431","1450","1.066","2300","0.6","false","7.5","2300","1.2867866512889554","9.650899884667165"
"1451","1490","1.066","2600","0.6","false","7.5","2600","1.296132575201047","9.720994314007854"
"1491","1522","1.066","2800","0.6","false","7.5","2800","1.294492300499159","9.708692253743694"
"1523","1541","1.066","3400","0.6","false","7.5","3400","1.3186653925055003","9.889990443791252"
"1542","1560","1.066","3800","0.6","false","7.5","3800","1.2953873179765685","9.715404884824263"
"1561","1600","1.066","5000","0.6","false","7.5","5000","1.3124742085682992","9.843556564262244"
"1601","1650","1.066","6300","0.6","false","7.5","6300","1.3010197105521655","9.757647829141241"
"1651","1700","1.066","6200","0.6","false","7.5","6200","1.286927555182822","9.651956663871166"
"1701","1801","1.066","11300","0.6","false","7.5","11300","1.3362991590005315","10.022243692503986"
"1802","1811","1.066","12500","0.6","false","7.5","12500","1.3313145124001706","9.98485884300128"
"1812","1821","1.066","13400","0.6","false","7.5","13400","1.3077069684530591","9.807802263397944"
"1822","1831","1.066","15800","0.6","false","7.5","15800","1.3248836371553065","9.9366272786648"
"1832","1841","1.066","20200","0.6","false","7.5","20200","1.3628994808646056","10.221746106484542"
"1842","1851","1.066","27400","0.6","false","7.5","27400","1.4171461641635272","10.628596231226455"
"1852","1861","1.066","29000","0.6","false","7.5","29000","1.301182773753657","9.758870803152428"
"1862","1871","1.066","31500","0.6","false","7.5","31500","1.2952054774404278","9.71404108080321"
"1872","1881","1.066","35000","0.6","false","7.5","35000","1.3012796058456304","9.759597043842229"
"1882","1891","1.066","37800","0.6","false","7.5","37800","1.305108908650975","9.788316814882313"
"1892","1901","1.066","38200","0.6","false","7.5","38200","1.300217354563006","9.751630159222545"
"1902","1911","1.003","42100","0.13","false","7.5","42100","1.386949088566189","10.402118164246417"
"1912","1921","1.003","44000","0.13","false","7.5","44000","1.3460918080827342","10.095688560620507"
"1922","1931","1.003","45000","0.13","false","7.5","45000","1.3358040792195336","10.018530594146501"
"1932","1941","1.003","50200","0.13","false","7.5","50200","1.4250079108619187","10.68755933146439"
"1942","1951","1.003","52800","0.13","false","7.5","52800","1.4045947896501114","10.534460922375835"
"1952","1961","1.003","55900","0.13","false","7.5","55900","1.3876674780704008","10.407506085528006"
"1962","1971","1.003","56300","0.13","false","7.5","56300","1.3680329106869462","10.260246830152097"
"1972","1981","1.003","57400","0.13","false","7.5","57400","1.371658807974723","10.287441059810423"
"1982","1991","1.003","59300","0.13","false","7.5","59300","1.3666760698317273","10.250070523737955"
"1992","2001","1.003","63200","0.13","false","7.5","63200","1.3904980390324275","10.428735292743207"
"2002","2011","1.003","65600","0.13","false","7.5","65600","1.3776951114934752","10.332713336201063"
"2012","2015","1.003","66270","0.13","false","7.5","66270","1.369432157721651","10.270741182912383"
