"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","2.5","1500","90","41","2.757106909398317","6.892767273495792","0.0075","false"
"1","43","2000","0.35","false","1.875","2000","90","41","5.246742161297841","9.837641552433452","0.0075","false"
"44","200","4500","0.35","false","1.40625","4500","90","41","4.923183315947534","6.923226538051219","0.0075","false"
"201","410","3000","0.35","false","1.054687","3000","90","41","4.60650816864313","4.858424280861717","0.0075","false"
"411","430","1250","0.35","false","1.054687","1250","90","41","1.974960148200695","2.0829647938253464","0.0075","false"
"431","500","1300","0.35","false","1.054687","1300","90","41","2.0495541875543988","2.161638157409186","0.0075","false"
"501","750","1300","0.35","false","1.054687","1300","90","41","2.0185988331758655","2.128989947565754","0.0075","false"
"751","950","1400","0.35","false","1.054687","1400","90","41","2.0015703471819997","2.1110302247583417","0.0075","false"
"951","1066","1500","0.35","false","1.054687","1500","90","41","1.9942253412095623","2.1032835424442893","0.0075","false"
"1067","1086","2000","0.35","false","1.054687","2000","90","41","2.0201424524041696","2.130617982698796","0.0075","false"
"1087","1190","3700","0.35","false","1.054687","3700","90","41","1.999596126994072","2.1089480403909966","0.0075","false"
"1191","1220","4800","0.35","false","1.054687","4800","90","41","2.0054095188953602","2.1150793492551907","0.0075","false"
"1221","1250","5000","0.35","false","1.054687","5000","90","41","1.989749538829879","2.0985629718598684","0.0075","false"
"1251","1279","5300","0.35","false","1.054687","5300","90","41","1.9895221495982987","2.0983231473933808","0.0075","false"
"1280","1290","5700","0.35","false","1.054687","5700","90","41","1.9974403678563666","2.1066743892533277","0.0075","false"
"1291","1315","5600","0.35","false","1.054687","5600","90","41","1.983093382377952","2.091542810180055","0.0075","false"
"1316","1325","5000","0.35","false","1.054687","5000","90","41","1.9623561210849965","2.0696714902787714","0.0075","false"
"1326","1348","5700","0.35","false","1.054687","5700","90","41","1.9943584953303526","2.1034239783644835","0.0075","false"
"1349","1351","3000","0.35","true","1.054687","3000","90","41","1.6189598712495286","1.7074959297285515","0.0075","false"
"1352","1377","3000","0.35","false","1.054687","3000","90","41","1.9803409224369872","2.0886398264622987","0.0075","false"
"1378","1400","2500","0.35","false","1.054687","2500","90","41","1.9674919761398855","2.075088209839047","0.0075","false"
"1401","1430","2400","0.35","false","1.054687","2400","90","41","1.9846965161866095","2.0932336145673065","0.0075","false"
"1431","1450","2300","0.35","false","1.054687","2300","90","41","1.980322608884552","2.088620511396621","0.0075","false"
"1451","1490","2600","0.35","false","1.054687","2600","90","41","1.9876626144679588","2.096361919865368","0.0075","false"
"1491","1522","2800","0.35","false","1.054687","2800","90","41","1.9855934213912725","2.0941795688268967","0.0075","false"
"1523","1541","3400","0.35","false","1.054687","3400","90","41","2.0030938300821415","2.1126370223678435","0.0075","false"
"1542","1560","3800","0.35","false","1.054687","3800","90","41","1.9946748396472627","2.1037576226030525","0.0075","false"
"1561","1600","5000","0.31","false","1.054687","5000","90","41","2.0035055830352126","2.1130712928546593","0.0075","false"
"1601","1650","6300","0.29","false","1.054687","6300","90","41","2.0046789982308395","2.114308878607089","0.0075","false"
"1651","1700","6200","0.26","false","1.054687","6200","90","41","2.00181779283582","2.1112912024726325","0.0075","false"
"1701","1801","11300","0.25","false","1.054687","11300","90","41","2.0184746609388795","2.128858984721644","0.0075","false"
"1802","1811","12500","0.28","false","1.054687","12500","90","41","2.0193468620219384","2.129778883865332","0.0075","false"
"1812","1821","13400","0.28","false","1.054687","13400","90","41","2.013407080411624","2.1235142734180945","0.0075","false"
"1822","1831","15800","0.26","false","1.054687","15800","90","41","2.0378324742161444","2.1492754187336027","0.0075","false"
"1832","1841","20200","0.25","false","1.054687","20200","90","41","2.054528187958652","2.166884170973547","0.0075","false"
"1842","1851","27400","0.22","false","1.054687","27400","90","41","2.0774001769411834","2.1910069604175657","0.0075","false"
"1852","1861","29000","0.25","false","1.054687","29000","90","41","2.014902137173849","2.125091090349475","0.0075","false"
"1862","1871","31500","0.22","false","1.054687","31500","90","41","2.032667670388966","2.143828167279527","0.0075","false"
"1872","1881","35000","0.21","false","1.054687","35000","90","41","2.038442010666182","2.1499182889034834","0.0075","false"
"1882","1891","37800","0.19","false","1.054687","37800","90","41","2.0385549784443735","2.1500374345505606","0.0075","false"
"1892","1901","38200","0.18","false","1.054687","38200","90","41","2.0272142168000817","2.138076480674228","0.0075","false"
"1902","1911","42100","0.13","false","1.054687","42100","90","41","2.062458334337157","2.1752479932670528","0.0075","false"
"1912","1921","44000","0.14","false","1.054687","44000","90","41","2.0492740611948816","2.161342711779446","0.0075","false"
"1922","1931","45000","0.12","false","1.054687","45000","90","41","2.0542331371823956","2.166572984755489","0.0075","false"
"1932","1951","50200","0.07","false","1.054687","50200","90","41","2.0810885189003905","2.194897006733496","0.0075","false"
"1952","1961","55900","0.09","false","1.054687","55900","90","41","2.0921329978410257","2.2065454750939577","0.0075","true"
"1962","1971","56300","0.1","false","1.054687","56300","90","41","2.075290194788816","2.188781589671232","0.0075","true"
"1972","1981","57400","0.07","false","1.054687","57400","90","41","2.089414695344277","2.2036785167885693","0.0075","true"
"1982","1991","59300","0.1","false","1.054687","59300","90","41","2.0867658509163105","2.2008848150053706","0.0075","true"
"1992","2001","63200","0.09","false","1.054687","63200","90","41","2.105354872880089","2.2204904148132822","0.0075","true"
"2002","2011","65600","0.09","false","1.054687","65600","90","41","2.1255126008066494","2.2417505084069624","0.0075","true"
"2012","2015","66270","0.09","false","1.054687","66270","90","41","2.1375476675862517","2.254443736883541","0.0075","true"
