"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.75","1500","2.3613096374696774","8.854911140511291"
"1","43","1.066","2000","0.6","false","2.8125","2000","3.495726137841676","9.831729762679714"
"44","200","1.066","4500","0.6","false","2.109375","4500","4.036386641286779","8.5142530714643"
"201","410","1.066","3000","0.6","false","2.109375","3000","0.9959693448405236","2.100872836772979"
"411","430","1.066","1250","0.6","false","2.109375","1250","0.8861072779328982","1.8691325393897071"
"431","500","1.066","1300","0.6","false","1.582031","1300","3.8306970446240145","6.060281476203574"
"501","750","1.066","1300","0.6","false","1.582031","1300","1.0992366222913692","1.739026412800237"
"751","950","1.066","1400","0.6","false","1.582031","1400","1.0140200699487942","1.604211185281161"
"951","1066","1.066","1500","0.6","false","1.582031","1500","0.9830441886921374","1.5552063808808108"
"1067","1086","1.066","2000","0.6","false","1.582031","2000","1.0139896501444914","1.60416306020774"
"1087","1190","1.066","3700","0.6","false","1.582031","3700","1.0012449058906727","1.584000479711127"
"1191","1220","1.066","4800","0.6","false","1.582031","4800","0.9819687249880096","1.5535049639615057"
"1221","1250","1.066","5000","0.6","false","1.582031","5000","0.9582985252542753","1.5160579742065463"
"1251","1279","1.066","5300","0.6","false","1.582031","5300","0.9558736067375208","1.5122216779405666"
"1280","1290","1.066","5700","0.6","false","1.582031","5700","0.9592395063871454","1.517546635529162"
"1291","1315","1.066","5600","0.6","false","1.582031","5600","0.9490058500971074","1.5013566740349769"
"1316","1325","1.066","5000","0.6","false","1.582031","5000","0.9391874283343965","1.4858236264352935"
"1326","1348","1.066","5700","0.6","false","1.582031","5700","0.9556945764089996","1.511938446410906"
"1349","1351","1.066","3000","0.6","true","1.582031","3000","0.8105896670504174","1.2823779815534389"
"1352","1377","1.066","3000","0.6","false","1.582031","3000","0.9451632784898636","1.4952776066325975"
"1378","1400","1.066","2500","0.6","false","1.582031","2500","0.9368034736680705","1.4820521362505712"
"1401","1430","1.066","2400","0.6","false","1.582031","2400","0.9383191259347741","1.4844499451217166"
"1431","1450","1.066","2300","0.6","false","1.582031","2300","0.9351729565564861","1.4794726076340143"
"1451","1490","1.066","2600","0.6","false","1.582031","2600","0.939322759524328","1.486037724573032"
"1491","1522","1.066","2800","0.6","false","1.582031","2800","0.934091328212053","1.4777614380626423"
"1523","1541","1.066","3400","0.6","false","1.582031","3400","0.9465033373678254","1.4973976213193583"
"1542","1560","1.066","3800","0.6","false","1.582031","3800","0.9346543699547283","1.4786521875538488"
"1561","1600","1.066","5000","0.6","false","1.582031","5000","0.9399030739340584","1.4869557999589722"
"1601","1650","1.066","6300","0.6","false","1.582031","6300","0.9297825949054608","1.470944888400881"
"1651","1700","1.066","6200","0.6","false","1.582031","6200","0.9150721638209245","1.447672530401781"
"1701","1801","1.066","11300","0.6","false","1.582031","11300","0.9409470612764235","1.4886074202982014"
"1802","1811","1.066","12500","0.6","false","1.582031","12500","0.9179435150567532","1.4522150970687502"
"1812","1821","1.066","13400","0.6","false","1.582031","13400","0.9113014136264491","1.441707086700865"
"1822","1831","1.066","15800","0.6","false","1.582031","15800","0.9297597947235191","1.4709088178062437"
"1832","1841","1.066","20200","0.6","false","1.582031","20200","0.9572995670954775","1.5144775914316253"
"1842","1851","1.066","27400","0.6","false","1.582031","27400","0.9833502734118428","1.555690616396011"
"1852","1861","1.066","29000","0.6","false","1.582031","29000","0.9061542395354838","1.433564097726561"
"1862","1871","1.066","31500","0.6","false","1.582031","31500","0.9096423110690888","1.4390823350229416"
"1872","1881","1.066","35000","0.6","false","1.582031","35000","0.9120888080055523","1.4429527690178319"
"1882","1891","1.066","37800","0.6","false","1.582031","37800","0.906811107753315","1.4346032836100846"
"1892","1901","1.066","38200","0.6","false","1.582031","38200","0.8993631837180567","1.422820436900661"
"1902","1911","1.003","42100","0.13","false","1.582031","42100","0.9258619947172122","1.4647423773644659"
"1912","1921","1.003","44000","0.13","false","1.582031","44000","0.8892999268481667","1.406900052571532"
"1922","1931","1.003","45000","0.13","false","1.582031","45000","0.8909812815755369","1.4095600078722281"
"1932","1941","1.003","50200","0.13","false","1.582031","50200","0.9406788803266213","1.488183149722005"
"1942","1951","1.003","52800","0.13","false","1.582031","52800","0.9235800365924296","1.461132248870358"
"1952","1961","1.003","55900","0.13","false","1.582031","55900","0.9164796029864897","1.4498991427923191"
"1962","1971","1.003","56300","0.13","false","1.582031","56300","0.9001966058045573","1.4241389364775896"
"1972","1981","1.003","57400","0.13","false","1.582031","57400","0.9015624146282875","1.4262996883768042"
"1982","1991","1.003","59300","0.13","false","1.582031","59300","0.9025362075111673","1.4278402589050994"
"1992","2001","1.003","63200","0.13","false","1.582031","63200","0.920318845429002","1.4559729433528894"
"2002","2011","1.003","65600","0.13","false","1.582031","65600","0.9048914851177152","1.431566381092264"
"2012","2015","1.003","66270","0.13","false","1.582031","66270","0.8992644316368656","1.422664208046902"
