"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","3.125","150","4.263081333202886","13.32212916625902","0.2"
"1","43","1.066","200","0.6","false","3.125","200","0.9928930432438084","3.1027907601369016","0.2"
"44","200","1.066","450","0.6","false","2.34375","450","3.7303091950980254","8.742912176010996","0.2"
"201","410","1.066","300","0.6","false","2.34375","300","1.0058019702499104","2.3573483677732274","0.2"
"411","430","1.066","125","0.6","false","2.34375","125","0.9168222609202779","2.148802174031901","0.2"
"431","500","1.066","130","0.6","false","2.34375","130","0.9325830423624387","2.185741505536966","0.2"
"501","750","1.066","130","0.6","false","2.05078","130","4.898798667895646","10.046358332147033","0.2"
"751","950","1.066","140","0.6","false","2.05078","140","0.9879423131652011","2.0260523369929313","0.2"
"951","1066","1.066","150","0.6","false","2.05078","150","0.9743409239923466","1.9981588801050247","0.2"
"1067","1086","1.066","200","0.6","false","2.05078","200","0.9779532870145206","2.0055670419436384","0.2"
"1087","1190","1.066","370","0.6","false","2.05078","370","0.9697991891212282","1.9888447810660324","0.2"
"1191","1220","1.066","480","0.6","false","2.05078","480","0.9709259248886718","1.9911554682431905","0.2"
"1221","1250","1.066","500","0.6","false","2.05078","500","0.9569788658557286","1.962553118519611","0.2"
"1251","1279","1.066","530","0.6","false","2.05078","530","0.9644736347264042","1.9779232406242153","0.2"
"1280","1290","1.066","570","0.6","false","2.05078","570","0.9552740934154776","1.9590570052945933","0.2"
"1291","1315","1.066","560","0.6","false","2.05078","560","0.9572749998087146","1.9631604241077156","0.2"
"1316","1325","1.066","500","0.6","false","2.05078","500","0.949428151285051","1.947068264092357","0.2"
"1326","1348","1.066","570","0.6","false","2.05078","570","0.9586261470003078","1.9659313297452912","0.2"
"1349","1351","1.066","300","0.6","true","2.05078","300","0.7743354141071467","1.5879915805426543","0.2"
"1352","1377","1.066","300","0.6","false","2.05078","300","0.9539631274600106","1.9563685025324404","0.2"
"1378","1400","1.066","250","0.6","false","2.05078","250","0.9447930087603271","1.9375626065055036","0.2"
"1401","1430","1.066","240","0.6","false","2.05078","240","0.9480288841108515","1.944198674956852","0.2"
"1431","1450","1.066","230","0.6","false","2.05078","230","0.9429481897300557","1.9337792885346037","0.2"
"1451","1490","1.066","260","0.6","false","2.05078","260","0.953632142061797","1.9556897242974922","0.2"
"1491","1522","1.066","280","0.6","false","2.05078","280","0.9463909680910045","1.9408396695416703","0.2"
"1523","1541","1.066","340","0.6","false","2.05078","340","0.9597175199327218","1.9681694955276272","0.2"
"1542","1560","1.066","380","0.6","false","2.05078","380","0.9560284260275118","1.9606039755287008","0.2"
"1561","1600","1.066","500","0.6","false","2.05078","500","0.9526823238596659","1.9537418561249256","0.2"
"1601","1650","1.066","630","0.6","false","2.05078","630","0.9495807992680827","1.9473813115229988","0.2"
"1651","1700","1.066","620","0.6","false","2.05078","620","0.9403474366871721","1.928445716209319","0.2"
"1701","1801","1.066","1130","0.6","false","2.05078","1130","0.9469715472169169","1.9420303096015088","0.2"
"1802","1811","1.066","1250","0.6","false","2.05078","1250","0.9476770505768103","1.943477141781911","0.2"
"1812","1821","1.066","1340","0.6","false","2.05078","1340","0.9467808489488881","1.941639229407401","0.2"
"1822","1831","1.066","1580","0.6","false","2.05078","1580","0.9506279136078912","1.9495287126687912","0.2"
"1832","1841","1.066","2020","0.6","false","2.05078","2020","0.9583068636611758","1.965276549859066","0.2"
"1842","1851","1.066","2740","0.6","false","2.05078","2740","0.965957534655218","1.9809663929202281","0.2"
"1852","1861","1.066","2900","0.6","false","2.05078","2900","0.9420927930742957","1.9320250581809042","0.2"
"1862","1871","1.066","3150","0.6","false","2.05078","3150","0.9427511252876813","1.9333751527174712","0.2"
"1872","1881","1.066","3500","0.6","false","2.05078","3500","0.9470461962190548","1.9421833982821133","0.2"
"1882","1891","1.066","3780","0.6","false","2.05078","3780","0.9437318837151689","1.9353864724853942","0.2"
"1892","1901","1.066","3820","0.6","false","2.05078","3820","0.935642163012506","1.9187962350627872","0.2"
"1902","1911","1.066","4210","0.6","false","2.05078","4210","0.9454550031744968","1.9389202114101947","0.2"
"1912","1921","1.066","4400","0.6","false","2.05078","4400","0.9395791090037047","1.9268700451626175","0.2"
"1922","1931","1.066","4500","0.6","false","2.05078","4500","0.9360559379802929","1.919644796491225","0.2"
"1932","1941","1.066","5020","0.6","false","2.05078","5020","0.9447110066476638","1.937394438212896","0.2"
"1942","1951","1.066","5280","0.6","false","2.05078","5280","0.9395212203727361","1.9267513283159998","0.2"
"1952","1961","1.066","5590","0.6","false","2.05078","5590","0.9385417028708616","1.9247425534135056","0.2"
"1962","1971","1.066","5630","0.6","false","2.05078","5630","0.9350586033908268","1.9175994826618399","0.2"
"1972","1981","1.066","5740","0.6","false","2.05078","5740","0.9308708731896391","1.9090113693198483","0.2"
"1982","1991","1.066","5930","0.6","false","2.05078","5930","0.9381509684666509","1.9239412431120384","0.2"
"1992","2001","1.066","6320","0.6","false","2.05078","6320","0.9400868880378264","1.9279113882502137","0.2"
"2002","2011","1.066","6560","0.6","false","2.05078","6560","0.9354398726979325","1.9183813821314661","0.2"
"2012","2015","1.066","6627","0.6","false","2.05078","6627","0.9353509251717226","1.9181989703236653","0.2"
