"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","3.75","150","2.3849760090068894","8.943660033775835"
"1","43","1.066","200","0.6","false","3.75","200","0.9458992010183551","3.547122003818832"
"44","200","1.066","450","0.6","false","3.75","450","0.9490877154415274","3.5590789329057277"
"201","410","1.066","300","0.6","false","3.75","300","0.8874363042700957","3.3278861410128586"
"411","430","1.066","125","0.6","false","3.75","125","0.8533279296526715","3.199979736197518"
"431","500","1.066","130","0.6","false","3.75","130","0.8776392537376394","3.291147201516148"
"501","750","1.066","130","0.6","false","3.75","130","0.8633388487756289","3.2375206829086087"
"751","950","1.066","140","0.6","false","3.75","140","0.8522694726909157","3.196010522590934"
"951","1066","1.066","150","0.6","false","2.8125","150","3.6687549094629723","10.31837318286461"
"1067","1086","1.066","200","0.6","false","2.8125","200","1.1587952273951045","3.2591115770487313"
"1087","1190","1.066","370","0.6","false","2.8125","370","1.1640022977332212","3.2737564623746844"
"1191","1220","1.066","480","0.6","false","2.8125","480","1.1431661819180297","3.2151548866444584"
"1221","1250","1.066","500","0.6","false","2.8125","500","1.1176545074996882","3.143403302342873"
"1251","1279","1.066","530","0.6","false","2.8125","530","1.1224052646615514","3.1567648068606133"
"1280","1290","1.066","570","0.6","false","2.8125","570","1.1240780655368559","3.161469559322407"
"1291","1315","1.066","560","0.6","false","2.8125","560","1.1180408223567937","3.1444898128784824"
"1316","1325","1.066","500","0.6","false","2.8125","500","1.1065319645620855","3.1121211503308652"
"1326","1348","1.066","570","0.6","false","2.8125","570","1.1199145263722792","3.149759605422035"
"1349","1351","1.066","300","0.6","true","2.8125","300","0.9638035084011806","2.7106973673783203"
"1352","1377","1.066","300","0.6","false","2.8125","300","1.114854027500276","3.1355269523445264"
"1378","1400","1.066","250","0.6","false","2.8125","250","1.1044600108750005","3.106293780585939"
"1401","1430","1.066","240","0.6","false","2.8125","240","1.1104910417732796","3.123256054987349"
"1431","1450","1.066","230","0.6","false","2.8125","230","1.1008199286666964","3.0960560493750835"
"1451","1490","1.066","260","0.6","false","2.8125","260","1.1109584359364193","3.1245706010711793"
"1491","1522","1.066","280","0.6","false","2.8125","280","1.1046790710986472","3.106909887464945"
"1523","1541","1.066","340","0.6","false","2.8125","340","1.1330923207596928","3.186822152136636"
"1542","1560","1.066","380","0.6","false","2.8125","380","1.112771708643426","3.1296704305596355"
"1561","1600","1.066","500","0.6","false","2.8125","500","1.1292610949249782","3.176046829476501"
"1601","1650","1.066","630","0.6","false","2.8125","630","1.1108002919037832","3.12412582097939"
"1651","1700","1.066","620","0.6","false","2.8125","620","1.0988785775481518","3.0905959993541767"
"1701","1801","1.066","1130","0.6","false","2.8125","1130","1.1308464557856506","3.180505656897142"
"1802","1811","1.066","1250","0.6","false","2.8125","1250","1.1080458184582382","3.116378864413795"
"1812","1821","1.066","1340","0.6","false","2.8125","1340","1.1037745828012828","3.104366014128608"
"1822","1831","1.066","1580","0.6","false","2.8125","1580","1.1309499243086187","3.18079666211799"
"1832","1841","1.066","2020","0.6","false","2.8125","2020","1.1642275386470522","3.2743899524448343"
"1842","1851","1.066","2740","0.6","false","2.8125","2740","1.1885331054869064","3.342749359181924"
"1852","1861","1.066","2900","0.6","false","2.8125","2900","1.1017181282144775","3.0985822356032178"
"1862","1871","1.066","3150","0.6","false","2.8125","3150","1.10046860254347","3.0950679446535094"
"1872","1881","1.066","3500","0.6","false","2.8125","3500","1.1095461851884356","3.1205986458424753"
"1882","1891","1.066","3780","0.6","false","2.8125","3780","1.1007882804309392","3.0959670387120166"
"1892","1901","1.066","3820","0.6","false","2.8125","3820","1.0936427839057838","3.075870329735017"
"1902","1911","1.003","4210","0.13","false","2.8125","4210","1.1222429938479084","3.1563084201972424"
"1912","1921","1.003","4400","0.13","false","2.8125","4400","1.0807310312486056","3.039556025386703"
"1922","1931","1.003","4500","0.13","false","2.8125","4500","1.0844143080854853","3.0499152414904276"
"1932","1941","1.003","5020","0.13","false","2.8125","5020","1.1608370594793849","3.26485422978577"
"1942","1951","1.003","5280","0.13","false","2.8125","5280","1.1223500912705449","3.1566096316984074"
"1952","1961","1.003","5590","0.13","false","2.8125","5590","1.1135524910238408","3.1318663810045524"
"1962","1971","1.003","5630","0.13","false","2.8125","5630","1.0960478395601072","3.0826345487628015"
"1972","1981","1.003","5740","0.13","false","2.8125","5740","1.096968766888076","3.085224656872714"
"1982","1991","1.003","5930","0.13","false","2.8125","5930","1.0964792816058542","3.083847979516465"
"1992","2001","1.003","6320","0.13","false","2.8125","6320","1.1232061625318281","3.159017332120767"
"2002","2011","1.003","6560","0.13","false","2.8125","6560","1.102794830790709","3.101610461598869"
"2012","2015","1.003","6627","0.13","false","2.8125","6627","1.0955588226876756","3.0812591888090877"
