"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","3.75","15","90","41","3.1063997618469164","11.648999106925936","150.0"
"1","43","20","0.35","false","3.75","20","90","41","0.9563321652658853","3.5862456197470696","150.0"
"44","200","45","0.35","false","3.75","45","90","41","0.9213166312617864","3.454937367231699","150.0"
"201","410","30","0.35","false","3.75","30","90","41","0.9156552086087728","3.433707032282898","150.0"
"411","430","12","0.35","false","3.75","12","90","41","0.8670907180296524","3.2515901926111965","150.0"
"431","500","13","0.35","false","3.75","13","90","41","0.9733973169687455","3.650239938632796","150.0"
"501","750","13","0.35","false","3.75","13","90","41","0.9464589805619206","3.549221177107202","150.0"
"751","950","14","0.35","false","3.75","14","90","41","0.9497135270774969","3.5614257265406133","150.0"
"951","1066","15","0.35","false","3.75","15","90","41","0.9402554909534203","3.525958091075326","150.0"
"1067","1086","20","0.35","false","3.75","20","90","41","0.9682918777558871","3.631094541584577","150.0"
"1087","1190","37","0.35","false","3.75","37","90","41","0.9469586781477483","3.551095043054056","150.0"
"1191","1220","48","0.35","false","3.75","48","90","41","0.918782418879723","3.4454340707989615","150.0"
"1221","1250","50","0.35","false","3.75","50","90","41","0.9067930427096298","3.4004739101611117","150.0"
"1251","1279","53","0.35","false","3.75","53","90","41","0.9119490025017913","3.4198087593817177","150.0"
"1280","1290","57","0.35","false","3.75","57","90","41","0.9149734016650299","3.4311502562438623","150.0"
"1291","1315","56","0.35","false","3.75","56","90","41","0.9084819840772574","3.4068074402897155","150.0"
"1316","1325","50","0.35","false","3.75","50","90","41","0.9169147254598193","3.4384302204743227","150.0"
"1326","1348","57","0.35","false","3.75","57","90","41","0.9164745962519091","3.436779735944659","150.0"
"1349","1351","30","0.35","true","3.75","30","90","41","0.7516548463356975","2.8187056737588656","150.0"
"1352","1377","30","0.35","false","3.75","30","90","41","0.9101625367042827","3.41310951264106","150.0"
"1378","1400","25","0.35","false","3.75","25","90","41","0.9099589779222235","3.412346167208338","150.0"
"1401","1430","24","0.35","false","3.75","24","90","41","0.9249663496243333","3.46862381109125","150.0"
"1431","1450","23","0.35","false","3.75","23","90","41","0.9341803611458787","3.503176354297045","150.0"
"1451","1490","26","0.35","false","3.75","26","90","41","0.9282623383474208","3.480983768802828","150.0"
"1491","1522","28","0.35","false","3.75","28","90","41","0.9468604669567111","3.5507267510876668","150.0"
"1523","1541","34","0.35","false","3.75","34","90","41","0.9477581693912962","3.554093135217361","150.0"
"1542","1560","38","0.35","false","3.75","38","90","41","0.9181777339492889","3.4431665023098335","150.0"
"1561","1600","50","0.31","false","3.75","50","90","41","0.9213566753551925","3.455087532581972","150.0"
"1601","1650","63","0.29","false","3.75","63","90","41","0.9233185134501989","3.462444425438246","150.0"
"1651","1700","62","0.26","false","3.75","62","90","41","0.924396507300435","3.4664869023766314","150.0"
"1701","1801","113","0.25","false","3.75","113","90","41","0.9309162739396754","3.4909360272737824","150.0"
"1802","1811","125","0.28","false","3.75","125","90","41","0.923198816842947","3.4619955631610515","150.0"
"1812","1821","134","0.28","false","3.75","134","90","41","0.9178380058237121","3.4418925218389202","150.0"
"1822","1831","158","0.26","false","3.75","158","90","41","0.9261060252397441","3.4728975946490404","150.0"
"1832","1841","202","0.25","false","3.75","202","90","41","0.9420356594622679","3.5326337229835043","150.0"
"1842","1851","274","0.22","false","3.75","274","90","41","0.9542188854496905","3.578320820436339","150.0"
"1852","1861","290","0.25","false","3.75","290","90","41","0.9208880682208157","3.453330255828059","150.0"
"1862","1871","315","0.22","false","3.75","315","90","41","0.9310041771043854","3.4912656641414452","150.0"
"1872","1881","350","0.21","false","3.75","350","90","41","0.9337857947510763","3.501696730316536","150.0"
"1882","1891","378","0.19","false","3.75","378","90","41","0.9318135933642621","3.4943009751159826","150.0"
"1892","1901","382","0.18","false","3.75","382","90","41","0.9270556919810689","3.476458844929008","150.0"
"1902","1911","421","0.13","false","3.75","421","90","41","0.9469114543712003","3.550917953892001","150.0"
"1912","1921","440","0.14","false","3.75","440","90","41","0.940792490675111","3.527971840031666","150.0"
"1922","1931","450","0.12","false","3.75","450","90","41","0.9451671995128311","3.544376998173117","150.0"
"1932","1941","502","0.07","false","3.75","502","90","41","0.9622366178035466","3.6083873167633","150.0"
"1942","1951","528","0.08","false","3.75","528","90","41","0.9505291209556213","3.5644842035835795","150.0"
"1952","1961","559","0.09","false","3.75","559","90","41","0.9518091189932785","3.5692841962247943","150.0"
"1962","1971","563","0.1","false","3.75","563","90","41","0.9511810065188456","3.566928774445671","150.0"
"1972","1981","574","0.07","false","3.75","574","90","41","0.9584061735229172","3.5940231507109397","150.0"
"1982","1991","593","0.1","false","3.75","593","90","41","0.9574923297451597","3.590596236544349","150.0"
"1992","2001","632","0.09","false","3.75","632","90","41","0.9656952491503199","3.6213571843136996","150.0"
"2002","2011","656","0.09","false","3.75","656","90","41","0.9826965004097673","3.6851118765366273","150.0"
"2012","2015","662","0.09","false","3.75","662","90","41","1.0201486088027336","3.825557283010251","150.0"
