"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","5.0","1500","90","41","3.294608234634751","16.473041173173755","0.0075","false"
"1","43","2000","0.35","false","3.75","2000","90","41","4.57400206158899","17.152507730958714","0.0075","false"
"44","200","4500","0.35","false","1.40625","4500","90","41","6.880924804371209","9.676300506147014","0.0075","false"
"201","410","3000","0.35","false","1.054687","3000","90","41","5.161543959980034","5.443813314519462","0.0075","false"
"411","430","1250","0.35","false","1.054687","1250","90","41","2.1745367678201855","2.293455660041968","0.0075","false"
"431","500","1300","0.35","false","1.054687","1300","90","41","2.249944454998803","2.372987167409322","0.0075","false"
"501","750","1300","0.35","false","1.054687","1300","90","41","2.2030994792128027","2.3235803804325132","0.0075","false"
"751","950","1400","0.35","false","1.054687","1400","90","41","2.179369586128262","2.298552770684858","0.0075","false"
"951","1066","1500","0.35","false","1.054687","1500","90","41","2.1667278929200338","2.2852197412001516","0.0075","false"
"1067","1086","2000","0.35","false","1.054687","2000","90","41","2.198161472431213","2.3183723288740588","0.0075","false"
"1087","1190","3700","0.35","false","1.054687","3700","90","41","2.1723258460533694","2.29112382959649","0.0075","false"
"1191","1220","4800","0.35","false","1.054687","4800","90","41","2.173937127945403","2.292823227661353","0.0075","false"
"1221","1250","5000","0.35","false","1.054687","5000","90","41","2.1588618278546057","2.2769235046344902","0.0075","false"
"1251","1279","5300","0.35","false","1.054687","5300","90","41","2.1555789215397456","2.2734610660219894","0.0075","false"
"1280","1290","5700","0.35","false","1.054687","5700","90","41","2.164554672422151","2.2829276737929014","0.0075","false"
"1291","1315","5600","0.35","false","1.054687","5600","90","41","2.1486996654717463","2.2662056040773995","0.0075","false"
"1316","1325","5000","0.35","false","1.054687","5000","90","41","2.128183722117829","2.2445677053292865","0.0075","false"
"1326","1348","5700","0.35","false","1.054687","5700","90","41","2.1618163547801266","2.2800396057739873","0.0075","false"
"1349","1351","3000","0.35","true","1.054687","3000","90","41","1.763706904166268","1.8601587436344087","0.0075","false"
"1352","1377","3000","0.35","false","1.054687","3000","90","41","2.1478199869209047","2.265277818545648","0.0075","false"
"1378","1400","2500","0.35","false","1.054687","2500","90","41","2.1317002125815137","2.248276502106959","0.0075","false"
"1401","1430","2400","0.35","false","1.054687","2400","90","41","2.144260752913928","2.261523940708532","0.0075","false"
"1431","1450","2300","0.35","false","1.054687","2300","90","41","2.139277738738613","2.2562684204370114","0.0075","false"
"1451","1490","2600","0.35","false","1.054687","2600","90","41","2.1538129525401875","2.2715985214757524","0.0075","false"
"1491","1522","2800","0.35","false","1.054687","2800","90","41","2.1535872902250253","2.271360518365561","0.0075","false"
"1523","1541","3400","0.35","false","1.054687","3400","90","41","2.1670505954996897","2.285560091415781","0.0075","false"
"1542","1560","3800","0.35","false","1.054687","3800","90","41","2.1555756341643497","2.2734575988698955","0.0075","false"
"1561","1600","5000","0.31","false","1.054687","5000","90","41","2.168380817480732","2.2869630592463004","0.0075","false"
"1601","1650","6300","0.29","false","1.054687","6300","90","41","2.1687862440091066","2.2873906573352323","0.0075","false"
"1651","1700","6200","0.26","false","1.054687","6200","90","41","2.1659931011037528","2.2844447658238134","0.0075","false"
"1701","1801","11300","0.25","false","1.054687","11300","90","41","2.183077859136834","2.3024638380194498","0.0075","false"
"1802","1811","12500","0.28","false","1.054687","12500","90","41","2.1824900826058085","2.3018439177532724","0.0075","false"
"1812","1821","13400","0.28","false","1.054687","13400","90","41","2.181046210184093","2.3003210842804305","0.0075","false"
"1822","1831","15800","0.26","false","1.054687","15800","90","41","2.2027566563613616","2.3232188096277953","0.0075","false"
"1832","1841","20200","0.25","false","1.054687","20200","90","41","2.2232187248159283","2.3447998872199367","0.0075","false"
"1842","1851","27400","0.22","false","1.054687","27400","90","41","2.2455448526669035","2.368346964024698","0.0075","false"
"1852","1861","29000","0.25","false","1.054687","29000","90","41","2.177690769217839","2.296782144314055","0.0075","false"
"1862","1871","31500","0.22","false","1.054687","31500","90","41","2.197286357240651","2.31744935625907","0.0075","false"
"1872","1881","35000","0.21","false","1.054687","35000","90","41","2.203215249382405","2.3237024817253804","0.0075","false"
"1882","1891","37800","0.19","false","1.054687","37800","90","41","2.2030139271414164","2.3234901497749987","0.0075","false"
"1892","1901","38200","0.18","false","1.054687","38200","90","41","2.1935240025679934","2.313481249696429","0.0075","false"
"1902","1911","42100","0.13","false","1.054687","42100","90","41","2.229092567088087","2.3509949523044327","0.0075","false"
"1912","1921","44000","0.14","false","1.054687","44000","90","41","2.2140774689877563","2.3351587235342897","0.0075","false"
"1922","1931","45000","0.12","false","1.054687","45000","90","41","2.2202236917591747","2.3416410647904087","0.0075","false"
"1932","1951","50200","0.07","false","1.054687","50200","90","41","2.2498984299038","2.372938625339949","0.0075","false"
"1952","1961","55900","0.09","false","1.054687","55900","90","41","2.2622482315574386","2.38596380059662","0.0075","true"
"1962","1971","56300","0.1","false","1.054687","56300","90","41","2.2435980024149123","2.3662936463729762","0.0075","true"
"1972","1981","57400","0.07","false","1.054687","57400","90","41","2.2585466250464004","2.3820597643303127","0.0075","true"
"1982","1991","59300","0.1","false","1.054687","59300","90","41","2.25479186362161","2.378099666267485","0.0075","true"
"1992","2001","63200","0.09","false","1.054687","63200","90","41","2.275267432626266","2.399694982714298","0.0075","true"
"2002","2011","65600","0.09","false","1.054687","65600","90","41","2.294823318021238","2.420320320813865","0.0075","true"
"2012","2015","66270","0.09","false","1.054687","66270","90","41","2.3034610001706297","2.4294303718869608","0.0075","true"
