"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","150","0.6","false","7.0","150","4.747772934829823","33.23441054380876","0.2"
"1","43","1.066","200","0.6","false","6.125","200","5.0910079485944815","31.1824236851412","0.2"
"44","200","1.066","450","0.6","false","4.59375","450","3.550932457935758","16.31209597864239","0.2"
"201","410","1.066","300","0.6","false","3.445312","300","3.4611999186467433","11.924913614112649","0.2"
"411","430","1.066","125","0.6","false","3.445312","125","0.8990049162374815","3.0973524259719896","0.2"
"431","500","1.066","130","0.6","false","3.445312","130","0.9189980853037488","3.1662351312740293","0.2"
"501","750","1.066","130","0.6","false","3.0146479999999998","130","4.8745939517582055","14.69518490747997","0.2"
"751","950","1.066","140","0.6","false","3.0146479999999998","140","0.9981820102689649","3.0091674008933142","0.2"
"951","1066","1.066","150","0.6","false","3.0146479999999998","150","0.994560449836339","2.998249670978219","0.2"
"1067","1086","1.066","200","0.6","false","3.0146479999999998","200","0.9949727308099975","2.999492552990897","0.2"
"1087","1190","1.066","370","0.6","false","3.0146479999999998","370","1.0008919950062036","3.0173370509614617","0.2"
"1191","1220","1.066","480","0.6","false","3.0146479999999998","480","1.001183307759515","3.0182152563706057","0.2"
"1221","1250","1.066","500","0.6","false","3.0146479999999998","500","0.9911840951612735","2.9880711501097426","0.2"
"1251","1279","1.066","530","0.6","false","3.0146479999999998","530","0.9910760008482727","2.9877452838052436","0.2"
"1280","1290","1.066","570","0.6","false","3.0146479999999998","570","1.0001972195929008","3.0152425476512987","0.2"
"1291","1315","1.066","560","0.6","false","3.0146479999999998","560","0.9864533267344967","2.973809548533497","0.2"
"1316","1325","1.066","500","0.6","false","3.0146479999999998","500","0.9819432917969214","2.960213380729005","0.2"
"1326","1348","1.066","570","0.6","false","3.0146479999999998","570","0.998101532135852","3.0089247876502814","0.2"
"1349","1351","1.066","300","0.6","true","3.0146479999999998","300","0.7982563612045581","2.4064619427925984","0.2"
"1352","1377","1.066","300","0.6","false","3.0146479999999998","300","0.9883465479113587","2.9795169439678815","0.2"
"1378","1400","1.066","250","0.6","false","3.0146479999999998","250","0.9753616446470934","2.9403720313120707","0.2"
"1401","1430","1.066","240","0.6","false","3.0146479999999998","240","0.9811286902749913","2.9577576438801216","0.2"
"1431","1450","1.066","230","0.6","false","3.0146479999999998","230","0.9876371948453457","2.9773784941661314","0.2"
"1451","1490","1.066","260","0.6","false","3.0146479999999998","260","0.9907483886764374","2.9867576484266447","0.2"
