"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","7.0","1500","4.795475086052305","33.56832560236614"
"1","43","1.066","2000","0.6","false","5.25","2000","3.9590931264802323","20.78523891402122"
"44","200","1.066","4500","0.6","false","3.9375","4500","4.107657985502463","16.17390331791595"
"201","410","1.066","3000","0.6","false","2.953125","3000","4.034320636344502","11.913853129204856"
"411","430","1.066","1250","0.6","false","2.953125","1250","1.075127855678074","3.174986948799312"
"431","500","1.066","1300","0.6","false","2.953125","1300","1.0774644664703192","3.1818872525451614"
"501","750","1.066","1300","0.6","false","2.953125","1300","1.0102995711785887","2.9835409211367696"
"751","950","1.066","1400","0.6","false","2.953125","1400","0.960073815353113","2.8352179859646616"
"951","1066","1.066","1500","0.6","false","2.953125","1500","0.9347329918247105","2.760383366482348"
"1067","1086","1.066","2000","0.6","false","2.953125","2000","0.9731007318360513","2.873688098703339"
"1087","1190","1.066","3700","0.6","false","2.953125","3700","0.9704137458346368","2.865753093167912"
"1191","1220","1.066","4800","0.6","false","2.953125","4800","0.9594446266460424","2.833359913064094"
"1221","1250","1.066","5000","0.6","false","2.953125","5000","0.9339421067719887","2.7580477840610294"
"1251","1279","1.066","5300","0.6","false","2.953125","5300","0.9340132587887365","2.7582579048604874"
"1280","1290","1.066","5700","0.6","false","2.953125","5700","0.9345471425263128","2.759834530273017"
"1291","1315","1.066","5600","0.6","false","2.953125","5600","0.9256442194534121","2.733543085573358"
"1316","1325","1.066","5000","0.6","false","2.953125","5000","0.9141469613739618","2.6995902453074807"
"1326","1348","1.066","5700","0.6","false","2.953125","5700","0.9369680673465864","2.766983823882888"
"1349","1351","1.066","3000","0.6","true","2.953125","3000","0.7826424534099802","2.3112409952263477"
"1352","1377","1.066","3000","0.6","false","2.953125","3000","0.9244281168278311","2.7299517825071886"
"1378","1400","1.066","2500","0.6","false","2.953125","2500","0.9144551600097602","2.7005003944038233"
"1401","1430","1.066","2400","0.6","false","2.953125","2400","0.9145127589868028","2.700670491382902"
"1431","1450","1.066","2300","0.6","false","2.953125","2300","0.9084769760076906","2.6828460697727112"
"1451","1490","1.066","2600","0.6","false","2.953125","2600","0.9148447294039501","2.7016508415210403"
"1491","1522","1.066","2800","0.6","false","2.953125","2800","0.9094202844304037","2.6856317774585357"
"1523","1541","1.066","3400","0.6","false","2.953125","3400","0.9287330094963062","2.7426646686687794"
"1542","1560","1.066","3800","0.6","false","2.953125","3800","0.9135152955818822","2.697724857265246"
"1561","1600","1.066","5000","0.6","false","2.953125","5000","0.9280620506726681","2.740683243392723"
"1601","1650","1.066","6300","0.6","false","2.953125","6300","0.9210641226738205","2.7200174872711265"
"1651","1700","1.066","6200","0.6","false","2.953125","6200","0.9058422718663021","2.6750654591051735"
"1701","1801","1.066","11300","0.6","false","2.953125","11300","0.9477812669550768","2.7989165539767114"
"1802","1811","1.066","12500","0.6","false","2.953125","12500","0.9271199767921724","2.7379011814643843"
"1812","1821","1.066","13400","0.6","false","2.953125","13400","0.9188350887491085","2.7134348714622107"
"1822","1831","1.066","15800","0.6","false","2.953125","15800","0.9456494238134356","2.792620954699052"
"1832","1841","1.066","20200","0.6","false","2.953125","20200","0.9796065561703488","2.8929006111905613"
"1842","1851","1.066","27400","0.6","false","2.953125","27400","1.0121328884386325","2.9889549361703365"
"1852","1861","1.066","29000","0.6","false","2.953125","29000","0.9348798308832802","2.760817000577187"
"1862","1871","1.066","31500","0.6","false","2.953125","31500","0.9391314645356283","2.7733726062067774"
"1872","1881","1.066","35000","0.6","false","2.953125","35000","0.9455872269816092","2.792437279680065"
"1882","1891","1.066","37800","0.6","false","2.953125","37800","0.9408391837305514","2.7784157144542845"
"1892","1901","1.066","38200","0.6","false","2.953125","38200","0.9288374559858804","2.742973112208303"
"1902","1911","1.003","42100","0.13","false","2.953125","42100","0.9913231321621272","2.927501124666282"
"1912","1921","1.003","44000","0.13","false","2.953125","44000","0.9623548430092917","2.8419541457618145"
"1922","1931","1.003","45000","0.13","false","2.953125","45000","0.963905628162288","2.8465338081667566"
"1932","1941","1.003","50200","0.13","false","2.953125","50200","1.061434755496054","3.134549512324284"
"1942","1951","1.003","52800","0.13","false","5.4765619999999995","52800","2.2573519200506524","12.36252774597644"
"1952","1961","1.003","55900","0.13","false","5.4765619999999995","55900","1.1538512163502759","6.319137725117699"
"1962","1971","1.003","56300","0.13","false","5.4765619999999995","56300","1.0176757212150402","5.5733641831288825"
"1972","1981","1.003","57400","0.13","false","5.4765619999999995","57400","0.9439618164642825","5.1696654134992635"
"1982","1991","1.003","59300","0.13","false","3.4228509999999996","59300","3.925578450561852","13.436670125084085"
"1992","2001","1.003","63200","0.13","false","3.4228509999999996","63200","1.0401017612288195","3.5601133535238256"
"2002","2011","1.003","65600","0.13","false","3.4228509999999996","65600","1.0563194104484437","3.6156239503728655"
"2012","2015","1.003","66270","0.13","false","3.4228509999999996","66270","1.0497113323660183","3.5930054837003578"
