"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","7.5","150","6.2185321316795585","46.63899098759669"
"1","43","1.066","200","0.6","false","7.5","200","1.1579061273434386","8.68429595507579"
"44","200","1.066","450","0.6","false","7.5","450","1.1113394072764242","8.335045554573181"
"201","410","1.066","300","0.6","false","7.5","300","0.9872364331274014","7.40427324845551"
"411","430","1.066","125","0.6","false","7.5","125","0.9401343098267901","7.051007323700926"
"431","500","1.066","130","0.6","false","7.5","130","0.9636472177649158","7.227354133236869"
"501","750","1.066","130","0.6","false","7.5","130","0.9308025602969192","6.981019202226894"
"751","950","1.066","140","0.6","false","7.5","140","0.8992347649506436","6.744260737129827"
"951","1066","1.066","150","0.6","false","7.5","150","0.8854516401595625","6.640887301196718"
"1067","1086","1.066","200","0.6","false","7.5","200","0.9216734007117783","6.912550505338337"
"1087","1190","1.066","370","0.6","false","7.5","370","0.9096909346616804","6.822682009962603"
"1191","1220","1.066","480","0.6","false","7.5","480","0.895508431957309","6.716313239679818"
"1221","1250","1.066","500","0.6","false","7.5","500","0.8748625129925939","6.561468847444454"
"1251","1279","1.066","530","0.6","false","7.5","530","0.8707063256713723","6.530297442535292"
"1280","1290","1.066","570","0.6","false","7.5","570","0.8695324460638996","6.5214933454792465"
"1291","1315","1.066","560","0.6","false","7.5","560","0.8692139117789539","6.519104338342155"
"1316","1325","1.066","500","0.6","false","7.5","500","0.8483630097238596","6.362722572928947"
"1326","1348","1.066","570","0.6","false","7.5","570","0.8719456163069601","6.539592122302201"
"1349","1351","1.066","300","0.6","true","7.5","300","0.711617388140259","5.337130411051943"
"1352","1377","1.066","300","0.6","false","7.5","300","0.864277641650271","6.482082312377033"
"1378","1400","1.066","250","0.6","false","7.5","250","0.8509172711574916","6.381879533681187"
"1401","1430","1.066","240","0.6","false","7.5","240","0.8558418233358718","6.418813675019038"
"1431","1450","1.066","230","0.6","false","7.5","230","0.8600203772970444","6.450152829727833"
"1451","1490","1.066","260","0.6","false","7.5","260","0.8589900068983052","6.442425051737289"
"1491","1522","1.066","280","0.6","false","7.5","280","0.8530936777859388","6.398202583394541"
"1523","1541","1.066","340","0.6","false","5.625","340","3.6758786424242786","20.676817363636566"
"1542","1560","1.066","380","0.6","false","5.625","380","1.1444078646360474","6.437294238577767"
"1561","1600","1.066","500","0.6","false","5.625","500","1.1444800103293669","6.437700058102688"
"1601","1650","1.066","630","0.6","false","5.625","630","1.1377895944464307","6.400066468761173"
"1651","1700","1.066","620","0.6","false","5.625","620","1.1205290870779305","6.302976114813359"
"1701","1801","1.066","1130","0.6","false","5.625","1130","1.15040282604364","6.471015896495476"
"1802","1811","1.066","1250","0.6","false","5.625","1250","1.1179786167575239","6.288629719261071"
"1812","1821","1.066","1340","0.6","false","5.625","1340","1.112137699568216","6.255774560071215"
"1822","1831","1.066","1580","0.6","false","5.625","1580","1.1442377422081365","6.436337299920767"
"1832","1841","1.066","2020","0.6","false","5.625","2020","1.1759717532883402","6.614841112246914"
"1842","1851","1.066","2740","0.6","false","5.625","2740","1.202990113198806","6.766819386743284"
"1852","1861","1.066","2900","0.6","false","5.625","2900","1.1141222594263405","6.266937709273165"
"1862","1871","1.066","3150","0.6","false","5.625","3150","1.113276666148426","6.262181247084896"
"1872","1881","1.066","3500","0.6","false","5.625","3500","1.1121923383988956","6.256081903493788"
"1882","1891","1.066","3780","0.6","false","5.625","3780","1.1079522265310506","6.23223127423716"
"1892","1901","1.066","3820","0.6","false","5.625","3820","1.0983975653177356","6.178486304912263"
"1902","1911","1.003","4210","0.13","false","5.625","4210","1.1316787921463782","6.365693205823377"
"1912","1921","1.003","4400","0.13","false","5.625","4400","1.0859147907199125","6.108270697799508"
"1922","1931","1.003","4500","0.13","false","5.625","4500","1.0889949872382552","6.125596803215185"
"1932","1941","1.003","5020","0.13","false","5.625","5020","1.1581357629579847","6.514513666638664"
"1942","1951","1.003","5280","0.13","false","5.625","5280","1.1362672687982318","6.391503386990054"
"1952","1961","1.003","5590","0.13","false","5.625","5590","1.1314524148035274","6.364419833269841"
"1962","1971","1.003","5630","0.13","false","5.625","5630","1.1040346722299663","6.21019503129356"
"1972","1981","1.003","5740","0.13","false","5.625","5740","1.1063561441046519","6.2232533105886665"
"1982","1991","1.003","5930","0.13","false","5.625","5930","1.1035667828162885","6.2075631533416225"
"1992","2001","1.003","6320","0.13","false","5.625","6320","1.1335874524386977","6.376429419967675"
"2002","2011","1.003","6560","0.13","false","5.625","6560","1.1098561877793314","6.242941056258739"
"2012","2015","1.003","6627","0.13","false","5.625","6627","1.10081371179146","6.192077128826963"
