"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.55","false","6.0","15","90","41","4.872884468472707","29.23730681083624","150.0"
"1","43","20","0.55","false","6.0","20","90","41","1.537211819188563","9.223270915131378","150.0"
"44","200","45","0.55","false","6.0","45","90","41","1.4281711673178978","8.569027003907387","150.0"
"201","410","30","0.55","false","6.0","30","90","41","1.414312727620712","8.485876365724272","150.0"
"411","430","12","0.55","false","6.0","12","90","41","1.3423046215480423","8.053827729288255","150.0"
"431","500","13","0.55","false","7.0","13","90","41","2.771999429142286","19.403996003996","150.0"
"501","750","13","0.55","false","7.0","13","90","41","1.2793777777777822","8.955644444444475","150.0"
"751","950","14","0.55","false","7.0","14","90","41","1.2839211760461797","8.987448232323258","150.0"
"951","1066","15","0.55","false","7.0","15","90","41","1.2856844305120179","8.999791013584126","150.0"
"1067","1086","20","0.55","false","7.0","20","90","41","1.2276879493055959","8.593815645139172","150.0"
"1087","1190","37","0.55","false","7.0","37","90","41","1.2524088861070566","8.766862202749396","150.0"
"1191","1220","48","0.55","false","7.0","48","90","41","1.214143312814084","8.499003189698588","150.0"
"1221","1250","50","0.55","false","7.0","50","90","41","1.2247877384629369","8.573514169240559","150.0"
"1251","1279","53","0.55","false","7.0","53","90","41","1.2305259315460895","8.613681520822626","150.0"
"1280","1290","57","0.55","false","7.0","57","90","41","1.2425249419097708","8.697674593368395","150.0"
"1291","1315","56","0.55","false","7.0","56","90","41","1.1998740773206091","8.399118541244263","150.0"
"1316","1325","50","0.55","false","7.0","50","90","41","1.2126002787516943","8.48820195126186","150.0"
"1326","1348","57","0.55","false","7.0","57","90","41","1.2194239101057591","8.535967370740314","150.0"
"1349","1351","30","0.55","true","7.0","30","90","41","0.9823063840920984","6.876144688644689","150.0"
"1352","1377","30","0.55","false","7.0","30","90","41","1.229333264283097","8.605332849981679","150.0"
"1378","1400","25","0.55","false","7.0","25","90","41","1.2258400914355547","8.580880640048884","150.0"
"1401","1430","24","0.55","false","7.0","24","90","41","1.230948157063718","8.616637099446026","150.0"
"1431","1450","23","0.55","false","7.0","23","90","41","1.2328571428571427","8.629999999999999","150.0"
"1451","1490","26","0.55","false","7.0","26","90","41","1.2526242704019404","8.768369892813583","150.0"
"1491","1522","28","0.55","false","7.0","28","90","41","1.2204163756723825","8.542914629706678","150.0"
"1523","1541","34","0.55","false","7.0","34","90","41","1.2984715581015838","9.089300906711086","150.0"
"1542","1560","38","0.55","false","7.0","38","90","41","1.2658408756650223","8.860886129655157","150.0"
"1561","1600","50","0.55","false","7.0","50","90","41","1.2533132560822309","8.773192792575616","150.0"
"1601","1650","63","0.55","false","7.0","63","90","41","1.2299327003087284","8.609528902161099","150.0"
"1651","1700","62","0.55","false","7.0","62","90","41","1.2192482726115907","8.534737908281135","150.0"
"1701","1801","113","0.28","false","7.0","113","90","41","1.2558247594648237","8.790773316253766","150.0"
"1802","1811","125","0.28","false","7.0","125","90","41","1.2555985183801197","8.789189628660838","150.0"
"1812","1821","134","0.28","false","7.0","134","90","41","1.2545051560596527","8.78153609241757","150.0"
"1822","1831","158","0.26","false","7.0","158","90","41","1.2650010358067978","8.855007250647585","150.0"
"1832","1841","202","0.25","false","7.0","202","90","41","1.282321651165138","8.976251558155967","150.0"
"1842","1851","274","0.22","false","7.0","274","90","41","1.307233448503885","9.150634139527195","150.0"
"1852","1861","290","0.25","false","7.0","290","90","41","1.2497678497337927","8.748374948136549","150.0"
"1862","1871","315","0.22","false","7.0","315","90","41","1.2725224847143393","8.907657393000374","150.0"
"1872","1881","350","0.21","false","7.0","350","90","41","1.2770019161957376","8.939013413370162","150.0"
"1882","1891","378","0.19","false","7.0","378","90","41","1.267472761688931","8.872309331822517","150.0"
"1892","1901","382","0.18","false","7.0","382","90","41","1.251376257223874","8.759633800567117","150.0"
"1902","1911","421","0.13","false","7.0","421","90","41","1.2905598587165426","9.033919011015797","150.0"
"1912","1921","440","0.14","false","7.0","440","90","41","1.2753044027540847","8.927130819278593","150.0"
"1922","1931","450","0.12","false","7.0","450","90","41","1.2869702942851575","9.008792059996102","150.0"
"1932","1941","502","0.07","false","7.0","502","90","41","1.3175998491512262","9.223198944058584","150.0"
"1942","1951","528","0.08","false","7.0","528","90","41","1.3010667771242392","9.107467439869675","150.0"
"1952","1961","559","0.09","false","7.0","559","90","41","1.29840035297511","9.08880247082577","150.0"
"1962","1971","563","0.1","false","7.0","563","90","41","1.29532759995922","9.06729319971454","150.0"
"1972","1981","574","0.07","false","7.0","574","90","41","1.3024237971345598","9.116966579941918","150.0"
"1982","1991","593","0.1","false","7.0","593","90","41","1.3126824631739729","9.18877724221781","150.0"
"1992","2001","632","0.09","false","7.0","632","90","41","1.3295890664104744","9.307123464873321","150.0"
"2002","2011","656","0.09","false","7.0","656","90","41","1.3443983036660638","9.410788125662446","150.0"
"2012","2015","662","0.09","false","7.0","662","90","41","1.356668607060099","9.496680249420693","150.0"
