"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.25","1500","90","41","2.491214373898064","3.11401796737258","0.00375","false","true"
"-50","0","1500","0.35","false","1.25","1500","90","41","2.0580797788959835","2.5725997236199794","0.00375","false","true"
"1","43","2000","0.35","false","1.25","2000","90","41","2.068865959085684","2.586082448857105","0.00375","false","true"
"44","200","4500","0.35","false","1.25","4500","90","41","2.067151915569969","2.5839398944624614","0.00375","false","true"
"201","410","3000","0.35","false","1.25","3000","90","41","2.0531792445202077","2.56647405565026","0.00375","false","true"
"411","430","1250","0.35","false","1.25","1250","90","41","1.9706352867467705","2.463294108433463","0.00375","false","true"
"431","500","1300","0.35","false","1.25","1300","90","41","2.057912834295197","2.572391042868996","0.00375","false","true"
"501","750","1300","0.35","false","1.25","1300","90","41","2.058031266120168","2.5725390826502097","0.00375","false","true"
"751","950","1400","0.35","false","1.25","1400","90","41","2.0576611209936817","2.5720764012421022","0.00375","false","true"
"951","1066","1500","0.35","false","1.25","1500","90","41","2.056836738088322","2.5710459226104025","0.00375","false","true"
"1067","1086","2000","0.35","false","1.25","2000","90","41","2.085174095112138","2.6064676188901723","0.00375","false","true"
"1087","1190","3700","0.35","false","1.25","3700","90","41","2.0686037714707726","2.585754714338466","0.00375","false","true"
"1191","1220","4800","0.35","false","1.25","4800","90","41","2.075681025662063","2.594601282077579","0.00375","false","true"
"1221","1250","5000","0.35","false","1.25","5000","90","41","2.0600293498149163","2.5750366872686454","0.00375","false","true"
"1251","1279","5300","0.35","false","1.25","5300","90","41","2.0635615463507735","2.5794519329384666","0.00375","false","true"
"1280","1290","5700","0.35","false","1.25","5700","90","41","2.0705010079596486","2.588126259949561","0.00375","false","true"
"1291","1315","5600","0.35","false","1.25","5600","90","41","2.054119756985459","2.5676496962318236","0.00375","false","true"
"1316","1325","5000","0.35","false","1.25","5000","90","41","2.0316606731738545","2.539575841467318","0.00375","false","true"
"1326","1348","5700","0.35","false","1.25","5700","90","41","2.0686326564156703","2.5857908205195876","0.00375","false","true"
"1349","1351","3000","0.35","true","1.25","3000","90","41","1.6793217226303898","2.0991521532879873","0.00375","false","true"
"1352","1377","3000","0.35","false","1.25","3000","90","41","2.056551814260056","2.57068976782507","0.00375","false","true"
"1378","1400","2500","0.35","false","1.25","2500","90","41","2.0384790798587913","2.5480988498234893","0.00375","false","true"
"1401","1430","2400","0.35","false","1.25","2400","90","41","2.054877243521368","2.5685965544017098","0.00375","false","true"
