"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-9050","-51","1500","0.35","false","1.25","1500","90","41","5.079354093183444","6.349192616479305","0.0075","false"
"-50","0","1500","0.35","false","1.25","1500","90","41","2.0413621258451022","2.551702657306378","0.0075","false"
"1","43","2000","0.35","false","1.25","2000","90","41","2.0532883757857645","2.566610469732206","0.0075","false"
"44","200","4500","0.35","false","1.25","4500","90","41","2.0481888565696424","2.560236070712053","0.0075","false"
"201","410","3000","0.35","false","1.25","3000","90","41","2.0320439299920334","2.540054912490042","0.0075","false"
"411","430","1250","0.35","false","1.25","1250","90","41","1.9450240288154415","2.431280036019302","0.0075","false"
"431","500","1300","0.35","false","1.25","1300","90","41","2.032621099154174","2.5407763739427174","0.0075","false"
"501","750","1300","0.35","false","1.25","1300","90","41","2.0303254391198675","2.5379067988998343","0.0075","false"
"751","950","1400","0.35","false","1.25","1400","90","41","2.0192165303082823","2.524020662885353","0.0075","false"
"951","1066","1500","0.35","false","1.25","1500","90","41","2.0182331490201775","2.522791436275222","0.0075","false"
"1067","1086","2000","0.35","false","1.25","2000","90","41","2.045466393297977","2.5568329916224712","0.0075","false"
"1087","1190","3700","0.35","false","1.25","3700","90","41","2.02845021013697","2.5355627626712125","0.0075","false"
"1191","1220","4800","0.35","false","1.25","4800","90","41","2.0342976977128897","2.5428721221411124","0.0075","false"
"1221","1250","5000","0.35","false","1.25","5000","90","41","2.0178500387454705","2.522312548431838","0.0075","false"
"1251","1279","5300","0.35","false","1.25","5300","90","41","2.0222954991360225","2.527869373920028","0.0075","false"
"1280","1290","5700","0.35","false","1.25","5700","90","41","2.0307092087465386","2.538386510933173","0.0075","false"
"1291","1315","5600","0.35","false","1.25","5600","90","41","2.015706387957726","2.5196329849471577","0.0075","false"
"1316","1325","5000","0.35","false","1.25","5000","90","41","1.9909074682978083","2.4886343353722604","0.0075","false"
"1326","1348","5700","0.35","false","1.25","5700","90","41","2.0295230380373","2.5369037975466253","0.0075","false"
"1349","1351","3000","0.35","true","1.25","3000","90","41","1.6477520318642656","2.0596900398303317","0.0075","false"
"1352","1377","3000","0.35","false","1.25","3000","90","41","2.017607606475358","2.5220095080941975","0.0075","false"
