"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","2.0","1500","2.9063523277276935","5.812704655455387","1.0"
"1","43","1.066","2000","0.6","false","1.5","2000","3.418334588975134","5.127501883462701","1.0"
"44","200","1.066","4500","0.6","false","1.5","4500","1.0215131144427132","1.5322696716640698","1.0"
"201","410","1.066","3000","0.6","false","1.5","3000","1.0107494738295024","1.5161242107442536","1.0"
"411","430","1.066","1250","0.6","false","1.5","1250","0.971622252489964","1.457433378734946","1.0"
"431","500","1.066","1300","0.6","false","1.5","1300","1.0135865637815495","1.5203798456723243","1.0"
"501","750","1.066","1300","0.6","false","1.5","1300","1.013057410401233","1.5195861156018498","1.0"
"751","950","1.066","1400","0.6","false","1.5","1400","1.0130154653008328","1.5195231979512491","1.0"
"951","1066","1.066","1500","0.6","false","1.5","1500","1.0137915277951879","1.5206872916927818","1.0"
"1067","1086","1.066","2000","0.6","false","1.5","2000","1.0263783950521974","1.5395675925782961","1.0"
"1087","1190","1.066","3700","0.6","false","1.5","3700","1.018624925476033","1.5279373882140495","1.0"
"1191","1220","1.066","4800","0.6","false","1.5","4800","1.0211269329812163","1.5316903994718243","1.0"
"1221","1250","1.066","5000","0.6","false","1.5","5000","1.0142753875454231","1.5214130813181348","1.0"
"1251","1279","1.066","5300","0.6","false","1.5","5300","1.0143019598854008","1.5214529398281011","1.0"
"1280","1290","1.066","5700","0.6","false","1.5","5700","1.0205962953349788","1.530894443002468","1.0"
"1291","1315","1.066","5600","0.6","false","1.5","5600","1.0115838702842623","1.5173758054263935","1.0"
"1316","1325","1.066","5000","0.6","false","1.5","5000","1.0008943864783997","1.5013415797175995","1.0"
"1326","1348","1.066","5700","0.6","false","1.5","5700","1.019936087770894","1.529904131656341","1.0"
"1349","1351","1.066","3000","0.6","true","1.5","3000","0.8264410249489806","1.239661537423471","1.0"
"1352","1377","1.066","3000","0.6","false","1.5","3000","1.01279472244514","1.51919208366771","1.0"
"1378","1400","1.066","2500","0.6","false","1.5","2500","1.0031677659488702","1.5047516489233055","1.0"
"1401","1430","1.066","2400","0.6","false","1.5","2400","1.0098230721162829","1.5147346081744244","1.0"
"1431","1450","1.066","2300","0.6","false","1.5","2300","1.0123710253212703","1.5185565379819055","1.0"
"1451","1490","1.066","2600","0.6","false","1.5","2600","1.0179939067481814","1.5269908601222721","1.0"
"1491","1522","1.066","2800","0.6","false","1.5","2800","1.0167543078368788","1.5251314617553182","1.0"
"1523","1541","1.066","3400","0.6","false","1.5","3400","1.0238704418920117","1.5358056628380177","1.0"
"1542","1560","1.066","3800","0.6","false","1.5","3800","1.016254416169287","1.5243816242539305","1.0"
"1561","1600","1.066","5000","0.6","false","1.5","5000","1.0211725586744187","1.531758838011628","1.0"
"1601","1650","1.066","6300","0.6","false","1.5","6300","1.016865209063369","1.5252978135950535","1.0"
"1651","1700","1.066","6200","0.6","false","1.5","6200","1.0121979022033931","1.5182968533050896","1.0"
"1701","1801","1.066","11300","0.6","false","1.5","11300","1.0184695582662684","1.5277043373994026","1.0"
"1802","1811","1.066","12500","0.6","false","1.5","12500","1.023059757467196","1.534589636200794","1.0"
"1812","1821","1.066","13400","0.6","false","1.5","13400","1.019955325731668","1.5299329885975022","1.0"
"1822","1831","1.066","15800","0.6","false","1.5","15800","1.0296044423022939","1.5444066634534408","1.0"
"1832","1841","1.066","20200","0.6","false","1.5","20200","1.0380693116507316","1.5571039674760974","1.0"
"1842","1851","1.066","27400","0.6","false","1.5","27400","1.043935102231321","1.5659026533469815","1.0"
"1852","1861","1.066","29000","0.6","false","1.5","29000","1.0165488487508765","1.5248232731263147","1.0"
"1862","1871","1.066","31500","0.6","false","1.5","31500","1.0219860001405805","1.5329790002108707","1.0"
"1872","1881","1.066","35000","0.6","false","1.5","35000","1.0231890790142057","1.5347836185213086","1.0"
"1882","1891","1.066","37800","0.6","false","1.5","37800","1.0198362969586525","1.5297544454379788","1.0"
"1892","1901","1.066","38200","0.6","false","1.5","38200","1.0143349042414773","1.521502356362216","1.0"
"1902","1911","1.066","42100","0.6","false","1.5","42100","1.0234739569651534","1.5352109354477301","1.0"
"1912","1921","1.066","44000","0.6","false","1.5","44000","1.01631026858708","1.52446540288062","1.0"
"1922","1931","1.066","45000","0.13","false","1.5","45000","1.0696286320635735","1.6044429480953601","1.0"
"1932","1941","1.066","50200","0.13","false","1.5","50200","1.0687167486872378","1.6030751230308566","1.0"
"1942","1951","1.066","52800","0.13","false","1.5","52800","1.0704088879364024","1.6056133319046038","1.0"
"1952","1961","1.066","55900","0.13","false","1.5","55900","1.1122246791835821","1.6683370187753732","1.0"
"1962","1971","1.066","56300","0.13","false","6.375","56300","3.580970716561164","22.828688318077422","1.0"
"1972","1981","1.066","57400","0.13","false","6.375","57400","1.1817385317400104","7.533583139842566","1.0"
"1982","1991","1.066","59300","0.13","false","6.375","59300","1.1166012714700473","7.118333105621551","1.0"
"1992","2001","1.066","63200","0.13","false","6.375","63200","1.1100271439566582","7.076423042723697","1.0"
"2002","2011","1.066","65600","0.13","false","6.375","65600","1.0759694293124311","6.859305111866749","1.0"
"2012","2015","1.066","66270","0.13","false","6.375","66270","1.0388134327081793","6.622435633514643","1.0"
