"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","4.0","1500","1.327399576271973","5.309598305087892"
"1","43","1.066","2000","0.6","false","4.0","2000","1.0605318959243306","4.2421275836973225"
"44","200","1.066","4500","0.6","false","3.0","4500","3.63872709513994","10.916181285419821"
"201","410","1.066","3000","0.6","false","2.25","3000","3.56828333295586","8.028637499150685"
"411","430","1.066","1250","0.6","false","2.25","1250","0.9368862727439076","2.107994113673792"
"431","500","1.066","1300","0.6","false","2.25","1300","0.9281474234826282","2.0883317028359136"
"501","750","1.066","1300","0.6","false","1.6875","1300","3.5920982349049733","6.061665771402143"
"751","950","1.066","1400","0.6","false","1.6875","1400","1.005693986780932","1.6971086026928228"
"951","1066","1.066","1500","0.6","false","1.6875","1500","0.9730941870416373","1.642096440632763"
"1067","1086","1.066","2000","0.6","false","1.6875","2000","1.007371497613721","1.699939402223154"
"1087","1190","1.066","3700","0.6","false","1.6875","3700","0.9887936312186602","1.668589252681489"
"1191","1220","1.066","4800","0.6","false","1.6875","4800","0.97242904218256","1.64097400868307"
"1221","1250","1.066","5000","0.6","false","1.6875","5000","0.9459502868779396","1.596291109106523"
"1251","1279","1.066","5300","0.6","false","1.6875","5300","0.9411503724388004","1.5881912534904756"
"1280","1290","1.066","5700","0.6","false","1.6875","5700","0.9441147201066143","1.5931935901799117"
"1291","1315","1.066","5600","0.6","false","1.6875","5600","0.9343185345047332","1.5766625269767374"
"1316","1325","1.066","5000","0.6","false","1.6875","5000","0.9236627091944817","1.5586808217656878"
"1326","1348","1.066","5700","0.6","false","1.6875","5700","0.9359172891566573","1.5793604254518592"
"1349","1351","1.066","3000","0.6","true","1.6875","3000","0.7865836753082721","1.3273599520827093"
"1352","1377","1.066","3000","0.6","false","1.6875","3000","0.9244180695792112","1.559955492414919"
"1378","1400","1.066","2500","0.6","false","1.6875","2500","0.915939381480587","1.5456477062484906"
"1401","1430","1.066","2400","0.6","false","1.6875","2400","0.9198466183387791","1.5522411684466897"
"1431","1450","1.066","2300","0.6","false","1.6875","2300","0.9159070640567055","1.5455931705956907"
"1451","1490","1.066","2600","0.6","false","1.6875","2600","0.9186000642307288","1.5501376083893548"
"1491","1522","1.066","2800","0.6","false","1.6875","2800","0.9150591509756445","1.5441623172714"
"1523","1541","1.066","3400","0.6","false","1.6875","3400","0.9286036226283604","1.567018613185358"
"1542","1560","1.066","3800","0.6","false","1.6875","3800","0.9181099336154858","1.5493105129761322"
"1561","1600","1.066","5000","0.6","false","1.6875","5000","0.9220951014463046","1.556035483690639"
"1601","1650","1.066","6300","0.6","false","1.6875","6300","0.9122278248377305","1.5393844544136701"
"1651","1700","1.066","6200","0.6","false","1.6875","6200","0.8988865090821533","1.5168709840761336"
"1701","1801","1.066","11300","0.6","false","1.6875","11300","0.9254183973595861","1.5616435455443016"
"1802","1811","1.066","12500","0.6","false","1.6875","12500","0.904312277252577","1.5260269678637237"
"1812","1821","1.066","13400","0.6","false","1.6875","13400","0.8983867673119376","1.5160276698388946"
"1822","1831","1.066","15800","0.6","false","1.6875","15800","0.9143188928501995","1.5429131316847118"
"1832","1841","1.066","20200","0.6","false","1.6875","20200","0.9423801132462213","1.5902664411029983"
"1842","1851","1.066","27400","0.6","false","1.6875","27400","0.9692872124866042","1.6356721710711446"
"1852","1861","1.066","29000","0.6","false","1.6875","29000","0.8937933802679525","1.50827632920217"
"1862","1871","1.066","31500","0.6","false","1.6875","31500","0.8967195725860053","1.513214278738884"
"1872","1881","1.066","35000","0.6","false","1.6875","35000","0.898841577312807","1.5167951617153619"
"1882","1891","1.066","37800","0.6","false","1.6875","37800","0.8944332427913363","1.5093560972103799"
"1892","1901","1.066","38200","0.6","false","1.6875","38200","0.8873819568154854","1.4974570521261317"
"1902","1911","1.003","42100","0.13","false","1.6875","42100","0.9162766718927596","1.5462168838190318"
"1912","1921","1.003","44000","0.13","false","1.6875","44000","0.8777791208113529","1.481252266369158"
"1922","1931","1.003","45000","0.13","false","1.6875","45000","0.8786710533474238","1.4827574025237777"
"1932","1941","1.003","50200","0.13","false","1.6875","50200","0.9305257605817377","1.5702622209816826"
"1942","1951","1.003","52800","0.13","false","1.6875","52800","0.9128529895743256","1.5404394199066744"
"1952","1961","1.003","55900","0.13","false","1.6875","55900","0.9039416924752359","1.5254016060519606"
"1962","1971","1.003","56300","0.13","false","1.6875","56300","0.8888488987029357","1.499932516561204"
"1972","1981","1.003","57400","0.13","false","1.6875","57400","0.8907600944424541","1.5031576593716411"
"1982","1991","1.003","59300","0.13","false","1.6875","59300","0.8918992058018496","1.5050799097906211"
"1992","2001","1.003","63200","0.13","false","1.6875","63200","0.9071052846699356","1.5307401678805164"
"2002","2011","1.003","65600","0.13","false","1.6875","65600","0.8950818100309499","1.510450554427228"
"2012","2015","1.003","66270","0.13","false","1.6875","66270","0.889009784301493","1.5002040110087695"
