Start Year,End Year,Kill Constant,Environment Capacity,Breeding Probability,Disease,Fitness Factor,Expected Max Population,Avg Capacity Factor,Avg Capacity Fitness
-50,0,1.066,1400000,0.6,false,6.25,1400000,1.6608403034873618,10.380251896796011
1,43,1.066,2000000,0.6,false,6.25,2000000,0.9224489980303934,5.765306237689958
44,200,1.066,4400000,0.6,false,6.25,4400000,0.9331740154221332,5.832337596388332
201,410,1.066,3000000,0.6,false,6.25,3000000,0.8936011135076559,5.5850069594228495
411,430,1.066,1200000,0.6,false,6.25,1200000,0.9330357142857144,5.831473214285715
431,500,1.066,1200000,0.6,false,6.25,1200000,1.1558843537414971,7.224277210884357
501,750,1.066,1200000,0.6,false,6.933593,1200000,2.779718614718625,19.273437528982754
751,950,1.066,1400000,0.6,false,6.933593,1400000,0.8825151515151505,6.119000876939387
951,1066,1.066,1400000,0.6,false,6.933593,1400000,0.8790273423894114,6.094817827999826
1067,1086,1.066,2000000,0.6,false,6.933593,2000000,0.8784146409146407,6.0905696053432665
1087,1190,1.066,3600000,0.6,false,6.933593,3600000,0.834799567433767,5.788160437161795
1191,1220,1.066,4800000,0.6,false,6.933593,4800000,0.8165103588572831,5.661350508600346
1221,1250,1.066,5000000,0.6,false,5.200194,5000000,3.4697500185705645,18.043373228070536
1251,1279,1.066,5200000,0.6,false,5.200194,5200000,1.0766929017453752,5.59901196749889
1280,1290,1.066,5600000,0.6,false,5.200194,5600000,1.1066532432731153,5.754811555749394
1291,1315,1.066,5600000,0.6,false,5.200194,5600000,1.0532938009627666,5.477332104003773
1316,1325,1.066,5000000,0.6,false,5.200194,5000000,1.0273452871466364,5.342394798148216
1326,1348,1.066,5600000,0.6,false,5.200194,5600000,1.0598594526833633,5.51147476668731
1349,1351,1.066,3000000,0.6,true,5.200194,3000000,0.9142857142857143,4.754463085714286
1352,1377,1.066,3000000,0.6,false,5.200194,3000000,1.0977574461737358,5.708551685047984
1378,1400,1.066,2400000,0.6,false,5.200194,2400000,1.1897841289145634,6.187108288476739
1401,1430,1.066,2400000,0.6,false,6.600187,2400000,3.634106299542428,23.98578115485804
1431,1450,1.066,2200000,0.6,false,4.95014,2200000,3.69667963980464,18.29908175218254
1451,1490,1.066,2600000,0.6,false,4.95014,2600000,1.349628427128427,6.680849662265511
1491,1522,1.066,2800000,0.6,false,4.95014,2800000,1.156707094988345,5.725862059185606
1523,1541,1.066,3400000,0.6,false,4.95014,3400000,1.1093856435961695,5.491614249791143
1542,1560,1.066,3800000,0.6,false,4.95014,3800000,1.1619453044375645,5.751791929308566
1561,1600,1.066,5000000,0.6,false,4.95014,5000000,1.1637330375947614,5.760641458719332
1601,1650,1.066,6200000,0.6,false,4.95014,6200000,1.1789172439108915,5.83580540577306
1651,1700,1.066,6200000,0.6,false,4.95014,6200000,1.1288347115209187,5.587889858888161
1701,1801,1.066,11200000,0.6,false,4.95014,11200000,1.1562996288151284,5.723845044582919
1802,1811,1.066,12400000,0.6,false,4.95014,12400000,1.096545963824087,5.428056037364167
1812,1821,1.066,13400000,0.6,false,4.95014,13400000,1.1535830257619328,5.710397479145175
1822,1831,1.066,15800000,0.6,false,4.95014,15800000,1.119420572412983,5.541288552324405
1832,1841,1.066,20200000,0.6,false,4.95014,20200000,1.1828158293770292,5.855103949632408
1842,1851,1.066,27400000,0.6,false,4.95014,27400000,1.1619344738324344,5.751738316296887
1852,1861,1.066,29000000,0.6,false,4.95014,29000000,1.0995638952339095,5.442995220353185
1862,1871,1.066,31400000,0.6,false,4.95014,31400000,1.1124117425899045,5.50659386346399
1872,1881,1.066,35000000,0.6,false,4.95014,35000000,1.103317511413189,5.461576145946884
1882,1891,1.066,37800000,0.6,false,4.95014,37800000,1.1100152993932917,5.494731134138709
1892,1901,1.066,38200000,0.6,false,4.95014,38200000,1.104606697856575,5.467957799327746
1902,1911,1.003,42000000,0.13,false,4.95014,42000000,1.2125962893762863,6.00252139589313
1912,1921,1.003,44000000,0.13,false,4.95014,44000000,1.0965324016964137,5.427988902933485
1922,1931,1.003,45000000,0.13,false,4.95014,45000000,1.1071668761812894,5.4806310404600485
1932,1941,1.003,50200000,0.13,false,4.95014,50200000,1.1951408384205064,5.916114469898886
1942,1951,1.003,52800000,0.13,false,4.95014,52800000,1.206133465154901,5.970529511201882
1952,1961,1.003,55800000,0.13,false,4.95014,55800000,1.214105667785629,6.009993030332354
1962,1971,1.003,56200000,0.13,false,4.95014,56200000,1.122387147941478,5.555973516511028
1972,1981,1.003,57400000,0.13,false,4.95014,57400000,1.139011122222013,5.638264516556076
1982,1991,1.003,59200000,0.13,false,4.95014,59200000,1.1421505584505622,5.653805165408467
1992,2001,1.003,63200000,0.13,false,4.95014,63200000,1.1362779622053598,5.62473499183124
2002,2011,1.003,65600000,0.13,false,4.95014,65600000,1.1449331443589232,5.667579355216881
2012,2015,1.003,66200000,0.13,false,4.95014,66200000,1.132751982234296,5.607280897337278
