"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.55","false","4.0","15","90","41","1.3538811246423705","5.415524498569482","150.0"
"1","43","20","0.55","false","4.0","20","90","41","1.3327919686332819","5.3311678745331275","150.0"
"44","200","45","0.55","false","4.0","45","90","41","1.305259117711168","5.221036470844672","150.0"
"201","410","30","0.55","false","4.0","30","90","41","1.2863404380019527","5.145361752007811","150.0"
"411","430","12","0.55","false","5.0","12","90","41","3.1732209575037125","15.866104787518562","150.0"
"431","500","13","0.55","false","5.0","13","90","41","1.0798344512630236","5.399172256315118","150.0"
"501","750","13","0.55","false","5.0","13","90","41","1.0688683261183278","5.344341630591639","150.0"
"751","950","14","0.55","false","5.0","14","90","41","1.0757505329637689","5.378752664818844","150.0"
"951","1066","15","0.55","false","5.0","15","90","41","1.0616347986023453","5.308173993011726","150.0"
"1067","1086","20","0.55","false","5.0","20","90","41","1.1040680816861157","5.520340408430578","150.0"
"1087","1190","37","0.55","false","5.0","37","90","41","1.0448346774041561","5.22417338702078","150.0"
"1191","1220","48","0.55","false","5.0","48","90","41","1.0509955493816066","5.2549777469080325","150.0"
"1221","1250","50","0.55","false","5.0","50","90","41","1.0431942251821174","5.2159711259105865","150.0"
"1251","1279","53","0.55","false","5.0","53","90","41","1.0538529658700533","5.269264829350266","150.0"
"1280","1290","57","0.55","false","5.0","57","90","41","1.0321618806211885","5.160809403105943","150.0"
"1291","1315","56","0.55","false","5.0","56","90","41","1.0593673283246403","5.296836641623202","150.0"
"1316","1325","50","0.55","false","5.0","50","90","41","1.0459291954808045","5.229645977404022","150.0"
"1326","1348","57","0.55","false","5.0","57","90","41","1.018462446018644","5.09231223009322","150.0"
"1349","1351","30","0.55","true","5.0","30","90","41","0.8359098228663445","4.1795491143317225","150.0"
"1352","1377","30","0.55","false","5.0","30","90","41","1.028755883319434","5.1437794165971695","150.0"
"1378","1400","25","0.55","false","5.0","25","90","41","1.0269228880308823","5.134614440154412","150.0"
"1401","1430","24","0.55","false","5.0","24","90","41","1.0300053207661901","5.15002660383095","150.0"
"1431","1450","23","0.55","false","5.0","23","90","41","1.038202641561337","5.1910132078066855","150.0"
"1451","1490","26","0.55","false","5.0","26","90","41","1.0618073594555284","5.309036797277642","150.0"
"1491","1522","28","0.55","false","5.0","28","90","41","1.059444631732863","5.297223158664314","150.0"
"1523","1541","34","0.55","false","5.0","34","90","41","1.0879370765670948","5.439685382835474","150.0"
"1542","1560","38","0.55","false","5.0","38","90","41","1.0318850563800017","5.159425281900009","150.0"
"1561","1600","50","0.55","false","5.0","50","90","41","1.045569119642607","5.227845598213035","150.0"
"1601","1650","63","0.55","false","5.0","63","90","41","1.0233781984267745","5.1168909921338726","150.0"
"1651","1700","62","0.55","false","5.0","62","90","41","1.0369260565434313","5.184630282717157","150.0"
"1701","1801","113","0.28","false","5.0","113","90","41","1.0653582988476666","5.326791494238333","150.0"
"1802","1811","125","0.28","false","5.0","125","90","41","1.0709884643312115","5.354942321656058","150.0"
"1812","1821","134","0.28","false","5.0","134","90","41","1.0714364429315206","5.357182214657604","150.0"
"1822","1831","158","0.26","false","5.0","158","90","41","1.082967130999642","5.41483565499821","150.0"
"1832","1841","202","0.25","false","5.0","202","90","41","1.0800828399654532","5.4004141998272654","150.0"
"1842","1851","274","0.22","false","5.0","274","90","41","1.1109781915890777","5.554890957945389","150.0"
"1852","1861","290","0.25","false","5.0","290","90","41","1.0716808236286206","5.358404118143103","150.0"
"1862","1871","315","0.22","false","5.0","315","90","41","1.0882250943483815","5.441125471741907","150.0"
"1872","1881","350","0.21","false","5.0","350","90","41","1.0758918989808381","5.379459494904191","150.0"
"1882","1891","378","0.19","false","5.0","378","90","41","1.082672260511981","5.413361302559904","150.0"
"1892","1901","382","0.18","false","5.0","382","90","41","1.073669835879596","5.368349179397979","150.0"
"1902","1911","421","0.13","false","5.0","421","90","41","1.0956554488087353","5.478277244043676","150.0"
"1912","1921","440","0.14","false","5.0","440","90","41","1.0800489829441957","5.400244914720979","150.0"
"1922","1931","450","0.12","false","5.0","450","90","41","1.090089964953766","5.45044982476883","150.0"
"1932","1941","502","0.07","false","5.0","502","90","41","1.1041020334228424","5.520510167114212","150.0"
"1942","1951","528","0.08","false","5.0","528","90","41","1.0981704550120055","5.4908522750600275","150.0"
"1952","1961","559","0.09","false","5.0","559","90","41","1.0998702781361693","5.499351390680847","150.0"
"1962","1971","563","0.1","false","5.0","563","90","41","1.0964588114382392","5.482294057191196","150.0"
"1972","1981","574","0.07","false","5.0","574","90","41","1.1052764524818794","5.526382262409397","150.0"
"1982","1991","593","0.1","false","5.0","593","90","41","1.1104835005368414","5.552417502684207","150.0"
"1992","2001","632","0.09","false","5.0","632","90","41","1.1144966377529295","5.5724831887646475","150.0"
"2002","2011","656","0.09","false","5.0","656","90","41","1.1502043501949704","5.751021750974852","150.0"
"2012","2015","662","0.09","false","5.0","662","90","41","1.1746964600824197","5.873482300412098","150.0"
