"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.5","1500","90","41","4.305776146223939","6.458664219335908","0.00375","false","true"
"-50","0","1500","0.35","false","1.5","1500","90","41","1.8681106657610154","2.802165998641523","0.00375","false","true"
"1","43","2000","0.35","false","1.5","2000","90","41","1.8833123090557293","2.824968463583594","0.00375","false","true"
"44","200","4500","0.35","false","1.5","4500","90","41","1.8788181256537289","2.818227188480593","0.00375","false","true"
"201","410","3000","0.35","false","1.5","3000","90","41","1.8654568041359636","2.7981852062039456","0.00375","false","true"
"411","430","1250","0.35","false","1.5","1250","90","41","1.7839935107534792","2.675990266130219","0.00375","false","true"
"431","500","1300","0.35","false","1.5","1300","90","41","1.8560520568931569","2.7840780853397353","0.00375","false","true"
"501","750","1300","0.35","false","1.5","1300","90","41","1.819474533236213","2.7292117998543195","0.00375","false","true"
"751","950","1400","0.35","false","1.5","1400","90","41","1.8126610039001532","2.7189915058502296","0.00375","false","true"
"951","1066","1500","0.35","false","1.5","1500","90","41","1.8141215501280563","2.7211823251920846","0.00375","false","true"
"1067","1086","2000","0.35","false","1.5","2000","90","41","1.8395949903146733","2.75939248547201","0.00375","false","true"
"1087","1190","3700","0.35","false","1.5","3700","90","41","1.823642504716666","2.735463757074999","0.00375","false","true"
"1191","1220","4800","0.35","false","1.5","4800","90","41","1.8292613108683828","2.7438919663025745","0.00375","false","true"
"1221","1250","5000","0.35","false","1.5","5000","90","41","1.8155172718932675","2.723275907839901","0.00375","false","true"
"1251","1279","5300","0.35","false","1.5","5300","90","41","1.8155626971722705","2.723344045758406","0.00375","false","true"
"1280","1290","5700","0.35","false","1.5","5700","90","41","1.8269254503032017","2.7403881754548025","0.00375","false","true"
"1291","1315","5600","0.35","false","1.5","5600","90","41","1.8109678692844036","2.7164518039266055","0.00375","false","true"
"1316","1325","5000","0.35","false","1.5","5000","90","41","1.792849352967793","2.6892740294516893","0.00375","false","true"
"1326","1348","5700","0.35","false","1.5","5700","90","41","1.8224782514822093","2.733717377223314","0.00375","false","true"
"1349","1351","3000","0.35","true","1.5","3000","90","41","1.484697139613269","2.2270457094199037","0.00375","false","true"
"1352","1377","3000","0.35","false","1.5","3000","90","41","1.8140964719514976","2.7211447079272464","0.00375","false","true"
"1378","1400","2500","0.35","false","1.5","2500","90","41","1.7977880952883813","2.696682142932572","0.00375","false","true"
"1401","1430","2400","0.35","false","1.5","2400","90","41","1.808916655677375","2.7133749835160623","0.00375","false","true"
"1431","1450","2300","0.35","false","1.5","2300","90","41","1.809274562499257","2.7139118437488854","0.00375","false","true"
"1451","1490","2600","0.35","false","1.5","2600","90","41","1.8185787442596477","2.7278681163894714","0.00375","false","true"
"1491","1522","2800","0.35","false","1.5","2800","90","41","1.8152918510496232","2.722937776574435","0.00375","false","true"
"1523","1541","3400","0.35","false","1.5","3400","90","41","1.8289489640015546","2.743423446002332","0.00375","false","true"
"1542","1560","3800","0.35","false","1.5","3800","90","41","1.8246661439975425","2.7369992159963137","0.00375","false","true"
"1561","1600","5000","0.31","false","1.5","5000","90","41","1.8317966105253791","2.7476949157880686","0.00375","false","true"
"1601","1650","6300","0.29","false","1.5","6300","90","41","1.8342403670391345","2.7513605505587018","0.00375","false","true"
"1651","1700","6200","0.26","false","1.5","6200","90","41","1.8316497989675233","2.747474698451285","0.00375","false","true"
"1701","1801","11300","0.25","false","1.5","11300","90","41","1.8471831113130113","2.770774666969517","0.00375","false","true"
"1802","1811","12500","0.28","false","1.5","12500","90","41","1.8497784467785139","2.774667670167771","0.00375","false","true"
"1812","1821","13400","0.28","false","1.5","13400","90","41","1.842699698413864","2.764049547620796","0.00375","false","true"
"1822","1831","15800","0.26","false","1.5","15800","90","41","1.8644463775562385","2.7966695663343577","0.00375","false","true"
"1832","1841","20200","0.25","false","1.5","20200","90","41","1.881290555032479","2.8219358325487187","0.00375","false","true"
"1842","1851","27400","0.22","false","1.5","27400","90","41","1.8997805076876308","2.8496707615314465","0.00375","false","true"
"1852","1861","29000","0.25","false","1.5","29000","90","41","1.8451457603263883","2.7677186404895826","0.00375","false","true"
"1862","1871","31500","0.22","false","1.5","31500","90","41","1.8606458436717879","2.7909687655076816","0.00375","false","true"
"1872","1881","35000","0.21","false","1.5","35000","90","41","1.864795329741342","2.797192994612013","0.00375","false","true"
