"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","1.25","1500","3.624651917895534","4.530814897369417","0.2"
"1","43","1.066","2000","0.6","false","1.09375","2000","4.918602729707868","5.379721735617981","0.2"
"44","200","1.066","4500","0.6","false","1.09375","4500","0.9694525132904058","1.0603386864113813","0.2"
"201","410","1.066","3000","0.6","false","1.09375","3000","0.9395217341542874","1.027601896731252","0.2"
"411","430","1.066","1250","0.6","false","1.09375","1250","0.8957618746258287","0.9797395503720001","0.2"
"431","500","1.066","1300","0.6","false","1.09375","1300","0.9378419624592755","1.0257646464398327","0.2"
"501","750","1.066","1300","0.6","false","1.09375","1300","0.9342019147554936","1.0217833442638211","0.2"
"751","950","1.066","1400","0.6","false","1.09375","1400","0.9335903562148062","1.0211144521099442","0.2"
"951","1066","1.066","1500","0.6","false","1.09375","1500","0.9320566412264383","1.0194369513414168","0.2"
"1067","1086","1.066","2000","0.6","false","1.09375","2000","0.9460559958486978","1.0347487454595132","0.2"
"1087","1190","1.066","3700","0.6","false","1.09375","3700","0.9366031893557868","1.0244097383578918","0.2"
"1191","1220","1.066","4800","0.6","false","1.09375","4800","0.9417178442188379","1.030003892114354","0.2"
"1221","1250","1.066","5000","0.6","false","1.09375","5000","0.9315732482474066","1.018908240270601","0.2"
"1251","1279","1.066","5300","0.6","false","1.09375","5300","0.9335523023596606","1.0210728307058787","0.2"
"1280","1290","1.066","5700","0.6","false","1.09375","5700","0.9383953729957555","1.0263699392141075","0.2"
"1291","1315","1.066","5600","0.6","false","1.09375","5600","0.930389927873721","1.0176139836118823","0.2"
"1316","1325","1.066","5000","0.6","false","1.09375","5000","0.9204069797891851","1.0066951341444212","0.2"
"1326","1348","1.066","5700","0.6","false","1.09375","5700","0.9362020384011805","1.0239709795012912","0.2"
"1349","1351","1.066","3000","0.6","true","1.09375","3000","0.7610065604775403","0.8323509255223097","0.2"
"1352","1377","1.066","3000","0.6","false","1.09375","3000","0.9321749311533671","1.0195663309489953","0.2"
"1378","1400","1.066","2500","0.6","false","1.09375","2500","0.923146959323837","1.0096919867604466","0.2"
"1401","1430","1.066","2400","0.6","false","1.09375","2400","0.9301873261068871","1.0173923879294078","0.2"
"1431","1450","1.066","2300","0.6","false","1.09375","2300","0.930496205560593","1.0177302248318987","0.2"
"1451","1490","1.066","2600","0.6","false","1.09375","2600","0.9335780249421406","1.0211009647804663","0.2"
"1491","1522","1.066","2800","0.6","false","1.09375","2800","0.9331172099380662","1.02059694836976","0.2"
"1523","1541","1.066","3400","0.6","false","1.09375","3400","0.9399685916778729","1.0280906471476736","0.2"
"1542","1560","1.066","3800","0.6","false","1.09375","3800","0.93814011539303","1.0260907512111266","0.2"
"1561","1600","1.066","5000","0.6","false","1.09375","5000","0.9375577140255658","1.0254537497154625","0.2"
"1601","1650","1.066","6300","0.6","false","1.09375","6300","0.9357035334261145","1.0234257396848128","0.2"
"1651","1700","1.066","6200","0.6","false","1.09375","6200","0.9301198031964744","1.0173185347461438","0.2"
"1701","1801","1.066","11300","0.6","false","1.09375","11300","0.9361544868208603","1.023918969960316","0.2"
"1802","1811","1.066","12500","0.6","false","1.09375","12500","0.9402951056764228","1.0284477718335874","0.2"
"1812","1821","1.066","13400","0.6","false","1.09375","13400","0.9366696071291674","1.024482382797527","0.2"
"1822","1831","1.066","15800","0.6","false","1.09375","15800","0.9466767910114248","1.035427740168746","0.2"
"1832","1841","1.066","20200","0.6","false","1.09375","20200","0.953274949991225","1.0426444765529024","0.2"
"1842","1851","1.066","27400","0.6","false","1.09375","27400","0.9587056146745587","1.0485842660502986","0.2"
"1852","1861","1.066","29000","0.6","false","1.09375","29000","0.9363222707469687","1.024102483629497","0.2"
"1862","1871","1.066","31500","0.6","false","1.09375","31500","0.9375020282722868","1.0253928434228137","0.2"
"1872","1881","1.066","35000","0.6","false","1.09375","35000","0.9401767110825995","1.0283182777465931","0.2"
"1882","1891","1.066","37800","0.6","false","1.09375","37800","0.9375475166770414","1.025442596365514","0.2"
"1892","1901","1.066","38200","0.6","false","1.09375","38200","0.9315479320012171","1.0188805506263312","0.2"
"1902","1911","1.066","42100","0.6","false","1.09375","42100","0.9391423603277781","1.0271869566085072","0.2"
"1912","1921","1.066","44000","0.6","false","1.09375","44000","0.9339620887804326","1.021521034603598","0.2"
"1922","1931","1.066","45000","0.6","false","1.09375","45000","0.9321228772422474","1.0195093969837081","0.2"
"1932","1941","1.066","50200","0.6","false","1.09375","50200","0.9406566500333813","1.0288432109740109","0.2"
"1942","1951","1.066","52800","0.6","false","1.09375","52800","0.9341465545570209","1.0217227940467417","0.2"
"1952","1961","1.066","55900","0.6","false","1.09375","55900","0.9358761587517328","1.0236145486347077","0.2"
"1962","1971","1.066","56300","0.6","false","1.09375","56300","0.9311353806908442","1.018429322630611","0.2"
"1972","1981","1.066","57400","0.6","false","1.09375","57400","0.932322773507134","1.0197280335234278","0.2"
"1982","1991","1.066","59300","0.6","false","1.09375","59300","0.9331382235953539","1.0206199320574183","0.2"
"1992","2001","1.066","63200","0.6","false","1.09375","63200","0.9360128818866469","1.02376408956352","0.2"
"2002","2011","1.066","65600","0.6","false","1.09375","65600","0.9336483337703376","1.0211778650613068","0.2"
"2012","2015","1.066","66270","0.6","false","1.09375","66270","0.9320671448255279","1.019448439652921","0.2"
