"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","1.0","1500","1.0042097567785375","1.0042097567785375"
"1","43","1.066","2000","0.6","false","1.0","2000","1.0139111232224436","1.0139111232224436"
"44","200","1.066","4500","0.6","false","1.0","4500","1.0339223442696899","1.0339223442696899"
"201","410","1.066","3000","0.6","false","1.0","3000","0.9885335137965724","0.9885335137965724"
"411","430","1.066","1250","0.6","false","1.0","1250","0.9609834003035493","0.9609834003035493"
"431","500","1.066","1300","0.6","false","1.0","1300","0.9910169768405523","0.9910169768405523"
"501","750","1.066","1300","0.6","false","1.0","1300","0.9904589519659202","0.9904589519659202"
"751","950","1.066","1400","0.6","false","1.0","1400","0.990816866561902","0.990816866561902"
"951","1066","1.066","1500","0.6","false","1.0","1500","0.9909994865405839","0.9909994865405839"
"1067","1086","1.066","2000","0.6","false","1.0","2000","1.031447850820817","1.031447850820817"
"1087","1190","1.066","3700","0.6","false","1.0","3700","1.023609451181006","1.023609451181006"
"1191","1220","1.066","4800","0.6","false","1.0","4800","1.0109617662624444","1.0109617662624444"
"1221","1250","1.066","5000","0.6","false","1.0","5000","0.9905521298548661","0.9905521298548661"
"1251","1279","1.066","5300","0.6","false","1.0","5300","0.9919122490127377","0.9919122490127377"
"1280","1290","1.066","5700","0.6","false","1.0","5700","0.9970145358875423","0.9970145358875423"
"1291","1315","1.066","5600","0.6","false","1.0","5600","0.9902516339821413","0.9902516339821413"
"1316","1325","1.066","5000","0.6","false","1.0","5000","0.9794697285905137","0.9794697285905137"
"1326","1348","1.066","5700","0.6","false","1.0","5700","0.9990865878046449","0.9990865878046449"
"1349","1351","1.066","3000","0.6","true","1.0","3000","0.8345738343005019","0.8345738343005019"
"1352","1377","1.066","3000","0.6","false","1.0","3000","0.9891624707943172","0.9891624707943172"
"1378","1400","1.066","2500","0.6","false","1.0","2500","0.983255238606255","0.983255238606255"
"1401","1430","1.066","2400","0.6","false","1.0","2400","0.9899935622335405","0.9899935622335405"
"1431","1450","1.066","2300","0.6","false","1.0","2300","0.987369358760094","0.987369358760094"
"1451","1490","1.066","2600","0.6","false","1.0","2600","0.995385351904823","0.995385351904823"
"1491","1522","1.066","2800","0.6","false","1.0","2800","0.99429103816036","0.99429103816036"
"1523","1541","1.066","3400","0.6","false","1.0","3400","1.0111651732285378","1.0111651732285378"
"1542","1560","1.066","3800","0.6","false","1.0","3800","0.9985241998519074","0.9985241998519074"
"1561","1600","1.066","5000","0.6","false","1.0","5000","1.0088281478382803","1.0088281478382803"
"1601","1650","1.066","6300","0.6","false","1.0","6300","1.0001178242158624","1.0001178242158624"
"1651","1700","1.066","6200","0.6","false","1.0","6200","0.9898857195275891","0.9898857195275891"
"1701","1801","1.066","11300","0.6","false","1.0","11300","1.023590219019862","1.023590219019862"
"1802","1811","1.066","12500","0.6","false","1.0","12500","1.0037601278072594","1.0037601278072594"
"1812","1821","1.066","13400","0.6","false","1.0","13400","0.9973141849281986","0.9973141849281986"
"1822","1831","1.066","15800","0.6","false","1.0","15800","1.0201838557433633","1.0201838557433633"
"1832","1841","1.066","20200","0.6","false","1.0","20200","1.0450732830044314","1.0450732830044314"
"1842","1851","1.066","27400","0.6","false","1.0","27400","1.078442984692167","1.078442984692167"
"1852","1861","1.066","29000","0.6","false","1.0","29000","0.9964325230872291","0.9964325230872291"
"1862","1871","1.066","31500","0.6","false","1.0","31500","0.9997616403342604","0.9997616403342604"
"1872","1881","1.066","35000","0.6","false","1.0","35000","1.0042900577072527","1.0042900577072527"
"1882","1891","1.066","37800","0.6","false","1.0","37800","0.9977593229184365","0.9977593229184365"
"1892","1901","1.066","38200","0.6","false","1.0","38200","0.9909927598235211","0.9909927598235211"
"1902","1911","1.003","42100","0.13","false","1.0","42100","1.0207151097075737","1.0207151097075737"
"1912","1921","1.003","44000","0.13","false","1.0","44000","0.9819600400252156","0.9819600400252156"
"1922","1931","1.003","45000","0.13","false","1.0","45000","0.9831930859130973","0.9831930859130973"
"1932","1941","1.003","50200","0.13","false","1.0","50200","1.0381595035227495","1.0381595035227495"
"1942","1951","1.003","52800","0.13","false","1.0","52800","1.0229569813663073","1.0229569813663073"
"1952","1961","1.003","55900","0.13","false","1.0","55900","1.0117487126692373","1.0117487126692373"
"1962","1971","1.003","56300","0.13","false","1.0","56300","0.9942988538015467","0.9942988538015467"
"1972","1981","1.003","57400","0.13","false","1.0","57400","0.9965441245917411","0.9965441245917411"
"1982","1991","1.003","59300","0.13","false","1.0","59300","0.9984869790111262","0.9984869790111262"
"1992","2001","1.003","63200","0.13","false","1.0","63200","1.0162520798667292","1.0162520798667292"
"2002","2011","1.003","65600","0.13","false","1.0","65600","1.0012468761359696","1.0012468761359696"
"2012","2015","1.003","66270","0.13","false","1.0","66270","0.9951244031418793","0.9951244031418793"
