"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","150","0.6","false","1.0","150","1.0091370192360682","1.0091370192360682"
"1","43","1.066","200","0.6","false","1.0","200","1.0138263016412965","1.0138263016412965"
"44","200","1.066","450","0.6","false","1.0","450","1.0338117878265276","1.0338117878265276"
"201","410","1.066","300","0.6","false","1.0","300","0.9877348547762963","0.9877348547762963"
"411","430","1.066","125","0.6","false","1.0","125","0.9662214087424363","0.9662214087424363"
"431","500","1.066","130","0.6","false","1.0","130","0.9964788158787365","0.9964788158787365"
"501","750","1.066","130","0.6","false","1.0","130","0.9904065351618899","0.9904065351618899"
"751","950","1.066","140","0.6","false","1.0","140","0.9939458713307259","0.9939458713307259"
"951","1066","1.066","150","0.6","false","1.0","150","0.9908941352884397","0.9908941352884397"
"1067","1086","1.066","200","0.6","false","1.0","200","1.025992412561763","1.025992412561763"
"1087","1190","1.066","370","0.6","false","1.0","370","1.0188795276082725","1.0188795276082725"
"1191","1220","1.066","480","0.6","false","1.0","480","1.0075552302012782","1.0075552302012782"
"1221","1250","1.066","500","0.6","false","1.0","500","0.9920585626600297","0.9920585626600297"
"1251","1279","1.066","530","0.6","false","1.0","530","0.9956823364764119","0.9956823364764119"
"1280","1290","1.066","570","0.6","false","1.0","570","0.9988474941365856","0.9988474941365856"
"1291","1315","1.066","560","0.6","false","1.0","560","0.9904245391753554","0.9904245391753554"
"1316","1325","1.066","500","0.6","false","1.0","500","0.9774006351184836","0.9774006351184836"
"1326","1348","1.066","570","0.6","false","1.0","570","0.9950136297351655","0.9950136297351655"
"1349","1351","1.066","300","0.6","true","1.0","300","0.8371058765795608","0.8371058765795608"
"1352","1377","1.066","300","0.6","false","1.0","300","0.9916426467234855","0.9916426467234855"
"1378","1400","1.066","250","0.6","false","1.0","250","0.9890027114677258","0.9890027114677258"
"1401","1430","1.066","240","0.6","false","1.0","240","0.9864152479670231","0.9864152479670231"
"1431","1450","1.066","230","0.6","false","1.0","230","0.9899414478902818","0.9899414478902818"
"1451","1490","1.066","260","0.6","false","1.0","260","0.9928643291855618","0.9928643291855618"
"1491","1522","1.066","280","0.6","false","1.0","280","0.991640513623762","0.991640513623762"
"1523","1541","1.066","340","0.6","false","1.0","340","1.0159761227430155","1.0159761227430155"
"1542","1560","1.066","380","0.6","false","1.0","380","1.0014288072776534","1.0014288072776534"
"1561","1600","1.066","500","0.6","false","1.0","500","1.010766535184316","1.010766535184316"
"1601","1650","1.066","630","0.6","false","1.0","630","1.0048041504162801","1.0048041504162801"
"1651","1700","1.066","620","0.6","false","1.0","620","0.9903619194036263","0.9903619194036263"
"1701","1801","1.066","1130","0.6","false","1.0","1130","1.0244254758685845","1.0244254758685845"
"1802","1811","1.066","1250","0.6","false","1.0","1250","0.9933226984170735","0.9933226984170735"
"1812","1821","1.066","1340","0.6","false","1.0","1340","0.9985733810926918","0.9985733810926918"
"1822","1831","1.066","1580","0.6","false","1.0","1580","1.0282691486423465","1.0282691486423465"
"1832","1841","1.066","2020","0.6","false","1.0","2020","1.048349091262478","1.048349091262478"
"1842","1851","1.066","2740","0.6","false","1.0","2740","1.0793146166554988","1.0793146166554988"
"1852","1861","1.066","2900","0.6","false","1.0","2900","0.9974043404862533","0.9974043404862533"
"1862","1871","1.066","3150","0.6","false","1.0","3150","0.996414491018713","0.996414491018713"
"1872","1881","1.066","3500","0.6","false","1.0","3500","1.0066160555238528","1.0066160555238528"
"1882","1891","1.066","3780","0.6","false","1.0","3780","0.9991818736570182","0.9991818736570182"
"1892","1901","1.066","3820","0.6","false","1.0","3820","0.9924601643827137","0.9924601643827137"
"1902","1911","1.003","4210","0.13","false","1.0","4210","1.020641483702739","1.020641483702739"
"1912","1921","1.003","4400","0.13","false","1.0","4400","0.9806663123557378","0.9806663123557378"
"1922","1931","1.003","4500","0.13","false","1.0","4500","0.983600753129379","0.983600753129379"
"1932","1941","1.003","5020","0.13","false","1.0","5020","1.0475874493164392","1.0475874493164392"
"1942","1951","1.003","5280","0.13","false","1.0","5280","1.0229628030563533","1.0229628030563533"
"1952","1961","1.003","5590","0.13","false","1.0","5590","1.0124186669277897","1.0124186669277897"
"1962","1971","1.003","5630","0.13","false","1.0","5630","0.9954799772734508","0.9954799772734508"
"1972","1981","1.003","5740","0.13","false","1.0","5740","0.995822778831022","0.995822778831022"
"1982","1991","1.003","5930","0.13","false","1.0","5930","0.9983420660933234","0.9983420660933234"
"1992","2001","1.003","6320","0.13","false","1.0","6320","1.015811389383181","1.015811389383181"
"2002","2011","1.003","6560","0.13","false","1.0","6560","0.9998637542914347","0.9998637542914347"
"2012","2015","1.003","6627","0.13","false","1.0","6627","0.994040970849477","0.994040970849477"
