"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","2.0","15","90","41","1.1947647940294999","2.3895295880589997","150.0","false"
"1","43","20","0.35","false","2.0","20","90","41","1.2074702510272024","2.414940502054405","150.0","false"
"44","200","45","0.35","false","2.0","45","90","41","1.1860545363758825","2.372109072751765","150.0","false"
"201","410","30","0.35","false","2.0","30","90","41","1.142834678472216","2.285669356944432","150.0","false"
"411","430","12","0.35","false","2.0","12","90","41","1.1471840060574074","2.294368012114815","150.0","false"
"431","500","13","0.35","false","2.5","13","90","41","3.2021983023978873","8.005495755994719","150.0","false"
"501","750","13","0.35","false","2.5","13","90","41","0.9628846447669971","2.407211611917493","150.0","false"
"751","950","14","0.35","false","2.5","14","90","41","0.9373307627829689","2.3433269069574223","150.0","false"
"951","1066","15","0.35","false","2.5","15","90","41","0.9314357197344015","2.328589299336004","150.0","false"
"1067","1086","20","0.35","false","2.5","20","90","41","0.9524550625672917","2.3811376564182294","150.0","false"
"1087","1190","37","0.35","false","2.5","37","90","41","0.9401059672819081","2.35026491820477","150.0","false"
"1191","1220","48","0.35","false","2.5","48","90","41","0.9239710961972417","2.3099277404931042","150.0","false"
"1221","1250","50","0.35","false","2.5","50","90","41","0.9187789756908085","2.2969474392270213","150.0","false"
"1251","1279","53","0.35","false","2.5","53","90","41","0.9122614814011979","2.2806537035029946","150.0","false"
"1280","1290","57","0.35","false","2.5","57","90","41","0.9149552331127778","2.2873880827819444","150.0","false"
"1291","1315","56","0.35","false","2.5","56","90","41","0.917814944464138","2.2945373611603452","150.0","false"
"1316","1325","50","0.35","false","2.5","50","90","41","0.9167495775305623","2.2918739438264057","150.0","false"
"1326","1348","57","0.35","false","2.5","57","90","41","0.9197279256882358","2.2993198142205893","150.0","false"
"1349","1351","30","0.35","true","2.5","30","90","41","0.7480345496210119","1.8700863740525298","150.0","false"
"1352","1377","30","0.35","false","2.5","30","90","41","0.9365065806005088","2.341266451501272","150.0","false"
"1378","1400","25","0.35","false","2.5","25","90","41","0.9371905689912807","2.342976422478202","150.0","false"
"1401","1430","24","0.35","false","2.5","24","90","41","0.9148296547860877","2.287074136965219","150.0","false"
"1431","1450","23","0.35","false","2.5","23","90","41","0.9330692640692642","2.3326731601731603","150.0","false"
"1451","1490","26","0.35","false","2.5","26","90","41","0.9404954678144332","2.351238669536083","150.0","false"
"1491","1522","28","0.35","false","2.5","28","90","41","0.910586695416845","2.2764667385421125","150.0","false"
"1523","1541","34","0.35","false","2.5","34","90","41","0.9446223847506129","2.3615559618765323","150.0","false"
"1542","1560","38","0.35","false","2.5","38","90","41","0.9336776494705014","2.3341941236762533","150.0","false"
"1561","1600","50","0.31","false","2.5","50","90","41","0.9361139831655112","2.340284957913778","150.0","false"
"1601","1650","63","0.29","false","2.5","63","90","41","0.9247666081116774","2.3119165202791936","150.0","false"
"1651","1700","62","0.26","false","2.5","62","90","41","0.9234635540314952","2.3086588850787377","150.0","false"
"1701","1801","0","0.25","false","2.3242179999999997","113","90","41","1.0","2.3242179999999997","150.0","false"
"1802","1811","0","0.28","false","2.3242179999999997","125","90","41","1.0","2.3242179999999997","150.0","false"
"1812","1821","0","0.28","false","2.3242179999999997","134","90","41","1.0","2.3242179999999997","150.0","false"
"1822","1831","0","0.26","false","2.3242179999999997","158","90","41","1.0","2.3242179999999997","150.0","false"
"1832","1841","0","0.25","false","3.162109","202","90","41","1.0","3.162109","150.0","false"
"1842","1851","0","0.22","false","3.162109","274","90","41","1.0","3.162109","150.0","false"
"1852","1861","0","0.25","false","2.322173","290","90","41","1.0","2.322173","150.0","false"
"1862","1871","0","0.22","false","2.322173","315","90","41","1.0","2.322173","150.0","false"
"1872","1881","0","0.21","false","2.322173","350","90","41","1.0","2.322173","150.0","false"
"1882","1891","0","0.19","false","3.161086","378","90","41","1.0","3.161086","150.0","false"
"1892","1901","0","0.18","false","2.321422","382","90","41","1.0","2.321422","150.0","false"
"1902","1911","0","0.13","false","2.321422","421","90","41","1.0","2.321422","150.0","false"
"1912","1921","0","0.14","false","3.160711","440","90","41","1.0","3.160711","150.0","false"
"1922","1931","0","0.12","false","2.370533","450","90","41","1.0","2.370533","150.0","false"
"1932","1941","0","0.07","false","2.370533","502","90","41","1.0","2.370533","150.0","false"
"1942","1951","0","0.08","false","2.370533","528","90","41","1.0","2.370533","150.0","false"
"1952","1961","0","0.09","false","3.185266","559","90","41","1.0","3.185266","150.0","true"
"1962","1971","0","0.1","false","3.185266","563","90","41","1.0","3.185266","150.0","true"
"1972","1981","0","0.07","false","3.185266","574","90","41","1.0","3.185266","150.0","true"
"1982","1991","0","0.1","false","3.185266","593","90","41","1.0","3.185266","150.0","true"
"1992","2001","0","0.09","false","3.185266","632","90","41","1.0","3.185266","150.0","true"
"2002","2011","0","0.09","false","3.185266","656","90","41","1.0","3.185266","150.0","true"
"2012","2015","0","0.09","false","3.185266","662","90","41","1.0","3.185266","150.0","true"
