"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","15","0.35","false","1.5","15","90","41","4.765568581745062","7.148352872617593","150.0","false"
"1","43","20","0.35","false","1.75","20","90","41","3.6000002377603364","6.3000004160805885","150.0","false"
"44","200","45","0.35","false","1.75","45","90","41","2.2167623784735024","3.8793341623286293","150.0","false"
"201","410","30","0.35","false","1.75","30","90","41","2.1912804886346087","3.834740855110565","150.0","false"
"411","430","12","0.35","false","1.75","12","90","41","2.155485508526362","3.7720996399211337","150.0","false"
"431","500","13","0.35","false","1.75","13","90","41","2.277616193330481","3.985828338328342","150.0","false"
"501","750","13","0.35","false","1.75","13","90","41","2.315621067821069","4.05233686868687","150.0","false"
"751","950","14","0.35","false","1.875","14","90","41","3.2636701839826867","6.119381594967537","150.0","false"
"951","1066","15","0.35","false","1.875","15","90","41","2.158605474984783","4.047385265596469","150.0","false"
"1067","1086","20","0.35","false","1.875","20","90","41","2.3460559007985475","4.398854813997277","150.0","false"
"1087","1190","37","0.35","false","1.875","37","90","41","2.0819335548633897","3.9036254153688557","150.0","false"
"1191","1220","48","0.35","false","1.875","48","90","41","2.070197636199432","3.8816205678739353","150.0","false"
"1221","1250","50","0.35","false","1.875","50","90","41","2.059032372560653","3.8606856985512246","150.0","false"
"1251","1279","53","0.35","false","1.875","53","90","41","2.039454029964813","3.8239763061840244","150.0","false"
"1280","1290","57","0.35","false","1.875","57","90","41","2.059411587666947","3.8613967268755256","150.0","false"
"1291","1315","56","0.35","false","1.875","56","90","41","2.0289704481566018","3.804319590293628","150.0","false"
"1316","1325","50","0.35","false","1.875","50","90","41","2.0080390146524674","3.7650731524733763","150.0","false"
"1326","1348","57","0.35","false","1.875","57","90","41","2.038094948709926","3.821428028831111","150.0","false"
"1349","1351","30","0.35","true","1.875","30","90","41","1.6360617165284952","3.0676157184909285","150.0","false"
"1352","1377","30","0.35","false","1.875","30","90","41","2.0637434627872726","3.869518992726136","150.0","false"
"1378","1400","25","0.35","false","1.875","25","90","41","2.04482023737135","3.8340379450712816","150.0","false"
"1401","1430","24","0.35","false","1.875","24","90","41","2.064959399023616","3.87179887316928","150.0","false"
"1431","1450","23","0.35","false","1.875","23","90","41","2.0419345388910615","3.82862726042074","150.0","false"
"1451","1490","26","0.35","false","1.875","26","90","41","2.0560295555470045","3.8550554166506332","150.0","false"
"1491","1522","28","0.35","false","1.875","28","90","41","2.079094099301828","3.898301436190928","150.0","false"
"1523","1541","34","0.35","false","1.875","34","90","41","2.076236810295516","3.892944019304093","150.0","false"
"1542","1560","38","0.35","false","1.875","38","90","41","2.0661400312891693","3.8740125586671925","150.0","false"
"1561","1600","50","0.31","false","1.875","50","90","41","2.055675395698406","3.8543913669345113","150.0","false"
"1601","1650","63","0.29","false","1.875","63","90","41","2.0542795109495606","3.8517740830304263","150.0","false"
"1651","1700","62","0.26","false","1.875","62","90","41","2.0524391453417894","3.848323397515855","150.0","false"
"1701","1801","113","0.25","false","1.875","113","90","41","2.0616560459667737","3.8656050861877005","150.0","false"
"1802","1811","125","0.28","false","1.875","125","90","41","2.042990472070375","3.830607135131953","150.0","false"
"1812","1821","134","0.28","false","1.875","134","90","41","2.062656626369262","3.867481174442366","150.0","false"
"1822","1831","158","0.26","false","1.875","158","90","41","2.092020127362102","3.9225377388039413","150.0","false"
"1832","1841","202","0.25","false","1.875","202","90","41","2.1134489778985635","3.9627168335598064","150.0","false"
"1842","1851","274","0.22","false","1.875","274","90","41","2.160858706239698","4.051610074199433","150.0","false"
"1852","1861","290","0.25","false","1.875","290","90","41","2.060668332350977","3.863753123158082","150.0","false"
"1862","1871","315","0.22","false","1.875","315","90","41","2.0628204954574114","3.8677884289826463","150.0","false"
"1872","1881","350","0.21","false","1.875","350","90","41","2.0834598305589003","3.906487182297938","150.0","false"
"1882","1891","378","0.19","false","1.875","378","90","41","2.07023368398736","3.8816881574763","150.0","false"
"1892","1901","382","0.18","false","1.875","382","90","41","2.0656361789803808","3.873067835588214","150.0","false"
"1902","1911","421","0.13","false","1.875","421","90","41","2.1067713965653923","3.9501963685601105","150.0","false"
"1912","1921","440","0.14","false","1.875","440","90","41","2.081464283467442","3.902745531501454","150.0","false"
"1922","1931","450","0.12","false","1.875","450","90","41","2.0957046447195355","3.929446208849129","150.0","false"
"1932","1951","502","0.07","false","1.875","502","90","41","2.1255225211399638","3.985354727137432","150.0","false"
"1952","1961","559","0.09","false","1.875","559","90","41","2.1738252519721604","4.075922347447801","150.0","true"
"1962","1971","563","0.1","false","1.875","563","90","41","2.126822540171189","3.987792262820979","150.0","true"
"1972","1981","574","0.07","false","1.875","574","90","41","2.1736346673373568","4.075565001257544","150.0","true"
"1982","1991","593","0.1","false","1.875","593","90","41","2.1725291196130825","4.07349209927453","150.0","true"
"1992","2001","632","0.09","false","1.875","632","90","41","2.156827940557236","4.044052388544817","150.0","true"
"2002","2011","656","0.09","false","1.875","656","90","41","2.2016169667706924","4.128031812695048","150.0","true"
"2012","2015","662","0.09","false","1.875","662","90","41","2.235344089219877","4.191270167287269","150.0","true"
