"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.75","1500","90","41","4.232927528904666","7.407623175583165","0.00375","false","true"
"-50","0","1500","0.35","false","1.75","1500","90","41","1.0807698324689867","1.8913472068207269","0.00375","false","true"
"1","43","2000","0.35","false","1.75","2000","90","41","1.0874958909730579","1.9031178092028513","0.00375","false","true"
"44","200","4500","0.35","false","1.75","4500","90","41","1.086502451994812","1.901379290990921","0.00375","false","true"
"201","410","3000","0.35","false","1.75","3000","90","41","1.0784953217998667","1.8873668131497667","0.00375","false","true"
"411","430","1250","0.35","false","1.75","1250","90","41","1.0337012506947667","1.8089771887158417","0.00375","false","true"
"431","500","1300","0.35","false","1.75","1300","90","41","1.0819164293899362","1.8933537514323882","0.00375","false","true"
"501","750","1300","0.35","false","1.75","1300","90","41","1.0813182492128925","1.892306936122562","0.00375","false","true"
"751","950","1400","0.35","false","1.75","1400","90","41","1.0815277237591563","1.8926735165785236","0.00375","false","true"
"951","1066","1500","0.35","false","1.75","1500","90","41","1.0823067568112092","1.8940368244196162","0.00375","false","true"
"1067","1086","2000","0.35","false","1.75","2000","90","41","1.0975550752258305","1.9207213816452033","0.00375","false","true"
"1087","1190","3700","0.35","false","1.75","3700","90","41","1.0859036980943828","1.90033147166517","0.00375","false","true"
"1191","1220","4800","0.35","false","1.75","4800","90","41","1.0892024646090601","1.9061043130658553","0.00375","false","true"
"1221","1250","5000","0.35","false","1.75","5000","90","41","1.0820783596157697","1.893637129327597","0.00375","false","true"
"1251","1279","5300","0.35","false","1.75","5300","90","41","1.0828457684685646","1.8949800948199882","0.00375","false","true"
"1280","1290","5700","0.35","false","1.75","5700","90","41","1.0880052896597265","1.9040092569045215","0.00375","false","true"
"1291","1315","5600","0.35","false","1.75","5600","90","41","1.079068630272815","1.8883701029774262","0.00375","false","true"
"1316","1325","5000","0.35","false","1.75","5000","90","41","1.0707831083088875","1.873870439540553","0.00375","false","true"
"1326","1348","5700","0.35","false","1.75","5700","90","41","1.0872024897309653","1.9026043570291893","0.00375","false","true"
"1349","1351","3000","0.35","true","1.75","3000","90","41","0.886126289307345","1.5507210062878538","0.00375","false","true"
"1352","1377","3000","0.35","false","1.75","3000","90","41","1.0822437093749564","1.8939264914061738","0.00375","false","true"
"1378","1400","2500","0.35","false","1.75","2500","90","41","1.071497145920098","1.8751200053601713","0.00375","false","true"
"1401","1430","2400","0.35","false","1.75","2400","90","41","1.0787709103170637","1.8878490930548615","0.00375","false","true"
"1431","1450","2300","0.35","false","1.75","2300","90","41","1.0753481459928258","1.8818592554874451","0.00375","false","true"
"1451","1490","2600","0.35","false","1.75","2600","90","41","1.08436174119879","1.8976330470978826","0.00375","false","true"
"1491","1522","2800","0.35","false","1.75","2800","90","41","1.0831574089897533","1.8955254657320684","0.00375","false","true"
"1523","1541","3400","0.35","false","1.75","3400","90","41","1.091089660228486","1.9094069053998506","0.00375","false","true"
"1542","1560","3800","0.35","false","1.75","3800","90","41","1.0874123102418896","1.9029715429233067","0.00375","false","true"
"1561","1600","5000","0.31","false","1.75","5000","90","41","1.0926088405659014","1.9120654709903273","0.00375","false","true"
"1601","1650","6300","0.29","false","1.75","6300","90","41","1.0926903723128885","1.9122081515475549","0.00375","false","true"
"1651","1700","6200","0.26","false","1.75","6200","90","41","1.0927822521556712","1.9123689412724245","0.00375","false","true"
"1701","1801","11300","0.25","false","1.75","11300","90","41","1.10130125149942","1.9272771901239851","0.00375","false","true"
"1802","1811","12500","0.28","false","1.75","12500","90","41","1.1019022652747708","1.9283289642308488","0.00375","false","true"
"1812","1821","13400","0.28","false","1.75","13400","90","41","1.0988696921107821","1.9230219611938688","0.00375","false","true"
"1822","1831","15800","0.26","false","1.75","15800","90","41","1.1116030212519952","1.9453052871909915","0.00375","false","true"
"1832","1841","20200","0.25","false","1.75","20200","90","41","1.1209973285178996","1.9617453249063241","0.00375","false","true"
"1842","1851","27400","0.22","false","1.75","27400","90","41","1.1312947249489544","1.9797657686606702","0.00375","false","true"
"1852","1861","29000","0.25","false","1.75","29000","90","41","1.099614758426307","1.924325827246037","0.00375","false","true"
"1862","1871","31500","0.22","false","1.75","31500","90","41","1.108480245879845","1.939840430289729","0.00375","false","true"
"1872","1881","35000","0.21","false","1.75","35000","90","41","1.1119588259582893","1.9459279454270062","0.00375","false","true"
