"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","0.875","1500","90","41","4.248555230988662","3.717485827115079","0.0075","false"
"1","43","2000","0.35","false","0.875","2000","90","41","1.0832178058578505","0.9478155801256192","0.0075","false"
"44","200","4500","0.35","false","0.875","4500","90","41","1.085681956806989","0.9499717122061154","0.0075","false"
"201","410","3000","0.35","false","0.875","3000","90","41","1.078376869454691","0.9435797607728545","0.0075","false"
"411","430","1250","0.35","false","0.875","1250","90","41","1.0356097658260703","0.9061585450978116","0.0075","false"
"431","500","1300","0.35","false","0.875","1300","90","41","1.0811101599576922","0.9459713899629807","0.0075","false"
"501","750","1300","0.35","false","0.875","1300","90","41","1.0801266587165643","0.9451108263769938","0.0075","false"
"751","950","1400","0.35","false","0.875","1400","90","41","1.080681235266251","0.9455960808579695","0.0075","false"
"951","1066","1500","0.35","false","0.875","1500","90","41","1.0809944564820388","0.945870149421784","0.0075","false"
"1067","1086","2000","0.35","false","0.875","2000","90","41","1.0958489551665376","0.9588678357707203","0.0075","false"
"1087","1190","3700","0.35","false","0.875","3700","90","41","1.0867186761881908","0.950878841664667","0.0075","false"
"1191","1220","4800","0.35","false","0.875","4800","90","41","1.0907429348861943","0.9544000680254201","0.0075","false"
"1221","1250","5000","0.35","false","0.875","5000","90","41","1.0820263758509119","0.9467730788695479","0.0075","false"
"1251","1279","5300","0.35","false","0.875","5300","90","41","1.0830268820194537","0.9476485217670221","0.0075","false"
"1280","1290","5700","0.35","false","0.875","5700","90","41","1.0876163203112295","0.9516642802723257","0.0075","false"
"1291","1315","5600","0.35","false","0.875","5600","90","41","1.0803408793761702","0.945298269454149","0.0075","false"
"1316","1325","5000","0.35","false","0.875","5000","90","41","1.068561311742285","0.9349911477744993","0.0075","false"
"1326","1348","5700","0.35","false","0.875","5700","90","41","1.0864456341868276","0.9506399299134741","0.0075","false"
"1349","1351","3000","0.35","true","0.875","3000","90","41","0.8848295663366713","0.7742258705445874","0.0075","false"
"1352","1377","3000","0.35","false","0.875","3000","90","41","1.081073759678001","0.9459395397182508","0.0075","false"
"1378","1400","2500","0.35","false","0.875","2500","90","41","1.072258412306903","0.9382261107685401","0.0075","false"
"1401","1430","2400","0.35","false","0.875","2400","90","41","1.0793133805449064","0.9443992079767931","0.0075","false"
"1431","1450","2300","0.35","false","0.875","2300","90","41","1.0741293412096962","0.9398631735584841","0.0075","false"
"1451","1490","2600","0.35","false","0.875","2600","90","41","1.0855919663736462","0.9498929705769404","0.0075","false"
"1491","1522","2800","0.35","false","0.875","2800","90","41","1.0827310710701623","0.947389687186392","0.0075","false"
"1523","1541","3400","0.35","false","0.875","3400","90","41","1.091089361084564","0.9547031909489935","0.0075","false"
"1542","1560","3800","0.35","false","0.875","3800","90","41","1.0870372344836632","0.9511575801732053","0.0075","false"
"1561","1600","5000","0.31","false","0.875","5000","90","41","1.09201440883542","0.9555126077309926","0.0075","false"
"1601","1650","6300","0.29","false","0.875","6300","90","41","1.093178646362597","0.9565313155672723","0.0075","false"
"1651","1700","6200","0.26","false","0.875","6200","90","41","1.0915511646541043","0.9551072690723412","0.0075","false"
"1701","1801","11300","0.25","false","0.875","11300","90","41","1.1007259706120642","0.9631352242855562","0.0075","false"
"1802","1811","12500","0.28","false","0.875","12500","90","41","1.1021688401451413","0.9643977351269986","0.0075","false"
"1812","1821","13400","0.28","false","0.875","13400","90","41","1.0994402088831539","0.9620101827727596","0.0075","false"
"1822","1831","15800","0.26","false","0.875","15800","90","41","1.1124808917268907","0.9734207802610293","0.0075","false"
"1832","1841","20200","0.25","false","0.875","20200","90","41","1.120885347730177","0.9807746792639049","0.0075","false"
"1842","1851","27400","0.22","false","0.875","27400","90","41","1.1316760537055093","0.9902165469923206","0.0075","false"
"1852","1861","29000","0.25","false","0.875","29000","90","41","1.1000036859567173","0.9625032252121276","0.0075","false"
"1862","1871","31500","0.22","false","0.875","31500","90","41","1.1079629940496702","0.9694676197934615","0.0075","false"
"1872","1881","35000","0.21","false","0.875","35000","90","41","1.112866643582461","0.9737583131346534","0.0075","false"
"1882","1891","37800","0.19","false","0.875","37800","90","41","1.1116815612260926","0.9727213660728311","0.0075","false"
"1892","1901","38200","0.18","false","0.875","38200","90","41","1.1066399357795127","0.9683099438070736","0.0075","false"
"1902","1911","42100","0.13","false","0.875","42100","90","41","1.1254594695940225","0.9847770358947697","0.0075","false"
"1912","1921","44000","0.14","false","0.875","44000","90","41","1.117024860748943","0.9773967531553251","0.0075","false"
"1922","1931","45000","0.12","false","0.875","45000","90","41","1.1210371592379886","0.9809075143332401","0.0075","false"
"1932","1951","50200","0.07","false","0.875","50200","90","41","1.1354218961687996","0.9934941591476997","0.0075","false"
"1952","1961","55900","0.09","false","0.875","55900","90","41","1.1411312003863412","0.9984898003380486","0.0075","true"
"1962","1971","56300","0.1","false","0.875","56300","90","41","1.132098771253751","0.9905864248470321","0.0075","true"
"1972","1981","57400","0.07","false","0.875","57400","90","41","1.139922174173014","0.9974319024013871","0.0075","true"
"1982","1991","59300","0.1","false","0.875","59300","90","41","1.1381555772130807","0.9958861300614457","0.0075","true"
"1992","2001","63200","0.09","false","0.875","63200","90","41","1.1489920629374075","1.0053680550702315","0.0075","true"
"2002","2011","65600","0.09","false","0.875","65600","90","41","1.15908496104804","1.0141993409170351","0.0075","true"
"2012","2015","66270","0.09","false","0.875","66270","90","41","1.163964481824403","1.0184689215963527","0.0075","true"
