"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","0.875","1500","90","41","4.232927528904666","3.7038115877915825","0.00375","false","true"
"-50","0","1500","0.35","false","0.875","1500","90","41","1.0807698324689867","0.9456736034103634","0.00375","false","true"
"1","43","2000","0.35","false","0.875","2000","90","41","1.0874958909730579","0.9515589046014257","0.00375","false","true"
"44","200","4500","0.35","false","0.875","4500","90","41","1.086502451994812","0.9506896454954605","0.00375","false","true"
"201","410","3000","0.35","false","0.875","3000","90","41","1.0784953217998667","0.9436834065748834","0.00375","false","true"
"411","430","1250","0.35","false","0.875","1250","90","41","1.0337012506947667","0.9044885943579208","0.00375","false","true"
"431","500","1300","0.35","false","0.875","1300","90","41","1.0819164293899362","0.9466768757161941","0.00375","false","true"
"501","750","1300","0.35","false","0.875","1300","90","41","1.0813182492128925","0.946153468061281","0.00375","false","true"
"751","950","1400","0.35","false","0.875","1400","90","41","1.0815277237591563","0.9463367582892618","0.00375","false","true"
"951","1066","1500","0.35","false","0.875","1500","90","41","1.0823067568112092","0.9470184122098081","0.00375","false","true"
"1067","1086","2000","0.35","false","0.875","2000","90","41","1.0975550752258305","0.9603606908226017","0.00375","false","true"
"1087","1190","3700","0.35","false","0.875","3700","90","41","1.0859036980943828","0.950165735832585","0.00375","false","true"
"1191","1220","4800","0.35","false","0.875","4800","90","41","1.0892024646090601","0.9530521565329276","0.00375","false","true"
"1221","1250","5000","0.35","false","0.875","5000","90","41","1.0820783596157697","0.9468185646637985","0.00375","false","true"
"1251","1279","5300","0.35","false","0.875","5300","90","41","1.0828457684685646","0.9474900474099941","0.00375","false","true"
"1280","1290","5700","0.35","false","0.875","5700","90","41","1.0880052896597265","0.9520046284522607","0.00375","false","true"
"1291","1315","5600","0.35","false","0.875","5600","90","41","1.079068630272815","0.9441850514887131","0.00375","false","true"
"1316","1325","5000","0.35","false","0.875","5000","90","41","1.0707831083088875","0.9369352197702765","0.00375","false","true"
"1326","1348","5700","0.35","false","0.875","5700","90","41","1.0872024897309653","0.9513021785145946","0.00375","false","true"
"1349","1351","3000","0.35","true","0.875","3000","90","41","0.886126289307345","0.7753605031439269","0.00375","false","true"
"1352","1377","3000","0.35","false","0.875","3000","90","41","1.0822437093749564","0.9469632457030869","0.00375","false","true"
"1378","1400","2500","0.35","false","0.875","2500","90","41","1.071497145920098","0.9375600026800857","0.00375","false","true"
"1401","1430","2400","0.35","false","0.875","2400","90","41","1.0787709103170637","0.9439245465274307","0.00375","false","true"
"1431","1450","2300","0.35","false","0.875","2300","90","41","1.0753481459928258","0.9409296277437226","0.00375","false","true"
"1451","1490","2600","0.35","false","0.875","2600","90","41","1.08436174119879","0.9488165235489413","0.00375","false","true"
"1491","1522","2800","0.35","false","0.875","2800","90","41","1.0831574089897533","0.9477627328660342","0.00375","false","true"
"1523","1541","3400","0.35","false","0.875","3400","90","41","1.091089660228486","0.9547034526999253","0.00375","false","true"
"1542","1560","3800","0.35","false","0.875","3800","90","41","1.0874123102418896","0.9514857714616534","0.00375","false","true"
"1561","1600","5000","0.31","false","0.875","5000","90","41","1.0926088405659014","0.9560327354951637","0.00375","false","true"
"1601","1650","6300","0.29","false","0.875","6300","90","41","1.0926903723128885","0.9561040757737774","0.00375","false","true"
"1651","1700","6200","0.26","false","0.875","6200","90","41","1.0927822521556712","0.9561844706362123","0.00375","false","true"
"1701","1801","11300","0.25","false","0.875","11300","90","41","1.10130125149942","0.9636385950619926","0.00375","false","true"
"1802","1811","12500","0.28","false","0.875","12500","90","41","1.1019022652747708","0.9641644821154244","0.00375","false","true"
"1812","1821","13400","0.28","false","0.875","13400","90","41","1.0988696921107821","0.9615109805969344","0.00375","false","true"
"1822","1831","15800","0.26","false","0.875","15800","90","41","1.1116030212519952","0.9726526435954957","0.00375","false","true"
"1832","1841","20200","0.25","false","0.875","20200","90","41","1.1209973285178996","0.9808726624531621","0.00375","false","true"
"1842","1851","27400","0.22","false","0.875","27400","90","41","1.1312947249489544","0.9898828843303351","0.00375","false","true"
"1852","1861","29000","0.25","false","0.875","29000","90","41","1.099614758426307","0.9621629136230185","0.00375","false","true"
"1862","1871","31500","0.22","false","0.875","31500","90","41","1.108480245879845","0.9699202151448645","0.00375","false","true"
"1872","1881","35000","0.21","false","0.875","35000","90","41","1.1119588259582893","0.9729639727135031","0.00375","false","true"
"1882","1891","37800","0.19","false","0.875","37800","90","41","1.1113879927666699","0.9724644936708362","0.00375","false","true"
"1892","1901","38200","0.18","false","0.875","38200","90","41","1.1069135834297064","0.968549385500993","0.00375","false","true"
"1902","1911","42100","0.13","false","0.875","42100","90","41","1.125863155786218","0.9851302613129407","0.00375","false","true"
"1912","1921","44000","0.14","false","0.875","44000","90","41","1.1174416492389672","0.9777614430840963","0.00375","false","true"
"1922","1931","45000","0.12","false","0.875","45000","90","41","1.1208508861787023","0.9807445254063645","0.00375","false","true"
"1932","1951","50200","0.07","false","0.875","50200","90","41","1.1360067171696868","0.9940058775234759","0.00375","false","true"
