"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","1.999998","15","90","41","0.39215686274509803","0.7843129411764705","150.0"
"1","43","20","0.35","false","1.0","20","90","41","0.0","0.0","150.0"
"44","200","45","0.35","false","1.0","45","90","41","0.0","0.0","150.0"
"201","410","30","0.35","false","1.0","30","90","41","0.0","0.0","150.0"
"411","430","12","0.35","false","1.0","12","90","41","0.0","0.0","150.0"
"431","500","13","0.35","false","1.0","13","90","41","0.0","0.0","150.0"
"501","750","13","0.35","false","1.0","13","90","41","0.0","0.0","150.0"
"751","950","14","0.35","false","1.0","14","90","41","0.0","0.0","150.0"
"951","1066","15","0.35","false","1.0","15","90","41","0.0","0.0","150.0"
"1067","1086","20","0.35","false","1.0","20","90","41","0.0","0.0","150.0"
"1087","1190","37","0.35","false","1.0","37","90","41","0.0","0.0","150.0"
"1191","1220","48","0.35","false","1.0","48","90","41","0.0","0.0","150.0"
"1221","1250","50","0.35","false","1.0","50","90","41","0.0","0.0","150.0"
"1251","1279","53","0.35","false","1.0","53","90","41","0.0","0.0","150.0"
"1280","1290","57","0.35","false","1.0","57","90","41","0.0","0.0","150.0"
"1291","1315","56","0.35","false","1.0","56","90","41","0.0","0.0","150.0"
"1316","1325","50","0.35","false","1.0","50","90","41","0.0","0.0","150.0"
"1326","1348","57","0.35","false","1.0","57","90","41","0.0","0.0","150.0"
"1349","1351","30","0.35","true","1.0","30","90","41","0.0","0.0","150.0"
"1352","1377","30","0.35","false","1.0","30","90","41","0.0","0.0","150.0"
"1378","1400","25","0.35","false","1.0","25","90","41","0.0","0.0","150.0"
"1401","1430","24","0.35","false","1.0","24","90","41","0.0","0.0","150.0"
"1431","1450","23","0.35","false","1.0","23","90","41","0.0","0.0","150.0"
"1451","1490","26","0.35","false","1.0","26","90","41","0.0","0.0","150.0"
"1491","1522","28","0.35","false","1.0","28","90","41","0.0","0.0","150.0"
"1523","1541","34","0.35","false","1.0","34","90","41","0.0","0.0","150.0"
"1542","1560","38","0.35","false","1.0","38","90","41","0.0","0.0","150.0"
"1561","1600","50","0.31","false","1.0","50","90","41","0.0","0.0","150.0"
"1601","1650","63","0.29","false","1.0","63","90","41","0.0","0.0","150.0"
"1651","1700","62","0.26","false","1.0","62","90","41","0.0","0.0","150.0"
"1701","1801","113","0.25","false","1.0","113","90","41","0.0","0.0","150.0"
"1802","1811","125","0.28","false","1.0","125","90","41","0.0","0.0","150.0"
"1812","1821","134","0.28","false","1.0","134","90","41","0.0","0.0","150.0"
"1822","1831","158","0.26","false","1.0","158","90","41","0.0","0.0","150.0"
"1832","1841","202","0.25","false","1.0","202","90","41","0.0","0.0","150.0"
"1842","1851","274","0.22","false","1.0","274","90","41","0.0","0.0","150.0"
"1852","1861","290","0.25","false","1.0","290","90","41","0.0","0.0","150.0"
"1862","1871","315","0.22","false","1.0","315","90","41","0.0","0.0","150.0"
"1872","1881","350","0.21","false","1.0","350","90","41","0.0","0.0","150.0"
"1882","1891","378","0.19","false","1.0","378","90","41","0.0","0.0","150.0"
"1892","1901","382","0.18","false","1.0","382","90","41","0.0","0.0","150.0"
"1902","1911","421","0.13","false","1.0","421","90","41","0.0","0.0","150.0"
"1912","1921","440","0.14","false","1.0","440","90","41","0.0","0.0","150.0"
"1922","1931","450","0.12","false","1.0","450","90","41","0.0","0.0","150.0"
"1932","1941","502","0.07","false","1.0","502","90","41","0.0","0.0","150.0"
"1942","1951","528","0.08","false","1.0","528","90","41","0.0","0.0","150.0"
"1952","1961","559","0.09","false","1.0","559","90","41","0.0","0.0","150.0"
"1962","1971","563","0.1","false","1.0","563","90","41","0.0","0.0","150.0"
"1972","1981","574","0.07","false","1.0","574","90","41","0.0","0.0","150.0"
"1982","1991","593","0.1","false","1.0","593","90","41","0.0","0.0","150.0"
"1992","2001","632","0.09","false","1.0","632","90","41","0.0","0.0","150.0"
"2002","2011","656","0.09","false","1.0","656","90","41","0.0","0.0","150.0"
"2012","2015","662","0.09","false","1.0","662","90","41","0.0","0.0","150.0"
