"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.999998","1500","90","41","0.004","0.007999992","0.00375","false","true"
"-50","0","1500","0.35","false","1.0","1500","90","41","1.0","1.0","0.00375","false","true"
"1","43","2000","0.35","false","1.0","2000","90","41","1.0","1.0","0.00375","false","true"
"44","200","4500","0.35","false","1.0","4500","90","41","1.0","1.0","0.00375","false","true"
"201","410","3000","0.35","false","1.0","3000","90","41","1.0","1.0","0.00375","false","true"
"411","430","1250","0.35","false","1.0","1250","90","41","1.0","1.0","0.00375","false","true"
"431","500","1300","0.35","false","1.0","1300","90","41","1.0","1.0","0.00375","false","true"
"501","750","1300","0.35","false","1.0","1300","90","41","1.0","1.0","0.00375","false","true"
"751","950","1400","0.35","false","1.0","1400","90","41","1.0","1.0","0.00375","false","true"
"951","1066","1500","0.35","false","1.0","1500","90","41","1.0","1.0","0.00375","false","true"
"1067","1086","2000","0.35","false","1.0","2000","90","41","1.0","1.0","0.00375","false","true"
"1087","1190","3700","0.35","false","1.0","3700","90","41","1.0","1.0","0.00375","false","true"
"1191","1220","4800","0.35","false","1.0","4800","90","41","1.0","1.0","0.00375","false","true"
"1221","1250","5000","0.35","false","1.0","5000","90","41","1.0","1.0","0.00375","false","true"
"1251","1279","5300","0.35","false","1.0","5300","90","41","1.0","1.0","0.00375","false","true"
"1280","1290","5700","0.35","false","1.0","5700","90","41","1.0","1.0","0.00375","false","true"
"1291","1315","5600","0.35","false","1.0","5600","90","41","1.0","1.0","0.00375","false","true"
"1316","1325","5000","0.35","false","1.0","5000","90","41","1.0","1.0","0.00375","false","true"
"1326","1348","5700","0.35","false","1.0","5700","90","41","1.0","1.0","0.00375","false","true"
"1349","1351","3000","0.35","true","1.0","3000","90","41","1.0","1.0","0.00375","false","true"
"1352","1377","3000","0.35","false","1.0","3000","90","41","1.0","1.0","0.00375","false","true"
"1378","1400","2500","0.35","false","1.0","2500","90","41","1.0","1.0","0.00375","false","true"
"1401","1430","2400","0.35","false","1.0","2400","90","41","1.0","1.0","0.00375","false","true"
"1431","1450","2300","0.35","false","1.0","2300","90","41","1.0","1.0","0.00375","false","true"
"1451","1490","2600","0.35","false","1.0","2600","90","41","1.0","1.0","0.00375","false","true"
"1491","1522","2800","0.35","false","1.0","2800","90","41","1.0","1.0","0.00375","false","true"
"1523","1541","3400","0.35","false","1.0","3400","90","41","1.0","1.0","0.00375","false","true"
"1542","1560","3800","0.35","false","1.0","3800","90","41","1.0","1.0","0.00375","false","true"
"1561","1600","5000","0.31","false","1.0","5000","90","41","1.0","1.0","0.00375","false","true"
"1601","1650","6300","0.29","false","1.0","6300","90","41","1.0","1.0","0.00375","false","true"
"1651","1700","6200","0.26","false","1.0","6200","90","41","1.0","1.0","0.00375","false","true"
"1701","1801","11300","0.25","false","1.0","11300","90","41","1.0","1.0","0.00375","false","true"
"1802","1811","12500","0.28","false","1.0","12500","90","41","1.0","1.0","0.00375","false","true"
"1812","1821","13400","0.28","false","1.0","13400","90","41","1.0","1.0","0.00375","false","true"
"1822","1831","15800","0.26","false","1.0","15800","90","41","1.0","1.0","0.00375","false","true"
"1832","1841","20200","0.25","false","1.0","20200","90","41","1.0","1.0","0.00375","false","true"
"1842","1851","27400","0.22","false","1.0","27400","90","41","1.0","1.0","0.00375","false","true"
"1852","1861","29000","0.25","false","1.0","29000","90","41","1.0","1.0","0.00375","false","true"
"1862","1871","31500","0.22","false","1.0","31500","90","41","1.0","1.0","0.00375","false","true"
"1872","1881","35000","0.21","false","1.0","35000","90","41","1.0","1.0","0.00375","false","true"
"1882","1891","37800","0.19","false","1.0","37800","90","41","1.0","1.0","0.00375","false","true"
"1892","1901","38200","0.18","false","1.0","38200","90","41","1.0","1.0","0.00375","false","true"
"1902","1911","42100","0.13","false","1.0","42100","90","41","1.0","1.0","0.00375","false","true"
"1912","1921","44000","0.14","false","1.0","44000","90","41","1.0","1.0","0.00375","false","true"
"1922","1931","45000","0.12","false","1.0","45000","90","41","1.0","1.0","0.00375","false","true"
"1932","1951","50200","0.07","false","1.0","50200","90","41","1.0","1.0","0.00375","false","true"
"1952","1961","55900","0.09","false","1.0","55900","90","41","1.0","1.0","0.00375","false","true"
"1962","1971","56300","0.1","false","1.0","56300","90","41","1.0","1.0","0.00375","false","true"
"1972","1981","57400","0.07","false","1.0","57400","90","41","1.0","1.0","0.00375","true","true"
"1982","1991","59300","0.1","false","1.0","59300","90","41","1.0","1.0","0.00375","true","true"
"1992","2001","63200","0.09","false","1.0","63200","90","41","1.0","1.0","0.00375","true","true"
"2002","2011","65600","0.09","false","1.0","65600","90","41","1.0","1.0","0.00375","true","true"
"2012","2015","66270","0.09","false","1.0","66270","90","41","1.0","1.0","0.00375","true","true"
