"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern"
"-50","0","1500","0.35","false","2.1875","1500","90","41","6.631381545512123","14.506147130807769","0.0075","false"
"1","43","2000","0.35","false","1.640625","2000","90","41","5.323879293087516","8.734489465221706","0.0075","false"
"44","200","4500","0.35","false","1.230468","4500","90","41","5.20721446561235","6.407310769073097","0.0075","false"
"201","410","3000","0.35","false","1.230468","3000","90","41","1.9364528937369463","2.3827433192507126","0.0075","false"
"411","430","1250","0.35","false","1.230468","1250","90","41","1.7853120200253763","2.1967693106565847","0.0075","false"
"431","500","1300","0.35","false","1.230468","1300","90","41","1.853028845868002","2.2800926979175085","0.0075","false"
"501","750","1300","0.35","false","1.230468","1300","90","41","1.8284666615380145","2.2498697160893575","0.0075","false"
"751","950","1400","0.35","false","1.230468","1400","90","41","1.8124213653186205","2.2301264925408724","0.0075","false"
"951","1066","1500","0.35","false","1.230468","1500","90","41","1.8076955990517751","2.2243115883740394","0.0075","false"
"1067","1086","2000","0.35","false","1.230468","2000","90","41","1.8291678168353471","2.250732465245756","0.0075","false"
"1087","1190","3700","0.35","false","1.230468","3700","90","41","1.812905138505194","2.230721759966209","0.0075","false"
"1191","1220","4800","0.35","false","1.230468","4800","90","41","1.8153961893218131","2.2337869182824326","0.0075","false"
"1221","1250","5000","0.35","false","1.230468","5000","90","41","1.8023336117923947","2.217713834634964","0.0075","false"
"1251","1279","5300","0.35","false","1.230468","5300","90","41","1.8031701315990751","2.2187431454884505","0.0075","false"
"1280","1290","5700","0.35","false","1.230468","5700","90","41","1.809412501654566","2.22642418208589","0.0075","false"
"1291","1315","5600","0.35","false","1.230468","5600","90","41","1.79796787123191","2.2123419305789858","0.0075","false"
"1316","1325","5000","0.35","false","1.230468","5000","90","41","1.7751279410880318","2.1842381274147082","0.0075","false"
"1326","1348","5700","0.35","false","1.230468","5700","90","41","1.8090092424353301","2.2259279845209154","0.0075","false"
"1349","1351","3000","0.35","true","1.230468","3000","90","41","1.4720446643899805","1.8113038541026103","0.0075","false"
"1352","1377","3000","0.35","false","1.230468","3000","90","41","1.797797944876585","2.212132841636402","0.0075","false"
"1378","1400","2500","0.35","false","1.230468","2500","90","41","1.7819301353767236","2.192608009816726","0.0075","false"
"1401","1430","2400","0.35","false","1.230468","2400","90","41","1.7932291042291935","2.206511029422687","0.0075","false"
"1431","1450","2300","0.35","false","1.230468","2300","90","41","1.7954847673481957","2.2092865507093995","0.0075","false"
"1451","1490","2600","0.35","false","1.230468","2600","90","41","1.8006252073612021","2.2156116976513234","0.0075","false"
"1491","1522","2800","0.35","false","1.230468","2800","90","41","1.79781662584978","2.212155827976127","0.0075","false"
"1523","1541","3400","0.35","false","1.230468","3400","90","41","1.8106564587304745","2.2279548314611692","0.0075","false"
"1542","1560","3800","0.35","false","1.230468","3800","90","41","1.8036839239286493","2.219375350508637","0.0075","false"
"1561","1600","5000","0.31","false","1.230468","5000","90","41","1.8117460416589175","2.2292955283879645","0.0075","false"
"1601","1650","6300","0.29","false","1.230468","6300","90","41","1.8125233472301945","2.2302519780196426","0.0075","false"
"1651","1700","6200","0.26","false","1.230468","6200","90","41","1.810088832735063","2.2272563858378476","0.0075","false"
"1701","1801","11300","0.25","false","1.230468","11300","90","41","1.8247077751450609","2.2452445266671925","0.0075","false"
"1802","1811","12500","0.28","false","1.230468","12500","90","41","1.8255704773285935","2.2463060540975595","0.0075","false"
"1812","1821","13400","0.28","false","1.230468","13400","90","41","1.8195619436267194","2.238912745650482","0.0075","false"
"1822","1831","15800","0.26","false","1.230468","15800","90","41","1.8411330454700798","2.265455296193478","0.0075","false"
"1832","1841","20200","0.25","false","1.230468","20200","90","41","1.8585489595400435","2.286885021147318","0.0075","false"
"1842","1851","27400","0.22","false","1.230468","27400","90","41","1.8747480220577124","2.306817449205309","0.0075","false"
"1852","1861","29000","0.25","false","1.230468","29000","90","41","1.8215252032452802","2.241328473786813","0.0075","false"
"1862","1871","31500","0.22","false","1.230468","31500","90","41","1.836622734845594","2.259905503299988","0.0075","false"
"1872","1881","35000","0.21","false","1.230468","35000","90","41","1.8413821936478723","2.26576186505351","0.0075","false"
"1882","1891","37800","0.19","false","1.230468","37800","90","41","1.841448149216589","2.265843021270238","0.0075","false"
"1892","1901","38200","0.18","false","1.230468","38200","90","41","1.8329488271240666","2.2553848774136958","0.0075","false"
"1902","1911","42100","0.13","false","1.230468","42100","90","41","1.8644616810812669","2.2941604357967043","0.0075","false"
"1912","1921","44000","0.14","false","1.230468","44000","90","41","1.849888721191385","2.276228874986921","0.0075","false"
"1922","1931","45000","0.12","false","1.230468","45000","90","41","1.8561701833614959","2.283958013180453","0.0075","false"
"1932","1951","50200","0.07","false","1.230468","50200","90","41","1.880435973293001","2.313816291185892","0.0075","false"
"1952","1961","55900","0.09","false","1.230468","55900","90","41","1.8904351781003765","2.326119992726814","0.0075","true"
"1962","1971","56300","0.1","false","1.230468","56300","90","41","1.8749833874740556","2.307107058818426","0.0075","true"
"1972","1981","57400","0.07","false","1.230468","57400","90","41","1.8875967937876605","2.322627451658315","0.0075","true"
"1982","1991","59300","0.1","false","1.230468","59300","90","41","1.8850359782770536","2.3194764501186094","0.0075","true"
"1992","2001","63200","0.09","false","1.230468","63200","90","41","1.9021437062236952","2.340526961909658","0.0075","true"
"2002","2011","65600","0.09","false","1.230468","65600","90","41","1.9222094519326813","2.3652172199007024","0.0075","true"
"2012","2015","66270","0.09","false","1.230468","66270","90","41","1.929890234392528","2.374668176932505","0.0075","true"
