"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","375.0","1500","6.262097773919022","2348.286665219633","2.0E-4"
"1","43","1.066","2000","0.6","false","375.0","2000","1.1986752651829473","449.50322444360523","2.0E-4"
"44","200","1.066","4500","0.6","false","375.0","4500","1.1975232808642715","449.0712303241018","2.0E-4"
"201","410","1.066","3000","0.6","false","375.0","3000","1.1885815995600024","445.7180998350009","2.0E-4"
"411","430","1.066","1250","0.6","false","375.0","1250","1.1424792768263379","428.4297288098767","2.0E-4"
"431","500","1.066","1300","0.6","false","375.0","1300","1.192126837142576","447.047563928466","2.0E-4"
"501","750","1.066","1300","0.6","false","375.0","1300","1.1905833387519393","446.46875203197726","2.0E-4"
"751","950","1.066","1400","0.6","false","375.0","1400","1.1913152988531888","446.7432370699458","2.0E-4"
"951","1066","1.066","1500","0.6","false","375.0","1500","1.1923091008490139","447.1159128183802","2.0E-4"
"1067","1086","1.066","2000","0.6","false","375.0","2000","1.205920760509018","452.2202851908818","2.0E-4"
"1087","1190","1.066","3700","0.6","false","375.0","3700","1.1990213164296135","449.63299366110505","2.0E-4"
"1191","1220","1.066","4800","0.6","false","375.0","4800","1.2034494469992134","451.293542624705","2.0E-4"
"1221","1250","1.066","5000","0.6","false","375.0","5000","1.192531808931935","447.1994283494756","2.0E-4"
"1251","1279","1.066","5300","0.6","false","375.0","5300","1.1918474946474622","446.94281049279834","2.0E-4"
"1280","1290","1.066","5700","0.6","false","375.0","5700","1.1983436590956578","449.37887216087165","2.0E-4"
"1291","1315","1.066","5600","0.6","false","375.0","5600","1.1913489434476183","446.7558537928569","2.0E-4"
"1316","1325","1.066","5000","0.6","false","375.0","5000","1.1754234491866007","440.78379344497523","2.0E-4"
"1326","1348","1.066","5700","0.6","false","375.0","5700","1.1972409562529287","448.9653585948483","2.0E-4"
"1349","1351","1.066","3000","0.6","true","375.0","3000","0.9733402964469605","365.0026111676102","2.0E-4"
"1352","1377","1.066","3000","0.6","false","375.0","3000","1.192053909402999","447.0202160261246","2.0E-4"
"1378","1400","1.066","2500","0.6","false","375.0","2500","1.1789870267640032","442.1201350365012","2.0E-4"
"1401","1430","1.066","2400","0.6","false","375.0","2400","1.1886855306613653","445.757073998012","2.0E-4"
"1431","1450","1.066","2300","0.6","false","375.0","2300","1.1895760697621576","446.09102616080907","2.0E-4"
"1451","1490","1.066","2600","0.6","false","375.0","2600","1.1943122541517122","447.86709530689205","2.0E-4"
"1491","1522","1.066","2800","0.6","false","375.0","2800","1.1966868440704173","448.7575665264065","2.0E-4"
"1523","1541","1.066","3400","0.6","false","375.0","3400","1.201711234440337","450.64171291512633","2.0E-4"
"1542","1560","1.066","3800","0.6","false","375.0","3800","1.196926661996375","448.84749824864065","2.0E-4"
"1561","1600","1.066","5000","0.6","false","375.0","5000","1.199044442904963","449.6416660893611","2.0E-4"
"1601","1650","1.066","6300","0.6","false","375.0","6300","1.195086373311543","448.15738999182867","2.0E-4"
"1651","1700","1.066","6200","0.6","false","375.0","6200","1.1900926982986848","446.2847618620068","2.0E-4"
"1701","1801","1.066","11300","0.6","false","375.0","11300","1.1988887863893958","449.5832948960234","2.0E-4"
"1802","1811","1.066","12500","0.6","false","375.0","12500","1.2060141140579441","452.25529277172905","2.0E-4"
"1812","1821","1.066","13400","0.6","false","375.0","13400","1.19778173446698","449.1681504251175","2.0E-4"
"1822","1831","1.066","15800","0.6","false","375.0","15800","1.2107458079674038","454.02967798777644","2.0E-4"
"1832","1841","1.066","20200","0.6","false","375.0","20200","1.2226154237951357","458.48078392317586","2.0E-4"
"1842","1851","1.066","27400","0.6","false","375.0","27400","1.2280900193153963","460.5337572432736","2.0E-4"
"1852","1861","1.066","29000","0.6","false","375.0","29000","1.1982137977851903","449.33017416944637","2.0E-4"
"1862","1871","1.066","31500","0.6","false","375.0","31500","1.2006903548969456","450.2588830863546","2.0E-4"
"1872","1881","1.066","35000","0.6","false","375.0","35000","1.2039783558205994","451.49188343272476","2.0E-4"
"1882","1891","1.066","37800","0.6","false","375.0","37800","1.2004880652466476","450.1830244674929","2.0E-4"
"1892","1901","1.066","38200","0.6","false","375.0","38200","1.1923461772558224","447.1298164709334","2.0E-4"
"1902","1911","1.066","42100","0.6","false","375.0","42100","1.2021471441810148","450.80517906788054","2.0E-4"
"1912","1921","1.066","44000","0.6","false","375.0","44000","1.1965276738305604","448.6978776864601","2.0E-4"
