"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","1500","0.6","false","3.0","1500","2.490336466766346","7.471009400299039"
"1","43","1.066","2000","0.6","false","2.25","2000","3.670198342562209","8.25794627076497"
"44","200","1.066","4500","0.6","false","2.25","4500","1.0132501750289415","2.2798128938151185"
"201","410","1.066","3000","0.6","false","1.6875","3000","3.493787002941306","5.895765567463454"
"411","430","1.066","1250","0.6","false","1.6875","1250","0.9785585188050273","1.6513175004834837"
"431","500","1.066","1300","0.6","false","1.6875","1300","0.9766496936510277","1.6480963580361092"
"501","750","1.066","1300","0.6","false","1.6875","1300","0.912107249406757","1.5391809833739025"
"751","950","1.066","1400","0.6","false","1.265625","1400","3.6798709779244585","4.657336706435642"
"951","1066","1.066","1500","0.6","false","1.265625","1500","1.0936113340619","1.3841018446720923"
"1067","1086","1.066","2000","0.6","false","1.265625","2000","1.119915853951094","1.4173935026568534"
"1087","1190","1.066","3700","0.6","false","1.265625","3700","1.104922919751749","1.3984180703108073"
"1191","1220","1.066","4800","0.6","false","1.265625","4800","1.0844185240085122","1.3724671944482734"
"1221","1250","1.066","5000","0.6","false","1.265625","5000","1.0602709987287422","1.3419054827660644"
"1251","1279","1.066","5300","0.6","false","1.265625","5300","1.0557878653201918","1.3362315170458676"
"1280","1290","1.066","5700","0.6","false","1.265625","5700","1.0613847339321878","1.3433150538829253"
"1291","1315","1.066","5600","0.6","false","1.265625","5600","1.0479037107407838","1.3262531339063046"
"1316","1325","1.066","5000","0.6","false","1.265625","5000","1.0388188006651662","1.314755044591851"
"1326","1348","1.066","5700","0.6","false","1.265625","5700","1.0541876237582335","1.3342062113190143"
"1349","1351","1.066","3000","0.6","true","1.265625","3000","0.8818311392081193","1.116067535560276"
"1352","1377","1.066","3000","0.6","false","1.265625","3000","1.041849950583654","1.3185913437074372"
"1378","1400","1.066","2500","0.6","false","1.265625","2500","1.0372690656793138","1.3127936612503814"
"1401","1430","1.066","2400","0.6","false","1.265625","2400","1.0376530619469322","1.313279656526586"
"1431","1450","1.066","2300","0.6","false","1.265625","2300","1.0370406837225203","1.312504615336315"
"1451","1490","1.066","2600","0.6","false","1.265625","2600","1.039645667721269","1.3158015482097312"
"1491","1522","1.066","2800","0.6","false","1.265625","2800","1.0361515250904698","1.3113792739426258"
"1523","1541","1.066","3400","0.6","false","1.265625","3400","1.0477420414714458","1.3260485212372985"
"1542","1560","1.066","3800","0.6","false","1.265625","3800","1.0351149660923422","1.3100673789606205"
"1561","1600","1.066","5000","0.6","false","1.265625","5000","1.0466372213098816","1.324650233220319"
"1601","1650","1.066","6300","0.6","false","1.265625","6300","1.0346173797806577","1.3094376212848948"
"1651","1700","1.066","6200","0.6","false","1.265625","6200","1.0185883537343579","1.2891508851950466"
"1701","1801","1.066","11300","0.6","false","1.265625","11300","1.0483957521041944","1.326875873756871"
"1802","1811","1.066","12500","0.6","false","1.265625","12500","1.0238895294013017","1.2958601856485226"
"1812","1821","1.066","13400","0.6","false","1.265625","13400","1.016676101264273","1.2867306906625957"
"1822","1831","1.066","15800","0.6","false","1.265625","15800","1.037194611426443","1.312699430086592"
"1832","1841","1.066","20200","0.6","false","1.265625","20200","1.066825591673536","1.3502011394618192"
"1842","1851","1.066","27400","0.6","false","1.265625","27400","1.0946041130476154","1.3853583305758883"
"1852","1861","1.066","29000","0.6","false","1.265625","29000","1.0106889718336292","1.2791532299769368"
"1862","1871","1.066","31500","0.6","false","1.265625","31500","1.0144260212539105","1.2838829331494803"
"1872","1881","1.066","35000","0.6","false","1.265625","35000","1.0176446215886261","1.2879564741981049"
"1882","1891","1.066","37800","0.6","false","1.265625","37800","1.0109607351204883","1.279497180386868"
"1892","1901","1.066","38200","0.6","false","1.265625","38200","1.002580268581076","1.2688906524229244"
"1902","1911","1.003","42100","0.13","false","1.265625","42100","1.033641945821511","1.3082030876803497"
"1912","1921","1.003","44000","0.13","false","1.265625","44000","0.9922291490071474","1.255790016712171"
"1922","1931","1.003","45000","0.13","false","1.265625","45000","0.9933629032838013","1.257224924468561"
"1932","1941","1.003","50200","0.13","false","1.265625","50200","1.0518806987554143","1.3312865093623212"
"1942","1951","1.003","52800","0.13","false","1.265625","52800","1.0354038377929198","1.310432982206664"
"1952","1961","1.003","55900","0.13","false","1.265625","55900","1.0225912614095416","1.294217065221451"
"1962","1971","1.003","56300","0.13","false","1.265625","56300","1.0047244737416186","1.271604412079236"
"1972","1981","1.003","57400","0.13","false","1.265625","57400","1.0065058925971728","1.273859020318297"
"1982","1991","1.003","59300","0.13","false","1.265625","59300","1.008170257245389","1.2759654818261954"
"1992","2001","1.003","63200","0.13","false","1.265625","63200","1.0249225242815503","1.2971675697938372"
"2002","2011","1.003","65600","0.13","false","1.265625","65600","1.0112107071789165","1.2798135512733162"
"2012","2015","1.003","66270","0.13","false","1.265625","66270","1.0047922071233542","1.2716901371404952"
