"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.066","15","0.6","false","3.0","15","2.632011052597014","7.8960331577910425"
"1","43","1.066","20","0.6","false","3.0","20","1.0735205479169267","3.2205616437507802"
"44","200","1.066","45","0.6","false","3.0","45","1.096545308167345","3.2896359245020355"
"201","410","1.066","30","0.6","false","3.0","30","1.0127942835984463","3.0383828507953385"
"411","430","1.066","12","0.6","false","3.0","12","1.0642965636514021","3.1928896909542064"
"431","500","1.066","13","0.6","false","3.0","13","1.043580705009277","3.1307421150278305"
"501","750","1.066","13","0.6","false","3.0","13","1.0462084415584427","3.138625324675328"
"751","950","1.066","14","0.6","false","3.0","14","1.0476790586864113","3.143037176059234"
"951","1066","1.066","15","0.6","false","3.0","15","1.0478991301126186","3.143697390337856"
"1067","1086","1.066","20","0.6","false","3.0","20","1.196159043914462","3.588477131743386"
"1087","1190","1.066","37","0.6","false","3.0","37","1.070030797898845","3.2100923936965353"
"1191","1220","1.066","48","0.6","false","3.0","48","1.0131581434911527","3.039474430473458"
"1221","1250","1.066","50","0.6","false","3.0","50","1.009022020825271","3.0270660624758126"
"1251","1279","1.066","53","0.6","false","3.0","53","1.0021320424587594","3.006396127376278"
"1280","1290","1.066","57","0.6","false","3.0","57","0.9846652367554282","2.9539957102662844"
"1291","1315","1.066","56","0.6","false","3.0","56","1.0035957499998545","3.0107872499995634"
"1316","1325","1.066","50","0.6","false","3.0","50","1.0155560027628625","3.0466680082885875"
"1326","1348","1.066","57","0.6","false","3.0","57","1.0039741712171526","3.0119225136514576"
"1349","1351","1.066","30","0.6","true","3.0","30","0.7380952380952381","2.2142857142857144"
"1352","1377","1.066","30","0.6","false","3.0","30","1.0077291377988737","3.023187413396621"
"1378","1400","1.066","25","0.6","false","3.0","25","1.028727547394844","3.086182642184532"
"1401","1430","1.066","24","0.6","false","3.0","24","1.0464608109917035","3.1393824329751103"
"1431","1450","1.066","23","0.6","false","3.0","23","1.005455627705628","3.0163668831168837"
"1451","1490","1.066","26","0.6","false","3.0","26","1.0347844968208535","3.1043534904625605"
"1491","1522","1.066","28","0.6","false","3.0","28","1.0032287551814456","3.009686265544337"
"1523","1541","1.066","34","0.6","false","3.0","34","1.055733705394147","3.167201116182441"
"1542","1560","1.066","38","0.6","false","3.0","38","1.0016097195814784","3.0048291587444353"
"1561","1600","1.066","50","0.6","false","3.0","50","1.0167086873961453","3.050126062188436"
"1601","1650","1.066","63","0.6","false","3.0","63","1.0214391358757426","3.064317407627228"
"1651","1700","1.066","62","0.6","false","3.0","62","0.9975058257579466","2.9925174772738394"
"1701","1801","1.066","113","0.6","false","3.0","113","1.034609760813446","3.103829282440338"
"1802","1811","1.066","125","0.6","false","3.0","125","1.0235769895019784","3.070730968505935"
"1812","1821","1.066","134","0.6","false","3.0","134","1.0042136253913498","3.0126408761740495"
"1822","1831","1.066","158","0.6","false","3.0","158","1.0334497250563524","3.100349175169057"
"1832","1841","1.066","202","0.6","false","3.0","202","1.0748577198124631","3.2245731594373894"
"1842","1851","1.066","274","0.6","false","3.0","274","1.0647672334527774","3.194301700358332"
"1852","1861","1.066","290","0.6","false","3.0","290","0.9947378936540314","2.9842136809620943"
"1862","1871","1.066","315","0.6","false","3.0","315","0.9951998940952788","2.9855996822858364"
"1872","1881","1.066","350","0.6","false","3.0","350","1.0084097409951596","3.0252292229854785"
"1882","1891","1.066","378","0.6","false","3.0","378","1.0120787694708813","3.0362363084126436"
"1892","1901","1.066","382","0.6","false","3.0","382","0.992125734922419","2.9763772047672568"
"1902","1911","1.003","421","0.13","false","3.0","421","1.0241182532112167","3.07235475963365"
"1912","1921","1.003","440","0.13","false","3.0","440","0.9817905943675397","2.945371783102619"
"1922","1931","1.003","450","0.13","false","3.0","450","0.9817226903411223","2.9451680710233665"
"1932","1941","1.003","502","0.13","false","3.0","502","1.0421724106703072","3.1265172320109214"
"1942","1951","1.003","528","0.13","false","3.0","528","1.0269671949913122","3.0809015849739367"
"1952","1961","1.003","559","0.13","false","3.0","559","1.0595520017713338","3.1786560053140014"
"1962","1971","1.003","563","0.13","false","3.0","563","1.0026942600183666","3.0080827800550995"
"1972","1981","1.003","574","0.13","false","3.0","574","1.0338317936863988","3.1014953810591965"
"1982","1991","1.003","593","0.13","false","3.0","593","1.017531283277434","3.0525938498323018"
"1992","2001","1.003","632","0.13","false","3.0","632","1.0402567250717731","3.1207701752153194"
"2002","2011","1.003","656","0.13","false","3.0","656","1.0066758851754463","3.020027655526339"
"2012","2015","1.003","662","0.13","false","3.0","662","0.9955101229554637","2.986530368866391"
