"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","15","0.35","false","3.125","15","90","41","3.452723665242229","10.789761453881965","150.0"
"1","43","20","0.35","false","3.125","20","90","41","0.9352647961425005","2.922702487945314","150.0"
"44","200","45","0.35","false","3.125","45","90","41","0.9247211914853527","2.889753723391727","150.0"
"201","410","30","0.35","false","2.34375","30","90","41","3.981886507123616","9.332546501070974","150.0"
"411","430","12","0.35","false","2.5379169999999998","12","90","41","7.175894133824995","18.21182371243473","150.0"
"431","500","13","0.35","false","3.3142099999999997","13","90","41","3.600641599489177","11.933282395443024","150.0"
"501","750","13","0.35","false","2.796363","13","90","41","7.379071352177128","20.634562103588088","150.0"
"751","950","14","0.35","false","2.796363","14","90","41","1.0718121045621058","2.997175712149604","150.0"
"951","1066","15","0.35","false","2.796363","15","90","41","1.0812424644321195","3.023546421566795","150.0"
"1067","1086","20","0.35","false","2.796363","20","90","41","1.0490151259559153","2.933427084663461","150.0"
"1087","1190","37","0.35","false","2.796363","37","90","41","1.037175280695122","2.9003185794504533","150.0"
"1191","1220","48","0.35","false","2.796363","48","90","41","1.0435107540820434","2.918034862817125","150.0"
"1221","1250","50","0.35","false","2.796363","50","90","41","1.0214019560785685","2.856210638105734","150.0"
"1251","1279","53","0.35","false","2.796363","53","90","41","1.0232598191311806","2.8614058976051253","150.0"
"1280","1290","57","0.35","false","2.796363","57","90","41","1.0152041053903647","2.8388791977617163","150.0"
"1291","1315","56","0.35","false","2.796363","56","90","41","1.0211141146297018","2.8554057289282566","150.0"
"1316","1325","50","0.35","false","2.796363","50","90","41","0.9916686051057984","2.7730653955794655","150.0"
"1326","1348","57","0.35","false","2.796363","57","90","41","1.0194194808890775","2.8506669178374233","150.0"
"1349","1351","30","0.35","true","2.796363","30","90","41","0.8394909688013136","2.3475214839901475","150.0"
"1352","1377","30","0.35","false","2.796363","30","90","41","1.0633473807179572","2.973505271586609","150.0"
"1378","1400","25","0.35","false","2.796363","25","90","41","1.0107442371610282","2.826407787260324","150.0"
"1401","1430","24","0.35","false","2.796363","24","90","41","1.0052072256782403","2.810924293219281","150.0"
"1431","1450","23","0.35","false","2.796363","23","90","41","0.9975584355258269","2.789535499442308","150.0"
"1451","1490","26","0.35","false","2.796363","26","90","41","1.0318747861596833","2.8854964726498507","150.0"
"1491","1522","28","0.35","false","2.796363","28","90","41","1.0473999020459386","2.928910332284887","150.0"
"1523","1541","34","0.35","false","2.796363","34","90","41","1.0143502283211607","2.836491447518846","150.0"
"1542","1560","38","0.35","false","2.796363","38","90","41","1.0370153148510692","2.8998712568828804","150.0"
"1561","1600","50","0.31","false","2.796363","50","90","41","1.0316419627961193","2.8848454140104445","150.0"
"1601","1650","63","0.29","false","2.796363","63","90","41","1.0199178129937985","2.852060435296777","150.0"
"1651","1700","62","0.26","false","2.796363","62","90","41","1.0342649628830787","2.8921802744026146","150.0"
"1701","1801","113","0.25","false","2.796363","113","90","41","1.034051680863647","2.8915838604549107","150.0"
"1802","1811","125","0.28","false","2.796363","125","90","41","1.0291890766586982","2.8779862539725474","150.0"
"1812","1821","134","0.28","false","2.796363","134","90","41","1.026426344257131","2.870260651305904","150.0"
"1822","1831","158","0.26","false","2.796363","158","90","41","1.0517623913340102","2.9411094359179466","150.0"
"1832","1841","202","0.25","false","2.796363","202","90","41","1.0537393337789982","2.946637684624241","150.0"
"1842","1851","274","0.22","false","2.796363","274","90","41","1.053890552260859","2.9470605463918327","150.0"
"1852","1861","290","0.25","false","2.796363","290","90","41","1.027910392341989","2.8744105884606213","150.0"
"1862","1871","315","0.22","false","2.796363","315","90","41","1.0230764438538562","2.860893113764501","150.0"
"1872","1881","350","0.21","false","2.796363","350","90","41","1.0383083470647791","2.903487044323107","150.0"
"1882","1891","378","0.19","false","2.796363","378","90","41","1.034648810603382","2.893253651965305","150.0"
"1892","1901","382","0.18","false","2.796363","382","90","41","1.0241806176525974","2.8639807845208702","150.0"
"1902","1911","421","0.13","false","2.796363","421","90","41","1.0486197709386178","2.932321528521226","150.0"
"1912","1921","440","0.14","false","2.796363","440","90","41","1.0415976111363143","2.9126850206699775","150.0"
"1922","1931","450","0.12","false","2.796363","450","90","41","1.0461832086748166","2.925508015959536","150.0"
"1932","1941","502","0.07","false","2.796363","502","90","41","1.0857044790146069","3.036023834050723","150.0"
"1942","1951","528","0.08","false","2.796363","528","90","41","1.0571684881320742","2.956226844978471","150.0"
"1952","1961","559","0.09","false","2.796363","559","90","41","1.0619836849470456","2.9696918831895753","150.0"
"1962","1971","563","0.1","false","2.796363","563","90","41","1.0583828921727916","2.9596227595049838","150.0"
"1972","1981","574","0.07","false","2.796363","574","90","41","1.0602986166731214","2.9649798206158997","150.0"
"1982","1991","593","0.1","false","2.796363","593","90","41","1.0648817394416867","2.9777958955503734","150.0"
"1992","2001","632","0.09","false","2.796363","632","90","41","1.0817555142263293","3.024981095028481","150.0"
"2002","2011","656","0.09","false","2.796363","656","90","41","1.0977638522970974","3.0697462193010683","150.0"
"2012","2015","662","0.09","false","2.796363","662","90","41","1.1226714260267951","3.139396836898567","150.0"
