"Start Year","End Year","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Max Age","Max Breeding Age","Avg Capacity Factor","Avg Capacity Fitness","Mutations","Modern","Update Max Fitness"
"-5050","-51","1500","0.35","false","1.3125","1500","90","41","4.254139570534042","5.58355818632593","0.00375","false","true"
"-50","0","1500","0.35","false","1.3125","1500","90","41","1.939039516222303","2.544989365041773","0.00375","false","true"
"1","43","2000","0.35","false","1.3125","2000","90","41","1.9523451675289294","2.5624530323817196","0.00375","false","true"
"44","200","4500","0.35","false","1.3125","4500","90","41","1.9494823546802795","2.5586955905178668","0.00375","false","true"
"201","410","3000","0.35","false","1.3125","3000","90","41","1.9359242583510943","2.5409005890858114","0.00375","false","true"
"411","430","1250","0.35","false","1.3125","1250","90","41","1.8538495016090277","2.4331774708618488","0.00375","false","true"
"431","500","1300","0.35","false","1.3125","1300","90","41","1.939808181766619","2.5459982385686875","0.00375","false","true"
"501","750","1300","0.35","false","1.3125","1300","90","41","1.9405318260774675","2.546948021726676","0.00375","false","true"
"751","950","1400","0.35","false","1.3125","1400","90","41","1.9413047520460136","2.547962487060393","0.00375","false","true"
"951","1066","1500","0.35","false","1.3125","1500","90","41","1.9402595591082201","2.5465906713295388","0.00375","false","true"
"1067","1086","2000","0.35","false","1.3125","2000","90","41","1.9684996176349832","2.5836557481459153","0.00375","false","true"
"1087","1190","3700","0.35","false","1.3125","3700","90","41","1.9506581709009003","2.5602388493074315","0.00375","false","true"
"1191","1220","4800","0.35","false","1.3125","4800","90","41","1.9550406836729168","2.5659908973207033","0.00375","false","true"
"1221","1250","5000","0.35","false","1.3125","5000","90","41","1.9411048211224633","2.547700077723233","0.00375","false","true"
"1251","1279","5300","0.35","false","1.3125","5300","90","41","1.9437517444973798","2.551174164652811","0.00375","false","true"
"1280","1290","5700","0.35","false","1.3125","5700","90","41","1.954627617146514","2.5654487475048","0.00375","false","true"
"1291","1315","5600","0.35","false","1.3125","5600","90","41","1.937801090096124","2.5433639307511626","0.00375","false","true"
"1316","1325","5000","0.35","false","1.3125","5000","90","41","1.9167469470146739","2.5157303679567593","0.00375","false","true"
"1326","1348","5700","0.35","false","1.3125","5700","90","41","1.9517886992950002","2.5617226678246876","0.00375","false","true"
"1349","1351","3000","0.35","true","1.3125","3000","90","41","1.5829430545569927","2.077612759106053","0.00375","false","true"
"1352","1377","3000","0.35","false","1.3125","3000","90","41","1.9372029685226109","2.5425788961859266","0.00375","false","true"
"1378","1400","2500","0.35","false","1.3125","2500","90","41","1.9220119213664348","2.522640646793446","0.00375","false","true"
"1401","1430","2400","0.35","false","1.3125","2400","90","41","1.9374634716540409","2.542920806545929","0.00375","false","true"
"1431","1450","2300","0.35","false","1.3125","2300","90","41","1.9318304205603032","2.535527426985398","0.00375","false","true"
"1451","1490","2600","0.35","false","1.3125","2600","90","41","1.9454981196351782","2.5534662820211715","0.00375","false","true"
"1491","1522","2800","0.35","false","1.3125","2800","90","41","1.9463486226629074","2.554582567245066","0.00375","false","true"
"1523","1541","3400","0.35","false","1.3125","3400","90","41","1.9579271961568403","2.569779444955853","0.00375","false","true"
"1542","1560","3800","0.35","false","1.3125","3800","90","41","1.9469390416368508","2.555357492148367","0.00375","false","true"
"1561","1600","5000","0.31","false","1.3125","5000","90","41","1.9622025115236585","2.5753907963748017","0.00375","false","true"
"1601","1650","6300","0.29","false","1.3125","6300","90","41","1.9610622708659242","2.5738942305115255","0.00375","false","true"
"1651","1700","6200","0.26","false","1.3125","6200","90","41","1.9602740670294374","2.5728597129761366","0.00375","false","true"
"1701","1801","11300","0.25","false","1.3125","11300","90","41","1.9763428473490536","2.593949987145633","0.00375","false","true"
"1802","1811","12500","0.28","false","1.3125","12500","90","41","1.976248735607411","2.5938264654847267","0.00375","false","true"
