"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness"
"-50","0","1.0","1500","0.6","false","1.0","1500","6.217951159230113","6.217951159230113"
"1","43","1.0","2000","0.6","false","1.0","2000","1.0534179793573737","1.0534179793573737"
"44","200","1.0","4500","0.6","false","1.0","4500","1.0091423364850094","1.0091423364850094"
"201","410","1.0","3000","0.6","false","1.0","3000","0.9553512083593323","0.9553512083593323"
"411","430","1.0","1250","0.6","false","1.0","1250","0.9255137614043594","0.9255137614043594"
"431","500","1.0","1300","0.6","false","1.0","1300","0.9570818577354564","0.9570818577354564"
"501","750","1.0","1300","0.6","false","1.0","1300","0.9562151854701532","0.9562151854701532"
"751","950","1.0","1400","0.6","false","1.0","1400","0.9565416728503938","0.9565416728503938"
"951","1066","1.0","1500","0.6","false","1.0","1500","0.9574069853745685","0.9574069853745685"
"1067","1086","1.0","2000","0.6","false","1.0","2000","0.9989127298023931","0.9989127298023931"
"1087","1190","1.0","3700","0.6","false","1.0","3700","0.9936603626562118","0.9936603626562118"
"1191","1220","1.0","4800","0.6","false","1.0","4800","0.9807685975857031","0.9807685975857031"
"1221","1250","1.0","5000","0.6","false","1.0","5000","0.9568432957056153","0.9568432957056153"
"1251","1279","1.0","5300","0.6","false","1.0","5300","0.9582682983771738","0.9582682983771738"
"1280","1290","1.0","5700","0.6","false","1.0","5700","0.9633919858633714","0.9633919858633714"
"1291","1315","1.0","5600","0.6","false","1.0","5600","0.9555386216750219","0.9555386216750219"
"1316","1325","1.0","5000","0.6","false","1.0","5000","0.948137698794547","0.948137698794547"
"1326","1348","1.0","5700","0.6","false","1.0","5700","0.9649687314079867","0.9649687314079867"
"1349","1351","1.0","3000","0.6","true","1.0","3000","0.8085529892076045","0.8085529892076045"
"1352","1377","1.0","3000","0.6","false","1.0","3000","0.9563693024973592","0.9563693024973592"
"1378","1400","1.0","2500","0.6","false","1.0","2500","0.9518306307054002","0.9518306307054002"
"1401","1430","1.0","2400","0.6","false","1.0","2400","0.9557589987363144","0.9557589987363144"
"1431","1450","1.0","2300","0.6","false","1.0","2300","0.9532085891841746","0.9532085891841746"
"1451","1490","1.0","2600","0.6","false","1.0","2600","0.962061240903596","0.962061240903596"
"1491","1522","1.0","2800","0.6","false","1.0","2800","0.9586494564637152","0.9586494564637152"
"1523","1541","1.0","3400","0.6","false","1.0","3400","0.9808581526379689","0.9808581526379689"
"1542","1560","1.0","3800","0.6","false","1.0","3800","0.9643471504316186","0.9643471504316186"
"1561","1600","1.0","5000","0.6","false","1.0","5000","0.976756452160543","0.976756452160543"
"1601","1650","1.0","6300","0.6","false","1.0","6300","0.9680047110051544","0.9680047110051544"
"1651","1700","1.0","6200","0.6","false","1.0","6200","0.9564418299139272","0.9564418299139272"
"1701","1801","1.0","11300","0.6","false","1.0","11300","0.9952480983016855","0.9952480983016855"
"1802","1811","1.0","12500","0.6","false","1.0","12500","0.9703658063112096","0.9703658063112096"
"1812","1821","1.0","13400","0.6","false","1.0","13400","0.9639976798769135","0.9639976798769135"
"1822","1831","1.0","15800","0.6","false","1.0","15800","0.9888527322457431","0.9888527322457431"
"1832","1841","1.0","20200","0.6","false","1.0","20200","1.0235150397719714","1.0235150397719714"
"1842","1851","1.0","27400","0.6","false","1.0","27400","1.055460249184361","1.055460249184361"
"1852","1861","1.0","29000","0.6","false","1.0","29000","0.964146465409591","0.964146465409591"
"1862","1871","1.0","31500","0.6","false","1.0","31500","0.9680871302059284","0.9680871302059284"
"1872","1881","1.0","35000","0.6","false","1.0","35000","0.9735725554265484","0.9735725554265484"
"1882","1891","1.0","37800","0.6","false","1.0","37800","0.9673943896109771","0.9673943896109771"
"1892","1901","1.0","38200","0.6","false","1.0","38200","0.9577855078317563","0.9577855078317563"
"1902","1911","1.0","42100","0.6","false","1.0","42100","0.9708875364277161","0.9708875364277161"
"1912","1921","1.0","44000","0.6","false","1.0","44000","0.9613457428280674","0.9613457428280674"
"1922","1931","1.0","45000","0.6","false","1.0","45000","0.959678367923023","0.959678367923023"
"1932","1941","1.0","50200","0.6","false","1.0","50200","0.9737281261281261","0.9737281261281261"
"1942","1951","1.0","52800","0.6","false","1.0","52800","0.9614373268191685","0.9614373268191685"
"1952","1961","1.0","55900","0.6","false","1.0","55900","0.9635861767652256","0.9635861767652256"
"1962","1971","1.0","56300","0.6","false","1.0","56300","0.9572992840922874","0.9572992840922874"
"1972","1981","1.0","57400","0.6","false","1.0","57400","0.9586313717791505","0.9586313717791505"
"1982","1991","1.0","59300","0.6","false","1.0","59300","0.9589823932453105","0.9589823932453105"
"1992","2001","1.0","63200","0.6","false","1.0","63200","0.9647416812524863","0.9647416812524863"
"2002","2011","1.0","65600","0.6","false","1.0","65600","0.9604229618728279","0.9604229618728279"
"2012","2015","1.0","66270","0.6","false","1.0","66270","0.9588549764092931","0.9588549764092931"
