"Start Year","End Year","Kill Constant","Environment Capacity","Breeding Probability","Disease","Fitness Factor","Expected Max Population","Avg Capacity Factor","Avg Capacity Fitness","Mutations"
"-50","0","1.066","1500","0.6","false","2.5","1500","6.81383276437754","17.03458191094385","0.2"
"1","43","1.066","2000","0.6","false","1.875","2000","3.581863387464562","6.715993851496053","0.2"
"44","200","1.066","4500","0.6","false","1.171875","4500","4.369156366728639","5.120105117260124","0.2"
"201","410","1.066","3000","0.6","false","1.171875","3000","1.0448866432942834","1.2244765351104883","0.2"
"411","430","1.066","1250","0.6","false","1.171875","1250","0.9790300461892685","1.147300835378049","0.2"
"431","500","1.066","1300","0.6","false","1.171875","1300","1.0192045999798853","1.194380390601428","0.2"
"501","750","1.066","1300","0.6","false","1.171875","1300","1.011226249671303","1.1850307613335582","0.2"
"751","950","1.066","1400","0.6","false","1.171875","1400","1.0042754997236425","1.1768853512386435","0.2"
"951","1066","1.066","1500","0.6","false","1.171875","1500","1.0018710757969966","1.1740676669496055","0.2"
"1067","1086","1.066","2000","0.6","false","1.171875","2000","1.0095764566965184","1.1830974101912326","0.2"
"1087","1190","1.066","3700","0.6","false","1.171875","3700","1.0054564222980886","1.1782692448805725","0.2"
"1191","1220","1.066","4800","0.6","false","1.171875","4800","1.0074028070971321","1.1805501645669518","0.2"
"1221","1250","1.066","5000","0.6","false","1.171875","5000","1.000289856674431","1.1722146757903487","0.2"
"1251","1279","1.066","5300","0.6","false","1.171875","5300","1.0010240109863515","1.1730750128746308","0.2"
"1280","1290","1.066","5700","0.6","false","1.171875","5700","1.0023263315788469","1.1746011698189611","0.2"
"1291","1315","1.066","5600","0.6","false","1.171875","5600","0.9972899916735841","1.1686992089924815","0.2"
"1316","1325","1.066","5000","0.6","false","1.171875","5000","0.9851700479459223","1.1544961499366277","0.2"
"1326","1348","1.066","5700","0.6","false","1.171875","5700","1.0037638632279489","1.1762857772202526","0.2"
"1349","1351","1.066","3000","0.6","true","1.171875","3000","0.8152947952943489","0.9554235882355651","0.2"
"1352","1377","1.066","3000","0.6","false","1.171875","3000","0.9976282813975442","1.1690956422627472","0.2"
"1378","1400","1.066","2500","0.6","false","1.171875","2500","0.9898211180436384","1.1599466227073887","0.2"
"1401","1430","1.066","2400","0.6","false","1.171875","2400","0.9946022909640162","1.1655495597234564","0.2"
"1431","1450","1.066","2300","0.6","false","1.171875","2300","0.9969914893815913","1.1683494016190523","0.2"
"1451","1490","1.066","2600","0.6","false","1.171875","2600","1.001805809848981","1.1739911834167747","0.2"
"1491","1522","1.066","2800","0.6","false","1.171875","2800","0.9985765015786624","1.170206837787495","0.2"
"1523","1541","1.066","3400","0.6","false","1.171875","3400","1.0062376690982517","1.1791847684745138","0.2"
"1542","1560","1.066","3800","0.6","false","1.171875","3800","1.0036027289319664","1.1760969479671481","0.2"
"1561","1600","1.066","5000","0.6","false","1.171875","5000","1.0038753105734923","1.1764163795783114","0.2"
"1601","1650","1.066","6300","0.6","false","1.171875","6300","1.00228076690878","1.1745477737212267","0.2"
"1651","1700","1.066","6200","0.6","false","1.171875","6200","0.9973148493344561","1.1687283390638157","0.2"
"1701","1801","1.066","11300","0.6","false","1.171875","11300","1.0032195431236919","1.1756479020980763","0.2"
"1802","1811","1.066","12500","0.6","false","1.171875","12500","1.0072755983012605","1.1804010917592895","0.2"
"1812","1821","1.066","13400","0.6","false","1.171875","13400","1.0025933718110704","1.1749141075910983","0.2"
"1822","1831","1.066","15800","0.6","false","1.171875","15800","1.014943603142494","1.1893870349326103","0.2"
"1832","1841","1.066","20200","0.6","false","1.171875","20200","1.0203140648321765","1.1956805447252068","0.2"
"1842","1851","1.066","27400","0.6","false","1.171875","27400","1.0268669052188537","1.2033596545533443","0.2"
"1852","1861","1.066","29000","0.6","false","1.171875","29000","1.0020794624368965","1.174311870043238","0.2"
"1862","1871","1.066","31500","0.6","false","1.171875","31500","1.0049417309684598","1.1776660909786638","0.2"
"1872","1881","1.066","35000","0.6","false","1.171875","35000","1.0072722690605866","1.180397190305375","0.2"
"1882","1891","1.066","37800","0.6","false","1.171875","37800","1.0050954748655303","1.1778462596080432","0.2"
"1892","1901","1.066","38200","0.6","false","1.171875","38200","0.9960998463768492","1.1673045074728703","0.2"
"1902","1911","1.066","42100","0.6","false","1.171875","42100","1.005732803726937","1.1785931293675045","0.2"
"1912","1921","1.066","44000","0.6","false","1.171875","44000","1.0009574448435419","1.1729970056760257","0.2"
"1922","1931","1.066","45000","0.6","false","1.171875","45000","0.9979424489875564","1.1694638074072925","0.2"
"1932","1941","1.066","50200","0.6","false","1.171875","50200","1.0069518430261053","1.1800216910462171","0.2"
"1942","1951","1.066","52800","0.6","false","1.171875","52800","1.0009166881912597","1.1729492439741325","0.2"
"1952","1961","1.066","55900","0.6","false","1.171875","55900","1.0021214656744313","1.174361092587224","0.2"
"1962","1971","1.066","56300","0.6","false","1.171875","56300","0.9961868485741133","1.167406463172789","0.2"
"1972","1981","1.066","57400","0.6","false","1.171875","57400","0.9969415667066805","1.1682908984843912","0.2"
"1982","1991","1.066","59300","0.6","false","1.171875","59300","0.9993540091180904","1.1711179794352622","0.2"
"1992","2001","1.066","63200","0.6","false","1.171875","63200","1.0018530157613141","1.17404650284529","0.2"
"2002","2011","1.066","65600","0.6","false","1.171875","65600","0.9994279809303274","1.1712046651527275","0.2"
"2012","2015","1.066","66270","0.6","false","1.171875","66270","0.9974444539255188","1.1688802194439674","0.2"
